"","telework_time_hr","Work","estimate_daily_workers"
"1","0",0,496556.989896543
"2","0",1,640666.840544879
"3","0",2,146296.152464944
"4","0",3,29955.842857602
"5","0",4,9530.48391552894
"6","0",5,7828.71680708121
"7","0",6,7982.95277332326
"8","0",7,3371.35936133612
"9","0",8,383.741943181677
"10","0",9,2264.94891889991
"11","0",10,40.111708934612
"12","0",11,790.139160181709
"13","0",12,1587.7025985202
"14","0",13,807.460789482448
"15","0",14,337.037179351432
"16","0",15,0
"17","0",16,527.589427017622
"18","0",18,68.70670463257
"19","0",21,7.05177695257361
"20","0",22,358.416884204282
"21","0",23,150.815722145121
"22","0",24,7.05177695257361
"23","0",25,7.05177695257361
"24","0",27,0
"25","0",42,0
"26","0",48,3192.99851444058
"27","0",63,0
"28","0",67,0
"29","0",73,0
"30","1-2 hours",0,25770.5348400164
"31","1-2 hours",1,31604.938500774
"32","1-2 hours",2,4696.83133661607
"33","1-2 hours",3,1887.18557002428
"34","1-2 hours",4,29.5355115713623
"35","1-2 hours",5,975.505151876779
"36","1-2 hours",7,25.0643764985142
"37","10+ hours",0,35585.9802283834
"38","10+ hours",1,27676.2803267121
"39","10+ hours",2,11383.307507207
"40","10+ hours",3,2491.60452633588
"41","10+ hours",4,2222.75191119049
"42","10+ hours",6,57.1913027192283
"43","10+ hours",7,146.274507008789
"44","10+ hours",8,11.1467403308684
"45","10+ hours",10,11.1467403308684
"46","2-3 hours",0,13361.4704239393
"47","2-3 hours",1,33242.1324119227
"48","2-3 hours",2,6981.25468006184
"49","2-3 hours",3,520.468470431471
"50","2-3 hours",4,85.9289373531494
"51","2-3 hours",5,40.111708934612
"52","2-3 hours",6,709.663297297577
"53","3-4 hours",0,8726.25375779644
"54","3-4 hours",1,11803.2524886354
"55","3-4 hours",2,2396.68340081077
"56","3-4 hours",3,476.255006679216
"57","3-4 hours",5,229.816155345504
"58","3-4 hours",6,270.990713779337
"59","3-4 hours",7,0
"60","3-4 hours",8,5.62086159063995
"61","4-5 hours",0,18193.4181815659
"62","4-5 hours",1,11306.0731032337
"63","4-5 hours",2,6022.71608034025
"64","4-5 hours",3,1279.9350608049
"65","4-5 hours",4,94.9322186011062
"66","4-5 hours",6,0
"67","4-5 hours",7,0
"68","5-6 hours",0,23664.4332763409
"69","5-6 hours",1,16512.366084227
"70","5-6 hours",2,393.318083675142
"71","5-6 hours",4,300.083551357825
"72","5-6 hours",5,143.636015457782
"73","5-6 hours",6,1233.38613873397
"74","5-6 hours",7,28.1609400516961
"75","6-7 hours",0,31355.1748840983
"76","6-7 hours",1,18500.6432446471
"77","6-7 hours",2,1671.84594874465
"78","6-7 hours",3,37.3099547409748
"79","6-7 hours",4,152.255306822891
"80","6-7 hours",9,9.27111675852538
"81","7-8 hours",0,30253.397665586
"82","7-8 hours",1,20886.9666939816
"83","7-8 hours",2,4279.01571082053
"84","7-8 hours",3,286.62462425202
"85","7-8 hours",4,158.313796928588
"86","7-8 hours",6,0
"87","7-8 hours",7,5.62086159063995
"88","7-8 hours",8,5.62086159063995
"89","7-8 hours",16,0
"90","7-8 hours",18,0
"91","8-9 hours",0,221692.260467537
"92","8-9 hours",1,70914.270186665
"93","8-9 hours",2,18870.5975863512
"94","8-9 hours",3,2870.44325426884
"95","8-9 hours",4,70.9301113710801
"96","8-9 hours",5,640.048788602056
"97","8-9 hours",6,35.6664905336509
"98","8-9 hours",7,512.636564258208
"99","8-9 hours",8,0
"100","8-9 hours",20,9.45594936988688
"101","9 hours-10 hours",0,61230.9139123874
"102","9 hours-10 hours",1,21574.2380385447
"103","9 hours-10 hours",2,1930.72463927681
"104","9 hours-10 hours",3,2385.26386099974
"105","9 hours-10 hours",4,0
"106","9 hours-10 hours",6,0
"107","9 hours-10 hours",7,0
"108","9 hours-10 hours",9,19.0689286221031
"109","Less than 1 hour",0,9771.67041329374
"110","Less than 1 hour",1,21994.5529147822
"111","Less than 1 hour",2,15140.0038936529
"112","Less than 1 hour",3,1408.04551826462
"113","Less than 1 hour",5,1494.58182809674
"114","Less than 1 hour",7,0
"115","Missing: Skip Logic",0,1922947.99232665
"116","Missing: Skip Logic",1,10166.4846519885
"117","Missing: Skip Logic",2,31.7931244986758
"118","Missing: Skip Logic",4,0
