,hhincome_detailed,vehicle_count_simple,count,prop,prop_se,est,est_se
1,"$10,000-$24,999",0,122,0.492858655,0.077914171,48694.96913,10911.65866
2,"$10,000-$24,999",1,86,0.423706321,0.076126502,41862.64358,9566.635072
3,"$10,000-$24,999",2,19,0.076245595,0.048089702,7533.147368,4999.622295
4,"$10,000-$24,999",3,7,0.00718943,0.004525053,710.3234317,436.1582198
5,"$100,000-$149,999",0,60,0.032311834,0.011928719,8639.836317,3172.700397
6,"$100,000-$149,999",1,275,0.203484888,0.033153274,54409.6661,9071.132265
7,"$100,000-$149,999",2,213,0.551062053,0.048802989,147348.0542,20765.38777
8,"$100,000-$149,999",3,55,0.120219523,0.031921675,32145.40492,9064.580083
9,"$100,000-$149,999",4+,26,0.092921701,0.034164162,24846.26147,9737.760911
10,"$150,000-$199,999",0,24,0.016554922,0.007171033,2625.697396,1099.899737
11,"$150,000-$199,999",1,129,0.101657572,0.026202687,16123.42369,3978.867413
12,"$150,000-$199,999",2,150,0.44948403,0.06569089,71290.5225,13511.30039
13,"$150,000-$199,999",3,44,0.303964937,0.065946774,48210.43181,13170.26961
14,"$150,000-$199,999",4+,16,0.128338538,0.048627835,20355.1647,8369.252219
15,"$200,000-$249,999",0,22,0.08099854,0.036925874,10542.56007,4978.066488
16,"$200,000-$249,999",1,91,0.166125351,0.038167593,21622.44535,4721.930732
17,"$200,000-$249,999",2,96,0.512041381,0.071877628,66645.97966,13890.20249
18,"$200,000-$249,999",3,23,0.208031563,0.066959288,27076.84933,10188.80873
19,"$200,000-$249,999",4+,7,0.032803165,0.019161592,4269.575029,2499.38444
20,"$25,000-$34,999",0,50,0.280903711,0.069494022,17108.98271,4450.140203
21,"$25,000-$34,999",1,96,0.5405078,0.087204459,32920.67077,8488.171766
22,"$25,000-$34,999",2,18,0.162347083,0.072098332,9888.062419,4896.584446
23,"$25,000-$34,999",3,2,0.01152159,0.00985685,701.7447002,594.0877019
24,"$25,000-$34,999",4+,3,0.004719816,0.003291358,287.4694988,194.7418168
25,"$250,000 or more",0,22,0.042695351,0.018781511,7106.201529,3117.222946
26,"$250,000 or more",1,126,0.183338648,0.042290014,30514.8301,7251.888643
27,"$250,000 or more",2,122,0.345905311,0.0624924,57572.37717,12823.72572
28,"$250,000 or more",3,36,0.260478238,0.061394106,43353.92046,12235.78656
29,"$250,000 or more",4+,16,0.167582451,0.053732561,27892.37333,9994.334358
30,"$35,000-$49,999",0,66,0.17289873,0.047123423,19155.26073,5462.189062
31,"$35,000-$49,999",1,146,0.496496792,0.072228433,55006.33516,10440.33814
32,"$35,000-$49,999",2,41,0.16898873,0.059657134,18722.07615,7403.93911
33,"$35,000-$49,999",3,9,0.091830931,0.048285222,10173.84814,5689.953082
34,"$35,000-$49,999",4+,3,0.069784817,0.046623517,7731.383347,5435.071621
35,"$50,000-$74,999",0,72,0.051426053,0.016708311,10972.20898,3522.252683
36,"$50,000-$74,999",1,248,0.415471593,0.055367709,88644.58556,15016.37984
37,"$50,000-$74,999",2,112,0.391878446,0.056549965,83610.77635,15983.83811
38,"$50,000-$74,999",3,26,0.106514293,0.037502473,22725.77833,8530.673449
39,"$50,000-$74,999",4+,9,0.034709615,0.018005242,7405.607301,3884.018022
40,"$75,000-$99,999",0,43,0.03847123,0.014026359,7421.17185,2669.06411
41,"$75,000-$99,999",1,202,0.458956961,0.05722419,88533.6517,14648.77577
42,"$75,000-$99,999",2,107,0.307475003,0.053731983,59312.50011,12520.02451
43,"$75,000-$99,999",3,23,0.141044766,0.045249425,27207.79784,9603.92181
44,"$75,000-$99,999",4+,14,0.054052039,0.022759043,10426.73893,4467.943165
45,Prefer not to answer,0,45,0.05081772,0.019410639,12231.00737,4721.599586
46,Prefer not to answer,1,174,0.252159126,0.04455218,60690.64358,11977.60857
47,Prefer not to answer,2,168,0.364177981,0.051761537,87651.77935,15369.88682
48,Prefer not to answer,3,44,0.195380343,0.046122415,47024.9044,12606.55677
49,Prefer not to answer,4+,25,0.13746483,0.041135292,33085.57239,10821.88165
50,"Under $10,000",0,63,0.503313303,0.100214427,24952.07385,7106.285623
51,"Under $10,000",1,46,0.429535273,0.099481712,21294.48153,6570.559492
52,"Under $10,000",2,5,0.058640222,0.042583626,2907.125908,2159.138597
53,"Under $10,000",3,2,0.001292559,0.001110223,64.07940595,53.57889254
54,"Under $10,000",4+,1,0.007218644,0.007311943,357.8688071,357.8688071
