"","vehicle_count_simple","Under $10,000","$10,000-$24,999","$25,000-$34,999","$35,000-$49,999","$50,000-$74,999","$75,000-$99,999","$100,000-$149,999","$150,000-$199,999","$200,000-$249,999","$250,000 or more","Prefer not to answer"
"1","0",0.503313303376198,0.492858655010285,0.280903711306423,0.172898730060184,0.0514260528775183,0.0384712300525735,0.0323118344824661,0.0165549221089092,0.0809985395234231,0.0426953510392424,0.0508177198809302
"2","1",0.429535272534117,0.423706320734238,0.540507799645124,0.49649679172909,0.415471593059754,0.458956961344515,0.20348488797583,0.101657572488011,0.166125351183437,0.183338648304666,0.252159125691281
"3","2",0.0586402217632757,0.0762455946822282,0.162347082734409,0.168988730429828,0.391878446122066,0.307475002974429,0.551062053136318,0.449484030010849,0.512041380828742,0.345905311495601,0.364177981032969
"4","3",0.00129255859398729,0.00718942957324908,0.0115215903859348,0.0918309308878795,0.106514292644526,0.141044766391633,0.12021952327147,0.303964936985292,0.20803156307264,0.260478237986586,0.195380343327922
"5","4+",0.00721864373242197,NA,0.00471981592811004,0.0697848168930184,0.0347096152961359,0.0540520392368494,0.0929217011339162,0.128338538406939,0.0328031653917573,0.167582451173905,0.137464830066898
