"","survey_year","rgc_cat_od","work_or_not","count","prop","prop_se","est","est_se","prop_moe"
"1","2017","MetroRGC","NotWork",5907,0.465689418624084,0.0184428207065113,1131148.82722128,54653.3737828119,0.0303384400622111
"2","2017","MetroRGC","Work",6310,0.534310581375916,0.0184428207065113,1297828.04445287,72747.6354650027,0.0303384400622111
"3","2017","NotRGC","NotWork",12328,0.754563232528079,0.00964129291213525,9199236.11580501,245316.311147595,0.0158599268404625
"4","2017","NotRGC","Work",4341,0.245436767471921,0.00964129291213525,2992235.34641296,133204.054810014,0.0158599268404625
"5","2017","UrbanRGC","NotWork",2401,0.710944873542229,0.0264797715740276,1254510.11733442,91146.819808615,0.0435592242392754
"6","2017","UrbanRGC","Work",1068,0.289055126457771,0.0264797715740276,510057.240868641,54237.1046331742,0.0435592242392754
"7","2019","MetroRGC","NotWork",8280,0.467558195659227,0.019831122270722,1215891.30344641,63027.3186222641,0.0326221961353376
"8","2019","MetroRGC","Work",7476,0.532441804340773,0.019831122270722,1384621.9903738,83553.0979249734,0.0326221961353376
"9","2019","NotRGC","NotWork",17398,0.793083624149211,0.00809557701778458,9772456.38306958,219478.275257487,0.0133172241942556
"10","2019","NotRGC","Work",5232,0.206916375850789,0.00809557701778458,2549644.44652842,111485.898763252,0.0133172241942556
"11","2019","UrbanRGC","NotWork",1826,0.77575739712748,0.0189804407716778,1401227.13484268,84869.9308433989,0.0312228250694099
"12","2019","UrbanRGC","Work",637,0.22424260287252,0.0189804407716778,405042.634586818,36720.664164726,0.0312228250694099
"13","2021","MetroRGC","NotWork",1228,0.659318873903704,0.0158445738410001,1490918.34138734,62785.9552698382,0.0260643239684452
"14","2021","MetroRGC","Work",678,0.340681126096296,0.0158445738410001,770382.525915139,43478.160802231,0.0260643239684452
"15","2021","NotRGC","NotWork",6772,0.814129045961146,0.00619226737615421,9097820.58812376,156525.777222055,0.0101862798337737
"16","2021","NotRGC","Work",1516,0.185870954038854,0.00619226737615421,2077091.58735702,76632.5259948936,0.0101862798337737
"17","2021","UrbanRGC","NotWork",1072,0.755121770340224,0.0172826838496421,1389903.34408853,62335.8624922728,0.0284300149326613
"18","2021","UrbanRGC","Work",297,0.244878229659776,0.0172826838496421,450731.370312965,36912.4794030977,0.0284300149326613
"19","2023","MetroRGC","NotWork",5135,0.540826846456874,0.0176280939955406,1037207.50287844,41933.3119276577,0.0289982146226642
"20","2023","MetroRGC","Work",2956,0.459173153543126,0.0176280939955406,880610.574521953,51250.6260099467,0.0289982146226642
"21","2023","NotRGC","NotWork",16333,0.779047769945384,0.00711885483968174,9473141.54397804,183991.800637534,0.0117105162112765
"22","2023","NotRGC","Work",3953,0.220952230054616,0.00711885483968174,2686756.61559459,97460.1131339446,0.0117105162112765
"23","2023","UrbanRGC","NotWork",1651,0.771486584297454,0.0193265014704647,1429153.2284817,77759.1570160401,0.0317920949189144
"24","2023","UrbanRGC","Work",571,0.228513415702546,0.0193265014704647,423313.499482397,40248.4877185425,0.0317920949189144
