"","survey_year","race_cat2","mode_char1","count","prop","prop_se","est","est_se","moe"
"1","2023","Asian","Bike/Micromobility",22,0.0126043687508277,0.00448180174081998,8355.64601290281,2919.80085038685,0.00737256386364888
"2","2023","Asian","Transit",76,0.0809924007003683,0.0178462961005074,53691.2116239871,11897.664731935,0.0293571570853347
"3","2023","Asian","Walk",160,0.0805140630649954,0.0153308637541627,53374.1136371829,9898.40113552003,0.0252192708755977
"4","2023","Black","Bike/Micromobility",113,0.00528492884081409,0.00145387105316034,10562.7630653666,2889.53502731473,0.00239161788244875
"5","2023","Black","Transit",279,0.0337846988939292,0.00560405036838431,67524.0443911743,11249.4356169844,0.00921866285599219
"6","2023","Black","Walk",1021,0.123002694571917,0.0106006057983049,245840.267352527,21550.6020411088,0.0174379965382115
"7","2023","Hispanic","Bike/Micromobility",60,0.0113110856169584,0.0025723624184805,13745.5364055477,3058.79001664222,0.00423153617840042
"8","2023","Hispanic","Transit",135,0.0250016701321411,0.00521853562132907,30382.7040691476,6253.62613138301,0.00858449109708632
"9","2023","Hispanic","Walk",486,0.114881313897403,0.012426251153031,139606.872051821,14562.9265208209,0.0204411831467359
"10","2023","Other","Bike/Micromobility",28,0.00612399955165259,0.00190196957070402,4874.90243149924,1467.57939770802,0.00312873994380811
"11","2023","Other","Transit",71,0.0563759070226801,0.0125482352205173,44877.0519829112,9834.10625518237,0.0206418469377509
"12","2023","Other","Walk",104,0.0382738291871282,0.00882426551729974,30467.2104224384,6816.08416093617,0.0145159167759581
"13","2023","White","Bike/Micromobility",586,0.0155134900610963,0.00242638334877411,115694.476074397,18216.6461695265,0.00399140060873341
"14","2023","White","Transit",953,0.0225652020989756,0.00261190875939811,168283.811319848,19604.048841627,0.00429658990920988
"15","2023","White","Walk",3967,0.100602020093436,0.00484167036628995,750256.580621009,36378.2981482239,0.00796454775254696
