,telecommute_status,Work,estimate_daily_workers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Hybrid,0,294629.8938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Hybrid,1,182632.0571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Hybrid,2,69926.63832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Hybrid,3,9423.542921,,,,Sum of estimate_daily_workers,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Hybrid,4,2776.557194,,,,Row Labels,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,20,21,22,23,24,25,27,42,48,63,67,73,Grand Total
6,Hybrid,5,1350.965671,,,,Hybrid,294629.8938,182632.0571,69926.63832,9423.542921,2776.557194,1350.965671,760.4058238,552.7482732,,718.2081174,40.11170893,,,,,,,,,,,,,,,,,,,,562811.1289
7,Hybrid,6,760.4058238,,,,Onsite,461440.701,735071.7189,144931.8067,32657.92871,9540.184854,10001.45078,8296.058754,2156.707692,406.1304067,341.6947081,11.14674033,790.1391602,1587.702599,807.4607895,337.0371794,0,527.589427,68.70670463,9.45594937,7.051776953,358.4168842,150.8157221,7.051776953,7.051776953,0,0,3192.998514,0,0,0,1412707.007
8,Hybrid,7,552.7482732,,,,Remote,250222.7233,10545.45944,5204.006322,1517.507069,328.4732128,,1233.386139,1379.660646,,1233.386139,,,,,,,,,,,,,0,,,,,,,,271664.6023
9,Hybrid,9,718.2081174,,,,Grand Total,1006293.318,928249.2354,220062.4513,43598.9787,12645.21526,11352.41646,10289.85072,4089.116611,406.1304067,2293.288964,51.25844927,790.1391602,1587.702599,807.4607895,337.0371794,0,527.589427,68.70670463,9.45594937,7.051776953,358.4168842,150.8157221,7.051776953,7.051776953,0,0,3192.998514,0,0,0,2247182.739
10,Hybrid,10,40.11170893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Onsite,0,461440.701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Onsite,1,735071.7189,,,,Sum of estimate_daily_workers,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Onsite,2,144931.8067,,,,Row Labels,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,20,21,22,23,24,25,27,42,48,63,67,73,Grand Total
14,Onsite,3,32657.92871,,,,Hybrid,294629.8938,182632.0571,69926.63832,9423.542921,2776.557194,1350.965671,760.4058238,552.7482732,,718.2081174,40.11170893,,,,,,,,,,,,,,,,,,,,562811.1289
15,Onsite,4,9540.184854,,,,Onsite,461440.701,735071.7189,144931.8067,32657.92871,9540.184854,10001.45078,8296.058754,2156.707692,406.1304067,341.6947081,11.14674033,790.1391602,1587.702599,807.4607895,337.0371794,0,527.589427,68.70670463,9.45594937,7.051776953,358.4168842,150.8157221,7.051776953,7.051776953,0,0,3192.998514,0,0,0,1412707.007
16,Onsite,5,10001.45078,,,,Remote,250222.7233,10545.45944,5204.006322,1517.507069,328.4732128,,1233.386139,1379.660646,,1233.386139,,,,,,,,,,,,,0,,,,,,,,271664.6023
17,Onsite,6,8296.058754,,,,Grand Total,1006293.318,928249.2354,220062.4513,43598.9787,12645.21526,11352.41646,10289.85072,4089.116611,406.1304067,2293.288964,51.25844927,790.1391602,1587.702599,807.4607895,337.0371794,0,527.589427,68.70670463,9.45594937,7.051776953,358.4168842,150.8157221,7.051776953,7.051776953,0,0,3192.998514,0,0,0,2247182.739
18,Onsite,7,2156.707692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Onsite,8,406.1304067,,,,Sum of estimate_daily_workers,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Onsite,9,341.6947081,,,,Row Labels,0,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Onsite,10,11.14674033,,,,Hybrid,52%,32%,12%,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Onsite,11,790.1391602,,,,Onsite,33%,52%,10%,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Onsite,12,1587.702599,,,,Remote,92%,4%,2%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Onsite,13,807.4607895,,,,Grand Total,45%,41%,10%,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Onsite,14,337.0371794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Onsite,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Onsite,16,527.589427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Onsite,18,68.70670463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Onsite,20,9.45594937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Onsite,21,7.051776953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Onsite,22,358.4168842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Onsite,23,150.8157221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Onsite,24,7.051776953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Onsite,25,7.051776953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Onsite,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Onsite,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Onsite,48,3192.998514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Onsite,63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Onsite,67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Onsite,73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Remote,0,250222.7233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Remote,1,10545.45944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Remote,2,5204.006322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Remote,3,1517.507069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Remote,4,328.4732128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Remote,6,1233.386139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
