"","survey_year","mode_char1","count","prop","prop_se","est","est_se","moe"
"1","2017","Bike/Micromobility",208,0.0136006418667199,0.00497801423700083,26076.9404418565,9578.93329846877,0.00818883341986637
"2","2017","HOV",482,0.126007905023481,0.017092746159854,241598.938248705,35017.6664763154,0.0281175674329598
"3","2017","SOV",2393,0.691691107276012,0.0225244001597792,1326201.21795387,84302.4534800206,0.0370526382628368
"4","2017","Transit",1242,0.080485929979426,0.0101368009183399,154318.216967145,19333.3693974999,0.0166750375106692
"5","2017","Walk",839,0.0882144158543604,0.0138530343769876,169136.287161283,27624.3343919212,0.0227882415501446
"6","2019","Bike/Micromobility",261,0.0118298030458634,0.00273751557543926,22631.8577917736,5154.24602016432,0.00450321312159759
"7","2019","HOV",518,0.102997082251895,0.0135236429314943,197045.99556352,26482.8938230323,0.0222463926223081
"8","2019","SOV",2353,0.67063967822933,0.0233081768050525,1283015.59783909,88185.7755285671,0.0383419508443114
"9","2019","Transit",1346,0.099066336393364,0.0129311224297181,189525.99874354,25167.4775328997,0.0212716963968862
"10","2019","Walk",1343,0.115467100079548,0.0167311800121009,220902.662410987,33888.9903037599,0.027522791119906
"11","2021","Bike/Micromobility",21,0.0156999841834057,0.00584012575593594,21269.9006809281,7981.36742395182,0.00960700686851462
"12","2021","HOV",116,0.132261653190227,0.0158540422470507,179184.398811365,23264.983246772,0.0260798994963984
"13","2021","SOV",801,0.745666286661663,0.0195302063266097,1010207.88767251,49927.6761252691,0.0321271894072729
"14","2021","Transit",92,0.0649846942864897,0.0104005206950553,88039.4513209168,14510.8545419905,0.017108856543366
"15","2021","Walk",52,0.0413873816782146,0.00863742120235718,56070.4703556159,11937.0600489794,0.0142085578778776
"16","2023","Bike/Micromobility",142,0.0117280014166479,0.00258841864210349,16735.8733449418,3641.88530906167,0.00425794866626024
"17","2023","HOV",213,0.102180167159415,0.0148604167121885,145811.23204142,22351.5745523565,0.0244453854915501
"18","2023","SOV",1401,0.757523854161592,0.0185276339766915,1080987.52964204,63318.9989882318,0.0304779578916575
"19","2023","Transit",337,0.0426919996067259,0.00624434918468347,60921.5392186306,8764.61936566446,0.0102719544088043
"20","2023","Walk",493,0.0858759776556195,0.0101101787447053,122545.132317036,14379.0925329263,0.0166312440350402
