"","survey_year","telecommute_freq","commute_freq","commute_freq_simple","telecommute_freq_cond","total"
"145","2021","1-2 days","2 days a week","1-2 days","1+ days per week",14453.5413
"146","2021","1-2 days","3 days a week","3-4 days","1+ days per week",37633.7718
"147","2021","1-2 days","4 days a week","3-4 days","1+ days per week",64547.8471
"148","2021","1-2 days","5 days a week","5+ days","1+ days per week",34478.3453
"149","2021","1-2 days","6-7 days a week","5+ days","1+ days per week",7659.6963
"150","2021","1-2 days","None, did not commute to workplace last week",NA,"1+ days per week",2004.4615
"151","2021","3-4 days","1 day a week","1-2 days","1+ days per week",69195.2208
"152","2021","3-4 days","2 days a week","1-2 days","1+ days per week",60446.3662
"153","2021","3-4 days","3 days a week","3-4 days","1+ days per week",8003.6297
"154","2021","3-4 days","4 days a week","3-4 days","1+ days per week",13770.0799
"155","2021","3-4 days","5 days a week","5+ days","1+ days per week",9147.7759
"156","2021","3-4 days","6-7 days a week","5+ days","1+ days per week",1443.3609
"157","2021","3-4 days","None, did not commute to workplace last week",NA,"1+ days per week",5908.8007
"158","2021","5+ days","1 day a week","1-2 days","1+ days per week",25303.5133
"159","2021","5+ days","2 days a week","1-2 days","1+ days per week",3027.7012
"160","2021","5+ days","3 days a week","3-4 days","1+ days per week",265.3824
"161","2021","5+ days","4 days a week","3-4 days","1+ days per week",0
"162","2021","5+ days","5 days a week","5+ days","1+ days per week",22659.3558
"163","2021","5+ days","6-7 days a week","5+ days","1+ days per week",3488.9544
"164","2021","5+ days","None, did not commute to workplace last week",NA,"1+ days per week",115944.4705
"165","2021","Missing: Skip Logic","Missing: Skip Logic","Never or less than weekly","Missing: Skip Logic",728872.497
"166","2021","Never / None","1 day a week","1-2 days","Never / None",11732.0767
"167","2021","Never / None","2 days a week","1-2 days","Never / None",43877.6118
"168","2021","Never / None","3 days a week","3-4 days","Never / None",68603.5939
"169","2021","Never / None","4 days a week","3-4 days","Never / None",141025.9684
"170","2021","Never / None","5 days a week","5+ days","Never / None",587286.7787
"171","2021","Never / None","6-7 days a week","5+ days","Never / None",122406.282
"172","2021","Never / None","None, did not commute to workplace last week",NA,"Never / None",17921.7188
"173","2023","1 day a week","1 day a week","1-2 days","1+ days per week",265.682665076658
"174","2023","1 day a week","1-3 days a month","Never or less than weekly","1+ days per week",263.977228190392
"175","2023","1 day a week","2 days a week","1-2 days","1+ days per week",7696.72570979509
"176","2023","1 day a week","3 days a week","3-4 days","1+ days per week",2590.66407548973
"177","2023","1 day a week","4 days a week","3-4 days","1+ days per week",76271.9081865595
"178","2023","1 day a week","5 days a week","5+ days","1+ days per week",17401.673083133
"179","2023","1 day a week","Never","Never or less than weekly","1+ days per week",124.766644822053
"180","2023","2 days a week","1 day a week","1-2 days","1+ days per week",3651.64973098973
"181","2023","2 days a week","1-3 days a month","Never or less than weekly","1+ days per week",223.957465662733
"182","2023","2 days a week","2 days a week","1-2 days","1+ days per week",3908.65689868938
"183","2023","2 days a week","3 days a week","3-4 days","1+ days per week",153175.496255853
"184","2023","2 days a week","4 days a week","3-4 days","1+ days per week",15004.2222552673
"185","2023","2 days a week","5 days a week","5+ days","1+ days per week",5827.94619951141
"186","2023","2 days a week","Less than monthly","Never or less than weekly","1+ days per week",5108.89657096459
"187","2023","2 days a week","Never","Never or less than weekly","1+ days per week",72.0408521455081
"188","2023","3 days a week","1 day a week","1-2 days","1+ days per week",2211.0110045313
"189","2023","3 days a week","1-3 days a month","Never or less than weekly","1+ days per week",1206.5796820472
"190","2023","3 days a week","2 days a week","1-2 days","1+ days per week",95480.928891002
"191","2023","3 days a week","3 days a week","3-4 days","1+ days per week",15039.4098302002
"192","2023","3 days a week","4 days a week","3-4 days","1+ days per week",661.923298282065
"193","2023","3 days a week","5 days a week","5+ days","1+ days per week",1439.42701014039
"194","2023","3 days a week","Less than monthly","Never or less than weekly","1+ days per week",98.7375862532455
"195","2023","3 days a week","Never","Never or less than weekly","1+ days per week",2300.06530888929
"196","2023","4 days a week","1 day a week","1-2 days","1+ days per week",54801.0506482306
"197","2023","4 days a week","1-3 days a month","Never or less than weekly","1+ days per week",9651.57340147207
"198","2023","4 days a week","2 days a week","1-2 days","1+ days per week",7930.093749891
"199","2023","4 days a week","3 days a week","3-4 days","1+ days per week",3601.0705478338
"200","2023","4 days a week","4 days a week","3-4 days","1+ days per week",37.464432944822
"201","2023","4 days a week","5 days a week","5+ days","1+ days per week",404.671361442113
"202","2023","4 days a week","Less than monthly","Never or less than weekly","1+ days per week",1965.2174276748
"203","2023","4 days a week","Never","Never or less than weekly","1+ days per week",298.474645404592
"204","2023","5 days a week","1 day a week","1-2 days","1+ days per week",4221.83677377103
"205","2023","5 days a week","1-3 days a month","Never or less than weekly","1+ days per week",23241.5374170556
"206","2023","5 days a week","2 days a week","1-2 days","1+ days per week",1186.20639204712
"207","2023","5 days a week","3 days a week","3-4 days","1+ days per week",2290.98900123026
"208","2023","5 days a week","4 days a week","3-4 days","1+ days per week",87.9601002889048
"209","2023","5 days a week","5 days a week","5+ days","1+ days per week",5351.13596769496
"210","2023","5 days a week","Less than monthly","Never or less than weekly","1+ days per week",9145.1810654704
"211","2023","5 days a week","Never","Never or less than weekly","1+ days per week",10280.128380391
"212","2023","6-7 days a week","1 day a week","1-2 days","1+ days per week",2267.17564790279
"213","2023","6-7 days a week","1-3 days a month","Never or less than weekly","1+ days per week",1752.48000642931
"214","2023","6-7 days a week","2 days a week","1-2 days","1+ days per week",567.350476824424
"215","2023","6-7 days a week","3 days a week","3-4 days","1+ days per week",179.620672236383
"216","2023","6-7 days a week","4 days a week","3-4 days","1+ days per week",5367.40536986422
"217","2023","6-7 days a week","5 days a week","5+ days","1+ days per week",6063.75757435817
"218","2023","6-7 days a week","Less than monthly","Never or less than weekly","1+ days per week",887.219647492556
"219","2023","6-7 days a week","Never","Never or less than weekly","1+ days per week",1205.18177038788
"220","2023","A few times per month","1 day a week","1-2 days","1+ days per week",615.854645232139
"221","2023","A few times per month","1-3 days a month","Never or less than weekly","1+ days per week",982.694636209907
"222","2023","A few times per month","2 days a week","1-2 days","1+ days per week",1988.4045674239
"223","2023","A few times per month","3 days a week","3-4 days","1+ days per week",528.448016474809
