"","survey","mode_nonm","PM_Peak","area","area_dest","count","count_moe","share","share_moe","sample_size"
"1","2017_2019","HOV","Not PM Peak","Capitol Hill/Central District","Capitol Hill/Central District",19887.8507876561,8266.16994007206,0.380879621212025,0.132786456943174,294
"2","2017_2019","HOV","Not PM Peak","Capitol Hill/Central District","Downtown/Lake Union",16551.7485659913,11342.0229061861,0.31698868779347,0.159209527140675,105
"3","2017_2019","HOV","Not PM Peak","Capitol Hill/Central District","Duwamish",289.495053653498,199.429609356426,0.00554422735546351,0.00411065496644102,15
"4","2017_2019","HOV","Not PM Peak","Capitol Hill/Central District","Magnolia/Queen Anne",683.412109629291,723.49404894605,0.013088279282992,0.0141681179906241,12
"5","2017_2019","HOV","Not PM Peak","Capitol Hill/Central District","Northeast Seattle",2242.04411389484,1326.72858120923,0.0429382200197794,0.0271737356534882,31
"6","2017_2019","HOV","Not PM Peak","Capitol Hill/Central District","Northwest Seattle",1422.58481185078,781.538683261518,0.0272444503966214,0.0164774692117651,38
"7","2017_2019","HOV","Not PM Peak","Capitol Hill/Central District","Southeast Seattle",1997.01602106819,917.306621572559,0.0382455959560446,0.0200657985763268,50
"8","2017_2019","HOV","Not PM Peak","Capitol Hill/Central District","West Seattle",780.237044788649,717.451489666569,0.0149426095985767,0.014181157184974,13
"9","2017_2019","HOV","Not PM Peak","Capitol Hill/Central District","Total",52215.5811969395,14800.1761137365,0.012557492073237,0.00355706043462722,629
"10","2017_2019","HOV","Not PM Peak","Capitol Hill/Central District",NA,8361.19268840695,4225.72653601069,0.160128308385027,0.080706420813858,71
"11","2017_2019","HOV","Not PM Peak","Downtown/Lake Union","Capitol Hill/Central District",13697.2769081359,10547.8805390511,0.169765057447109,0.117678505281746,111
"12","2017_2019","HOV","Not PM Peak","Downtown/Lake Union","Downtown/Lake Union",16279.8888965588,7846.13306737019,0.201774140385177,0.0962147329144608,152
"13","2017_2019","HOV","Not PM Peak","Downtown/Lake Union","Duwamish",699.180322255688,446.265391809799,0.00866569233941104,0.00606089878364378,24
"14","2017_2019","HOV","Not PM Peak","Downtown/Lake Union","Magnolia/Queen Anne",2094.12832578445,1050.15963023218,0.0259547804948917,0.0148482288168535,44
"15","2017_2019","HOV","Not PM Peak","Downtown/Lake Union","Northeast Seattle",2412.97551299644,1272.1151150103,0.0299065959847092,0.0176971000498852,42
"16","2017_2019","HOV","Not PM Peak","Downtown/Lake Union","Northwest Seattle",6016.19292771217,5701.62621427502,0.0745651376427451,0.0688694618866824,47
"17","2017_2019","HOV","Not PM Peak","Downtown/Lake Union","Southeast Seattle",1222.28847954005,612.345116282397,0.0151491333158932,0.00873187012352953,32
"18","2017_2019","HOV","Not PM Peak","Downtown/Lake Union","West Seattle",184.606958954566,144.357941143989,0.00228803222729934,0.0019109356124262,19
"19","2017_2019","HOV","Not PM Peak","Downtown/Lake Union","Total",80683.723223805,24040.2536114248,0.0194038865717263,0.00573144906593604,601
"20","2017_2019","HOV","Not PM Peak","Downtown/Lake Union",NA,38077.1848918669,19221.2941494515,0.471931430162764,0.151549638004124,130
"21","2017_2019","HOV","Not PM Peak","Duwamish","Capitol Hill/Central District",430.071983175545,438.505479731371,0.0172407879218142,0.0193364781234576,15
"22","2017_2019","HOV","Not PM Peak","Duwamish","Downtown/Lake Union",587.215890027598,374.333595475779,0.0235403956089667,0.0188523902816624,33
"23","2017_2019","HOV","Not PM Peak","Duwamish","Duwamish",1388.54747744149,677.108247113469,0.0556642922916631,0.03797603713788,57
"24","2017_2019","HOV","Not PM Peak","Duwamish","Magnolia/Queen Anne",555.302669183791,845.120072959543,0.0222610537917958,0.0349662371496333,2
"25","2017_2019","HOV","Not PM Peak","Duwamish","Northeast Seattle",1319.26308539033,1260.63594140339,0.0528868095530161,0.0547228883613929,15
"26","2017_2019","HOV","Not PM Peak","Duwamish","Northwest Seattle",539.068922704504,388.001523814546,0.0216102730128217,0.0187124782754417,17
"27","2017_2019","HOV","Not PM Peak","Duwamish","Southeast Seattle",555.046273699236,310.259910429476,0.0222507753724933,0.016541788436556,24
"28","2017_2019","HOV","Not PM Peak","Duwamish","West Seattle",925.432501103536,559.462469158178,0.0370988720764162,0.0285559992638344,36
"29","2017_2019","HOV","Not PM Peak","Duwamish","Total",24945.030652073,12573.2553787743,0.00599911017936576,0.00301703277060816,228
"30","2017_2019","HOV","Not PM Peak","Duwamish",NA,18645.081849347,12427.4920965164,0.747446740371013,0.138250343834756,29
"31","2017_2019","HOV","Not PM Peak","Magnolia/Queen Anne","Capitol Hill/Central District",4616.49717927148,4312.63910383709,0.0927475119092512,0.0862251098753368,17
"32","2017_2019","HOV","Not PM Peak","Magnolia/Queen Anne","Downtown/Lake Union",1281.20544596327,689.358646505725,0.0257399956597457,0.0168412969542964,58
"33","2017_2019","HOV","Not PM Peak","Magnolia/Queen Anne","Duwamish",131.806048172089,109.92025013023,0.00264804299620114,0.00243459913602457,5
"34","2017_2019","HOV","Not PM Peak","Magnolia/Queen Anne","Magnolia/Queen Anne",31158.9020928529,14877.3041051621,0.625996406087292,0.193955599655696,83
"35","2017_2019","HOV","Not PM Peak","Magnolia/Queen Anne","Northeast Seattle",361.115602565446,233.980526009087,0.00725497543894103,0.00546402824751291,12
"36","2017_2019","HOV","Not PM Peak","Magnolia/Queen Anne","Northwest Seattle",12128.4969234711,11818.1585130989,0.243666977183872,0.19497007267139,56
"37","2017_2019","HOV","Not PM Peak","Magnolia/Queen Anne","Southeast Seattle",2.70237514944645,4.44540712083022,5.42919364235596e-05,9.18035201804457e-05,1
"38","2017_2019","HOV","Not PM Peak","Magnolia/Queen Anne","West Seattle",20.807502848338,34.2283421855783,0.000418032123336541,0.000706617028008594,1
"39","2017_2019","HOV","Not PM Peak","Magnolia/Queen Anne","Total",49774.889743549,19496.1154979876,0.0119705223818804,0.00466173997681037,240
"40","2017_2019","HOV","Not PM Peak","Magnolia/Queen Anne",NA,73.356573254942,52.835406043663,0.0014737666649367,0.00120698620831603,7
"41","2017_2019","HOV","Not PM Peak","Northeast Seattle","Capitol Hill/Central District",1780.8720271041,1094.28870612088,0.0186434103136342,0.0120691701725102,40
"42","2017_2019","HOV","Not PM Peak","Northeast Seattle","Downtown/Lake Union",8355.62274316035,5542.67573912288,0.0874724858697363,0.0565966298887142,57
"43","2017_2019","HOV","Not PM Peak","Northeast Seattle","Duwamish",418.154402254339,451.476658380698,0.0043775318928205,0.00481750842661174,7
"44","2017_2019","HOV","Not PM Peak","Northeast Seattle","Magnolia/Queen Anne",279.66731952214,186.116318561089,0.00292775253348438,0.00206169039096357,12
"45","2017_2019","HOV","Not PM Peak","Northeast Seattle","Northeast Seattle",42573.8894542631,11924.1114026622,0.445693164732231,0.112825664327522,459
"46","2017_2019","HOV","Not PM Peak","Northeast Seattle","Northwest Seattle",27460.2477669214,17038.2319266859,0.287473023687876,0.13459530702918,172
"47","2017_2019","HOV","Not PM Peak","Northeast Seattle","Southeast Seattle",84.0287291745624,63.0208503551708,0.000879671336453102,0.000691028615343371,8
"48","2017_2019","HOV","Not PM Peak","Northeast Seattle","West Seattle",90.353897242491,65.4196177996321,0.000945887606796147,0.0007196424168886,8
"49","2017_2019","HOV","Not PM Peak","Northeast Seattle","Total",95522.8682491488,22508.1472769192,0.0229726000047252,0.00538191775123607,862
"50","2017_2019","HOV","Not PM Peak","Northeast Seattle",NA,14480.0319095063,6495.95846550007,0.151587072026968,0.0670804274513085,99
