"","survey","mode_simple","count","count_moe","share","share_moe","sample_size"
"1","2017_2019","Bike",72623.5957958731,23209.3458566115,0.0233456597893673,0.00735013268577269,924
"2","2017_2019","Drive",1898443.13218895,109280.943557568,0.610275586162348,0.0187356893800362,16005
"3","2017_2019","Other",33260.6794759493,9020.0656766949,0.0106920140609841,0.00290329864109702,736
"4","2017_2019","Transit",378515.319226749,35386.7404054905,0.121677944625176,0.0111236724645123,6317
"5","2017_2019","Walk",719505.954744434,47124.8743600623,0.23129316376871,0.014689860713407,12688
"6","2017_2019","Total",3110796.45857554,125079.223318286,1,0,37247
"7","2017_2019",NA,8447.77714358933,1485.06803105304,0.00271563159341439,0.000489546861548207,577
