"","survey","mode_nonm","PM_Peak","area","area_dest","count","count_moe","share","share_moe","sample_size"
"23","2017_2019","HOV","Not PM Peak","Duwamish","Northeast Seattle",1319.26308539033,1260.63594140339,0.049708680524012,0.0508845051945193,15
"24","2017_2019","HOV","Not PM Peak","Duwamish","Northwest Seattle",1068.46151153986,731.791583502596,0.0402586963263841,0.0326287037890101,20
"25","2017_2019","HOV","Not PM Peak","Duwamish","Not Seattle",18875.8533949637,12433.064880335,0.711225665615226,0.146136700146256,31
"26","2017_2019","HOV","Not PM Peak","Duwamish","Southeast Seattle",915.66392568052,491.533679567411,0.0345014167781012,0.0242451256659858,30
"27","2017_2019","HOV","Not PM Peak","Duwamish","West Seattle",1134.84840384954,578.445475272831,0.0427600964317522,0.0291000405896025,48
"28","2017_2019","HOV","Not PM Peak","Magnolia/Queen Anne","Capitol Hill/Central District",4664.29064539257,4312.91059726398,0.0556041619973166,0.0541563022735688,21
"29","2017_2019","HOV","Not PM Peak","Magnolia/Queen Anne","Downtown/Lake Union",1291.17991799008,689.553204051513,0.0153924750376614,0.0104974934921043,59
"30","2017_2019","HOV","Not PM Peak","Magnolia/Queen Anne","Duwamish",131.806048172089,109.92025013023,0.00157129248839297,0.00147565698951272,5
"31","2017_2019","HOV","Not PM Peak","Magnolia/Queen Anne","Magnolia/Queen Anne",39132.4397289755,16927.9558240506,0.466507489234099,0.209243951677357,99
"32","2017_2019","HOV","Not PM Peak","Magnolia/Queen Anne","Northeast Seattle",361.115602565446,233.980526009087,0.00430494838151701,0.00334816039730636,12
"33","2017_2019","HOV","Not PM Peak","Magnolia/Queen Anne","Northwest Seattle",12636.4515958653,11824.0812949014,0.150642263749541,0.13477523305982,69
"34","2017_2019","HOV","Not PM Peak","Magnolia/Queen Anne","Not Seattle",25504.9718658715,29694.6963370677,0.304051075540889,0.257975663896428,15
"35","2017_2019","HOV","Not PM Peak","Magnolia/Queen Anne","Southeast Seattle",2.70237514944645,4.44540712083022,3.22156823001102e-05,5.4809586813099e-05,1
"36","2017_2019","HOV","Not PM Peak","Magnolia/Queen Anne","West Seattle",158.882527109882,164.212693214053,0.00189407788828249,0.00212006126754817,3
"37","2017_2019","HOV","Not PM Peak","Northeast Seattle","Capitol Hill/Central District",2447.85354391548,1270.17795215845,0.0179577201548319,0.00983882248439074,47
"38","2017_2019","HOV","Not PM Peak","Northeast Seattle","Downtown/Lake Union",9041.20961920896,5590.5462076955,0.0663272983003818,0.0404662701356674,70
"39","2017_2019","HOV","Not PM Peak","Northeast Seattle","Duwamish",580.997142162189,471.747447891245,0.00426225830202934,0.00355141777095391,11
"40","2017_2019","HOV","Not PM Peak","Northeast Seattle","Magnolia/Queen Anne",445.939303738247,268.404959587518,0.00327145929235729,0.00207034168677578,14
"41","2017_2019","HOV","Not PM Peak","Northeast Seattle","Northeast Seattle",60642.8023667628,16793.8289681394,0.444882201802472,0.0985015702980555,543
"42","2017_2019","HOV","Not PM Peak","Northeast Seattle","Northwest Seattle",33111.4029625276,17587.991955839,0.242908857767625,0.104665010547925,214
"43","2017_2019","HOV","Not PM Peak","Northeast Seattle","Not Seattle",29867.456659703,11356.700690787,0.219110914443677,0.0764716229954807,121
"44","2017_2019","HOV","Not PM Peak","Northeast Seattle","Southeast Seattle",84.0287291745624,63.0208503551708,0.000616443907452599,0.000478447653028823,8
"45","2017_2019","HOV","Not PM Peak","Northeast Seattle","West Seattle",90.353897242491,65.4196177996321,0.000662846029172044,0.000497857332378101,8
"46","2017_2019","HOV","Not PM Peak","Northwest Seattle","Capitol Hill/Central District",2402.17668500807,1113.77189169227,0.0147884924364191,0.00727616455541871,44
"47","2017_2019","HOV","Not PM Peak","Northwest Seattle","Downtown/Lake Union",4064.16090382859,1426.22721269796,0.0250201465869515,0.00970485173270494,98
"48","2017_2019","HOV","Not PM Peak","Northwest Seattle","Duwamish",794.790334602482,677.211477053476,0.0048929585093231,0.00424412305459584,14
"49","2017_2019","HOV","Not PM Peak","Northwest Seattle","Magnolia/Queen Anne",14184.5170769277,11592.3806228416,0.0873239777971196,0.0667739105075598,72
"50","2017_2019","HOV","Not PM Peak","Northwest Seattle","Northeast Seattle",30220.3799406399,17384.9169958569,0.186045374167122,0.0913804262807033,210
"51","2017_2019","HOV","Not PM Peak","Northwest Seattle","Northwest Seattle",78078.5827268677,15591.3706936847,0.480674272341764,0.0898895945082343,785
"52","2017_2019","HOV","Not PM Peak","Northwest Seattle","Not Seattle",31954.60948943,14071.3215167154,0.196721791403771,0.0764611636259474,149
"53","2017_2019","HOV","Not PM Peak","Northwest Seattle","Southeast Seattle",585.379830058351,522.373542920266,0.00360376705147362,0.00327138855081948,19
"54","2017_2019","HOV","Not PM Peak","Northwest Seattle","West Seattle",150.938300353003,113.763483618514,0.0009292197060554,0.000720062396071121,6
"55","2017_2019","HOV","Not PM Peak","Not Seattle","Capitol Hill/Central District",15187.2805085684,7931.40418111374,0.00367641526640604,0.00191987286006759,75
"56","2017_2019","HOV","Not PM Peak","Not Seattle","Downtown/Lake Union",49730.8394599851,17894.2651928725,0.0120384434394773,0.00431258190913586,146
"57","2017_2019","HOV","Not PM Peak","Not Seattle","Duwamish",13783.4263331542,9578.58435081577,0.00333658148777867,0.0023157159532598,44
"58","2017_2019","HOV","Not PM Peak","Not Seattle","Magnolia/Queen Anne",10213.844651835,6510.58827848825,0.00247248573472524,0.00157596983006914,20
"59","2017_2019","HOV","Not PM Peak","Not Seattle","Northeast Seattle",19613.3994674707,7170.74424567975,0.00474785470562999,0.00174042875269888,122
"60","2017_2019","HOV","Not PM Peak","Not Seattle","Northwest Seattle",37845.5822537021,17238.7087292778,0.0091613555359722,0.00415462041160954,123
"61","2017_2019","HOV","Not PM Peak","Not Seattle","Not Seattle",3960871.42734815,177720.673166056,0.958816041855465,0.00739619571252611,8614
"62","2017_2019","HOV","Not PM Peak","Not Seattle","Southeast Seattle",13571.7671776238,7262.15236584115,0.00328534473408682,0.00175825906763729,76
"63","2017_2019","HOV","Not PM Peak","Not Seattle","West Seattle",10184.8925447812,6110.25139376126,0.00246547724045878,0.0014795375612721,74
"64","2017_2019","HOV","Not PM Peak","Southeast Seattle","Capitol Hill/Central District",3676.19462560222,1101.65408626518,0.075943911182984,0.0269473308842721,85
"65","2017_2019","HOV","Not PM Peak","Southeast Seattle","Downtown/Lake Union",2024.51870701633,968.0082062168,0.0418231036526667,0.0212945620929274,41
"66","2017_2019","HOV","Not PM Peak","Southeast Seattle","Duwamish",619.9991500215,317.554148062166,0.0128081250254929,0.00707769418831886,28
"67","2017_2019","HOV","Not PM Peak","Southeast Seattle","Magnolia/Queen Anne",2.70237514944645,4.44540712083022,5.58264616632055e-05,9.26697529475637e-05,1
"68","2017_2019","HOV","Not PM Peak","Southeast Seattle","Northeast Seattle",1849.10987395467,2613.9973081322,0.0381994563229057,0.0525916450439709,23
"69","2017_2019","HOV","Not PM Peak","Southeast Seattle","Northwest Seattle",330.50685408826,344.477054205844,0.00682770792314471,0.00722975889123297,17
"70","2017_2019","HOV","Not PM Peak","Southeast Seattle","Not Seattle",8740.5808458288,6409.67590966738,0.18056549313805,0.113238486846515,72
"71","2017_2019","HOV","Not PM Peak","Southeast Seattle","Southeast Seattle",29973.7945126655,8108.23859354166,0.619207474064021,0.111209061789891,427
"72","2017_2019","HOV","Not PM Peak","Southeast Seattle","West Seattle",1189.29964133446,644.608749035755,0.0245689022290715,0.0140941234104875,33
"73","2017_2019","HOV","Not PM Peak","West Seattle","Capitol Hill/Central District",1726.19146846432,1065.34292043729,0.0186336006585026,0.0126937006153617,25
"74","2017_2019","HOV","Not PM Peak","West Seattle","Downtown/Lake Union",326.312003521652,233.360869982175,0.00352241780519729,0.00274026346951079,21
"75","2017_2019","HOV","Not PM Peak","West Seattle","Duwamish",10331.054008539,10220.8701919164,0.111519920178842,0.10328945922795,54
"76","2017_2019","HOV","Not PM Peak","West Seattle","Magnolia/Queen Anne",26.2186036351139,30.4970263932481,0.000283020162528614,0.000340754687976145,2
"77","2017_2019","HOV","Not PM Peak","West Seattle","Northeast Seattle",132.205524483416,171.093112333277,0.00142710990818617,0.00189725399608423,6
"78","2017_2019","HOV","Not PM Peak","West Seattle","Northwest Seattle",158.202679120516,99.8723815444549,0.0017077396104034,0.00120094897827252,12
"79","2017_2019","HOV","Not PM Peak","West Seattle","Not Seattle",22830.1022791906,13655.1257764266,0.246442539332943,0.130119522774249,95
"80","2017_2019","HOV","Not PM Peak","West Seattle","Southeast Seattle",1045.78859069872,612.522866525328,0.0112889023774601,0.00742564164625988,24
"81","2017_2019","HOV","Not PM Peak","West Seattle","West Seattle",56062.567265793,23295.2437064472,0.605174749965937,0.1494805148352,347
"82","2017_2019","HOV","PM Peak","Capitol Hill/Central District","Capitol Hill/Central District",12045.2392712094,4187.55903233858,0.563864421211991,0.108951977151377,174
"83","2017_2019","HOV","PM Peak","Capitol Hill/Central District","Downtown/Lake Union",3434.65043671748,1499.50510538519,0.160783620562379,0.0686142018816928,36
"84","2017_2019","HOV","PM Peak","Capitol Hill/Central District","Duwamish",180.216932319186,195.24730168711,0.00843635513971445,0.00926759044244074,3
"85","2017_2019","HOV","PM Peak","Capitol Hill/Central District","Magnolia/Queen Anne",5.7871652733615,9.51988687470837,0.000270910068604595,0.000449855407756042,1
"86","2017_2019","HOV","PM Peak","Capitol Hill/Central District","Northeast Seattle",585.343372815636,438.966877390656,0.0274012242257287,0.0209469382354946,17
"87","2017_2019","HOV","PM Peak","Capitol Hill/Central District","Northwest Seattle",373.520202443487,429.281058616331,0.0174853108368876,0.0201459134153179,13
"88","2017_2019","HOV","PM Peak","Capitol Hill/Central District","Not Seattle",2596.79119013113,1747.11520910563,0.121561567060898,0.0764400130923427,16
"89","2017_2019","HOV","PM Peak","Capitol Hill/Central District","Southeast Seattle",1330.32358665353,525.86472876569,0.0622754037776566,0.0271168649039422,42
"90","2017_2019","HOV","PM Peak","Capitol Hill/Central District","West Seattle",810.070213829783,741.446632936118,0.0379211871161394,0.0344858746706179,7
"91","2017_2019","HOV","PM Peak","Downtown/Lake Union","Capitol Hill/Central District",9197.39346591366,8015.70963452261,0.265265992825894,0.180263629373721,50
"92","2017_2019","HOV","PM Peak","Downtown/Lake Union","Downtown/Lake Union",6922.76220313227,3811.38377871081,0.199662371270427,0.107018734853805,83
"93","2017_2019","HOV","PM Peak","Downtown/Lake Union","Duwamish",205.02618203995,237.635803324666,0.00591324856718273,0.00707800530929978,9
"94","2017_2019","HOV","PM Peak","Downtown/Lake Union","Magnolia/Queen Anne",853.356603484871,602.924835214651,0.0246120259502739,0.0187415559368208,26
"95","2017_2019","HOV","PM Peak","Downtown/Lake Union","Northeast Seattle",1406.66908409572,1407.74848037442,0.0405703499097909,0.0410844230971948,18
"96","2017_2019","HOV","PM Peak","Downtown/Lake Union","Northwest Seattle",554.52810400365,369.856387695602,0.0159933842782245,0.01170755989573,28
"97","2017_2019","HOV","PM Peak","Downtown/Lake Union","Not Seattle",14157.6883807653,6673.16216932299,0.408327998401039,0.155989086433789,46
"98","2017_2019","HOV","PM Peak","Downtown/Lake Union","Southeast Seattle",1328.50610715258,778.522539276204,0.0383160177712462,0.0249003571807622,18
"99","2017_2019","HOV","PM Peak","Downtown/Lake Union","West Seattle",46.4127805153566,25.1845451507373,0.00133861102592215,0.000845431101930357,12
"100","2017_2019","HOV","PM Peak","Duwamish","Capitol Hill/Central District",111.673580793867,110.279165579032,0.0275091070750551,0.0285755887758582,7
"101","2017_2019","HOV","PM Peak","Duwamish","Downtown/Lake Union",463.086444123469,323.793118748457,0.114074380760778,0.0834267889992522,12
"102","2017_2019","HOV","PM Peak","Duwamish","Duwamish",406.644656255545,307.023075731298,0.100170795195341,0.0784503216841374,20
"103","2017_2019","HOV","PM Peak","Duwamish","Northeast Seattle",287.010428177176,461.704976938924,0.0707007023886616,0.109058060488752,3
"104","2017_2019","HOV","PM Peak","Duwamish","Northwest Seattle",16.0097172142089,11.7779738571434,0.00394375305203083,0.00328650349085626,5
"105","2017_2019","HOV","PM Peak","Duwamish","Not Seattle",986.407672383221,889.558676034317,0.242986694671621,0.184339892846544,14
"106","2017_2019","HOV","PM Peak","Duwamish","Southeast Seattle",810.495488099988,717.499810679592,0.199653373765696,0.158249960362357,15
"107","2017_2019","HOV","PM Peak","Duwamish","West Seattle",978.185122163223,929.685771956866,0.240961193090817,0.190568377913839,35
"108","2017_2019","HOV","PM Peak","Magnolia/Queen Anne","Downtown/Lake Union",110.781166357931,64.057706511162,0.00745643674955452,0.00663989620831297,13
"109","2017_2019","HOV","PM Peak","Magnolia/Queen Anne","Duwamish",721.248628358596,876.593514688734,0.0485456594732252,0.0650826760658235,3
"110","2017_2019","HOV","PM Peak","Magnolia/Queen Anne","Magnolia/Queen Anne",11063.5456503264,9878.52991288097,0.744662933958739,0.201793685330706,25
"111","2017_2019","HOV","PM Peak","Magnolia/Queen Anne","Northeast Seattle",782.690375673414,563.174009993703,0.0526811684021962,0.0507159622684841,11
"112","2017_2019","HOV","PM Peak","Magnolia/Queen Anne","Northwest Seattle",1064.90666076787,686.281537977848,0.0716765260851265,0.0648813681200289,20
"113","2017_2019","HOV","PM Peak","Magnolia/Queen Anne","Not Seattle",1094.44362441155,1781.44480245096,0.0736645941694739,0.121551490047888,4
"114","2017_2019","HOV","PM Peak","Magnolia/Queen Anne","Southeast Seattle",19.502659920796,32.0818755696222,0.00131268116168446,0.00233440545130025,1
"115","2017_2019","HOV","PM Peak","Northeast Seattle","Capitol Hill/Central District",855.840813522488,854.098313657031,0.01715131755548,0.0173823556464584,15
"116","2017_2019","HOV","PM Peak","Northeast Seattle","Downtown/Lake Union",1216.22707343394,1539.26455829989,0.024373570909971,0.0307245367801834,17
"117","2017_2019","HOV","PM Peak","Northeast Seattle","Magnolia/Queen Anne",414.050934182183,465.962398157167,0.0082977102097681,0.00950007960718472,4
"118","2017_2019","HOV","PM Peak","Northeast Seattle","Northeast Seattle",25193.0105280749,8707.18153292532,0.504875809751518,0.127876834469828,164
"119","2017_2019","HOV","PM Peak","Northeast Seattle","Northwest Seattle",4318.39817413463,2331.18604655973,0.0865420499295248,0.0478978977123078,67
"120","2017_2019","HOV","PM Peak","Northeast Seattle","Not Seattle",16253.7460890492,8439.61939469478,0.325730154760959,0.130007202552507,40
"121","2017_2019","HOV","PM Peak","Northeast Seattle","Southeast Seattle",1648.14727780927,2609.92472066268,0.0330293868827792,0.0512470280198413,10
"122","2017_2019","HOV","PM Peak","Northwest Seattle","Capitol Hill/Central District",71.3334150970577,44.0332760719061,0.00116912862954788,0.000813829980760452,11
