"","survey","seattle_od","mode_nonm","count","count_moe","share","share_moe","sample_size"
"1","2017_2019","Capitol Hill/Central District","HOV",27577.0749148327,6081.08050248117,0.227588885301121,0.0530125292958302,378
"2","2017_2019","Capitol Hill/Central District","Non-Motorized",29807.5050686035,7069.68457457206,0.245996244094844,0.0583881259368837,609
"3","2017_2019","Capitol Hill/Central District","Other",224.792945636235,125.791655295134,0.00185517775467147,0.00108143201628685,24
"4","2017_2019","Capitol Hill/Central District","SOV",46022.060839439,16882.5466800266,0.37981220118725,0.0930894308018563,416
"5","2017_2019","Capitol Hill/Central District","Transit",17415.4313598908,5832.54789088688,0.143726578053566,0.047169524645333,291
"6","2017_2019","Downtown/Lake Union","HOV",49030.5806832982,14495.7697426128,0.177413225087867,0.0471030877990066,385
"7","2017_2019","Downtown/Lake Union","Non-Motorized",71766.0965874822,13668.781366754,0.259679866526437,0.0460963482345338,1444
"8","2017_2019","Downtown/Lake Union","Other",1284.83986746041,736.211133418801,0.00464909004606726,0.00270853906538337,48
"9","2017_2019","Downtown/Lake Union","SOV",69735.4954153453,20402.6006771244,0.252332298992147,0.0599662156576872,533
"10","2017_2019","Downtown/Lake Union","Transit",83748.251120013,15922.8567987866,0.303036332011693,0.0509813655160336,1291
"11","2017_2019","Duwamish","HOV",14180.4666869351,9450.17475067295,0.231383590586933,0.130128586977362,137
"12","2017_2019","Duwamish","Non-Motorized",2994.67953619416,1795.37253030418,0.0488643793634962,0.0309832265035206,50
"13","2017_2019","Duwamish","Other",637.324905766416,734.398537402957,0.010399271640515,0.0122073531808363,5
"14","2017_2019","Duwamish","SOV",38754.4336700378,13957.0804633628,0.632358596631956,0.131508375000481,234
"15","2017_2019","Duwamish","Transit",4655.53299168305,1851.45583453098,0.0759646324407658,0.0349652939172513,81
"16","2017_2019","Magnolia/Queen Anne","HOV",15692.9006072509,10128.1753533881,0.189134520417569,0.114148888965919,94
"17","2017_2019","Magnolia/Queen Anne","Non-Motorized",31045.2310429942,20015.7557208018,0.374164409214209,0.171398463822751,100
"18","2017_2019","Magnolia/Queen Anne","Other",4782.4925040021,5199.04257348312,0.0576397218578645,0.0618348363862546,7
"19","2017_2019","Magnolia/Queen Anne","SOV",28417.6385878562,13857.2953404796,0.342496048387039,0.145364808361354,185
"20","2017_2019","Magnolia/Queen Anne","Transit",3009.08135794378,1283.89707581854,0.0362661545991811,0.0189891932693503,52
"21","2017_2019","Northeast Seattle","HOV",89112.0578292218,20444.6892316506,0.376367132175434,0.0722992867914725,421
"22","2017_2019","Northeast Seattle","Non-Motorized",30018.1784551257,5574.61113184162,0.126782570322164,0.0282631061104121,626
"23","2017_2019","Northeast Seattle","Other",139.886036193005,136.309109245418,0.000590812372151119,0.000582595665195194,9
"24","2017_2019","Northeast Seattle","SOV",84822.0110105326,27295.762459762,0.358248006016966,0.082668853612589,566
"25","2017_2019","Northeast Seattle","Transit",32403.0572721623,11862.887608272,0.136855169057054,0.0476634835488753,394
"26","2017_2019","Northwest Seattle","HOV",87297.423754794,25732.3610606436,0.449693513479516,0.0871629077969834,593
"27","2017_2019","Northwest Seattle","Non-Motorized",23430.046116511,3754.89835440039,0.120694738812866,0.0265525560502875,480
"28","2017_2019","Northwest Seattle","Other",789.578129692112,505.269809524235,0.00406733839368693,0.00268295751343636,19
"29","2017_2019","Northwest Seattle","SOV",65047.392623026,19037.6964124169,0.335077362803891,0.0800770245143369,664
"30","2017_2019","Northwest Seattle","Transit",15948.3488113187,6678.30830798771,0.0821544176527307,0.0344130636566962,152
"31","2017_2019","Southeast Seattle","HOV",43898.4810215741,10745.5157579806,0.521461364183532,0.090599464563874,293
"32","2017_2019","Southeast Seattle","Non-Motorized",8333.59129405744,3668.11863456983,0.0989930809362519,0.0429514299413251,187
"33","2017_2019","Southeast Seattle","Other",251.759377780045,178.121401108933,0.00299059980045005,0.00217815178273621,13
"34","2017_2019","Southeast Seattle","SOV",24678.1722544738,9207.43356695029,0.293147121948246,0.0881435665723218,321
"35","2017_2019","Southeast Seattle","Transit",6660.64107552342,4243.55983204884,0.0791204365333817,0.0484223670632578,88
"36","2017_2019","West Seattle","HOV",43524.017326369,18173.8414530708,0.418018224903944,0.133899029741631,303
"37","2017_2019","West Seattle","Non-Motorized",13994.9117089759,4165.36957789428,0.134411493001801,0.0500878106228644,158
"38","2017_2019","West Seattle","Other",147.257134131075,236.935597683047,0.00141430340293105,0.00230477711255533,2
"39","2017_2019","West Seattle","SOV",43609.0796191039,21268.91580101,0.418835189669597,0.140562095142078,298
"40","2017_2019","West Seattle","Transit",2834.04994024594,1252.14500612678,0.0272190987432816,0.0138443517088659,41
