survey,mode_incl_hov,PM_Peak,area,area_dest,count,count_moe,sample_size
2017_2019,Bike,Not PM Peak,Capitol Hill/Central District,Capitol Hill/Central District,1563.534351,880.8899962,38
2017_2019,Bike,Not PM Peak,Capitol Hill/Central District,Downtown/Lake Union,496.9202614,420.2024834,23
2017_2019,Bike,Not PM Peak,Capitol Hill/Central District,Duwamish,61.68096338,52.27602875,4
2017_2019,Bike,Not PM Peak,Capitol Hill/Central District,Magnolia/Queen Anne,447.2828469,735.7802831,1
2017_2019,Bike,Not PM Peak,Capitol Hill/Central District,Northeast Seattle,204.8841818,156.6450111,8
2017_2019,Bike,Not PM Peak,Capitol Hill/Central District,Northwest Seattle,333.4024278,444.1554892,11
2017_2019,Bike,Not PM Peak,Capitol Hill/Central District,Southeast Seattle,780.6894372,639.1620426,7
2017_2019,Bike,Not PM Peak,Downtown/Lake Union,Capitol Hill/Central District,412.5258533,415.6319253,14
2017_2019,Bike,Not PM Peak,Downtown/Lake Union,Downtown/Lake Union,670.2177259,193.0457889,46
2017_2019,Bike,Not PM Peak,Downtown/Lake Union,Duwamish,22.23506928,18.08373835,6
2017_2019,Bike,Not PM Peak,Downtown/Lake Union,Magnolia/Queen Anne,55.57647257,34.39597592,13
2017_2019,Bike,Not PM Peak,Downtown/Lake Union,Northeast Seattle,125.8983591,89.82520437,9
2017_2019,Bike,Not PM Peak,Downtown/Lake Union,Northwest Seattle,81.0801341,63.05044417,6
2017_2019,Bike,Not PM Peak,Downtown/Lake Union,Southeast Seattle,14.42752481,14.67084707,3
2017_2019,Bike,Not PM Peak,Downtown/Lake Union,Not Seattle,22.34016137,30.27801478,2
2017_2019,Bike,Not PM Peak,Duwamish,Downtown/Lake Union,7.696951196,11.72599818,2
2017_2019,Bike,Not PM Peak,Duwamish,Duwamish,79.04308585,72.6658757,5
2017_2019,Bike,Not PM Peak,Duwamish,Southeast Seattle,32.73478766,38.8200524,2
2017_2019,Bike,Not PM Peak,Magnolia/Queen Anne,Capitol Hill/Central District,339.5433273,558.5487734,1
2017_2019,Bike,Not PM Peak,Magnolia/Queen Anne,Downtown/Lake Union,28.96561343,24.9063721,5
2017_2019,Bike,Not PM Peak,Magnolia/Queen Anne,Magnolia/Queen Anne,998.5680862,1108.531437,5
2017_2019,Bike,Not PM Peak,Magnolia/Queen Anne,Northeast Seattle,216.8913426,317.3295452,3
2017_2019,Bike,Not PM Peak,Magnolia/Queen Anne,Northwest Seattle,225.0301822,307.2129325,8
2017_2019,Bike,Not PM Peak,Magnolia/Queen Anne,Not Seattle,203.0632101,334.0389807,1
2017_2019,Bike,Not PM Peak,Northeast Seattle,Capitol Hill/Central District,3587.232117,5435.813285,10
2017_2019,Bike,Not PM Peak,Northeast Seattle,Downtown/Lake Union,3593.998037,5435.414074,11
2017_2019,Bike,Not PM Peak,Northeast Seattle,Duwamish,257.4663599,423.5321621,1
2017_2019,Bike,Not PM Peak,Northeast Seattle,Magnolia/Queen Anne,44.67565612,46.43448989,3
2017_2019,Bike,Not PM Peak,Northeast Seattle,Northeast Seattle,3338.125831,1028.400551,86
2017_2019,Bike,Not PM Peak,Northeast Seattle,Northwest Seattle,389.762459,263.0104131,17
2017_2019,Bike,Not PM Peak,Northeast Seattle,Not Seattle,1225.26127,1391.391372,8
2017_2019,Bike,Not PM Peak,Northwest Seattle,Capitol Hill/Central District,555.2460573,582.2745275,8
2017_2019,Bike,Not PM Peak,Northwest Seattle,Downtown/Lake Union,3948.498723,3392.738451,45
2017_2019,Bike,Not PM Peak,Northwest Seattle,Duwamish,16.28927704,22.5817976,2
2017_2019,Bike,Not PM Peak,Northwest Seattle,Magnolia/Queen Anne,181.9328968,125.616685,9
2017_2019,Bike,Not PM Peak,Northwest Seattle,Northeast Seattle,1657.468713,931.6554447,47
2017_2019,Bike,Not PM Peak,Northwest Seattle,Northwest Seattle,2218.101272,983.7550248,55
2017_2019,Bike,Not PM Peak,Northwest Seattle,Not Seattle,163.1609572,176.961554,7
2017_2019,Bike,Not PM Peak,Southeast Seattle,Capitol Hill/Central District,337.0209849,364.5132571,8
2017_2019,Bike,Not PM Peak,Southeast Seattle,Downtown/Lake Union,225.7163024,232.0414471,15
2017_2019,Bike,Not PM Peak,Southeast Seattle,Duwamish,35.24566797,37.64671942,3
2017_2019,Bike,Not PM Peak,Southeast Seattle,Northwest Seattle,8.527791426,14.0282169,1
2017_2019,Bike,Not PM Peak,Southeast Seattle,Southeast Seattle,437.8606121,405.5727951,4
2017_2019,Bike,Not PM Peak,West Seattle,Downtown/Lake Union,1766.082972,2060.26751,8
2017_2019,Bike,Not PM Peak,West Seattle,Duwamish,9.101788329,14.9724418,1
2017_2019,Bike,Not PM Peak,West Seattle,Northeast Seattle,9.893836576,16.27536117,1
2017_2019,Bike,Not PM Peak,West Seattle,West Seattle,3885.704326,2439.94978,15
2017_2019,Bike,Not PM Peak,Not Seattle,Downtown/Lake Union,436.1985261,526.4559078,9
2017_2019,Bike,Not PM Peak,Not Seattle,Northeast Seattle,1502.09219,1753.886184,4
2017_2019,Bike,Not PM Peak,Not Seattle,Northwest Seattle,22.42356374,27.92538419,3
2017_2019,Bike,Not PM Peak,Not Seattle,Not Seattle,26688.30378,14921.70928,92
2017_2019,Bike,PM Peak,Capitol Hill/Central District,Capitol Hill/Central District,688.9114572,599.956909,19
2017_2019,Bike,PM Peak,Capitol Hill/Central District,Downtown/Lake Union,534.3551288,835.7296553,6
2017_2019,Bike,PM Peak,Capitol Hill/Central District,Northeast Seattle,3439.453512,5433.088418,7
2017_2019,Bike,PM Peak,Capitol Hill/Central District,Northwest Seattle,238.8134139,376.6839247,3
2017_2019,Bike,PM Peak,Capitol Hill/Central District,Southeast Seattle,156.3875085,195.9849285,7
2017_2019,Bike,PM Peak,Capitol Hill/Central District,Not Seattle,12.29381988,20.2233337,1
2017_2019,Bike,PM Peak,Downtown/Lake Union,Capitol Hill/Central District,144.1674074,79.46160715,15
2017_2019,Bike,PM Peak,Downtown/Lake Union,Downtown/Lake Union,363.1277315,132.1628537,34
2017_2019,Bike,PM Peak,Downtown/Lake Union,Duwamish,6.535218782,6.979976321,3
2017_2019,Bike,PM Peak,Downtown/Lake Union,Magnolia/Queen Anne,715.0681423,849.3406469,5
2017_2019,Bike,PM Peak,Downtown/Lake Union,Northeast Seattle,5059.026158,8124.032389,6
2017_2019,Bike,PM Peak,Downtown/Lake Union,Northwest Seattle,1855.084693,1187.992461,34
2017_2019,Bike,PM Peak,Downtown/Lake Union,Southeast Seattle,204.3122771,231.1904819,12
2017_2019,Bike,PM Peak,Downtown/Lake Union,West Seattle,2003.742852,2293.37577,7
2017_2019,Bike,PM Peak,Downtown/Lake Union,Not Seattle,423.9146214,529.4306819,7
2017_2019,Bike,PM Peak,Duwamish,Capitol Hill/Central District,61.68096338,52.27602875,4
2017_2019,Bike,PM Peak,Duwamish,Downtown/Lake Union,11.92606947,14.5443704,2
2017_2019,Bike,PM Peak,Duwamish,Duwamish,35.59850244,55.63107633,4
2017_2019,Bike,PM Peak,Duwamish,Northeast Seattle,257.4663599,423.5321621,1
2017_2019,Bike,PM Peak,Duwamish,Northwest Seattle,19.2601762,23.10450249,3
2017_2019,Bike,PM Peak,Duwamish,Southeast Seattle,3.754580581,6.176285056,1
2017_2019,Bike,PM Peak,Duwamish,West Seattle,9.101788329,14.9724418,1
2017_2019,Bike,PM Peak,Magnolia/Queen Anne,Downtown/Lake Union,40.05682003,37.20652002,7
2017_2019,Bike,PM Peak,Magnolia/Queen Anne,Magnolia/Queen Anne,12.53019819,12.4190089,3
2017_2019,Bike,PM Peak,Magnolia/Queen Anne,Northeast Seattle,32.30347537,33.91896958,5
2017_2019,Bike,PM Peak,Magnolia/Queen Anne,Northwest Seattle,726.2048036,1020.495481,7
2017_2019,Bike,PM Peak,Northeast Seattle,Capitol Hill/Central District,81.87938736,87.63861635,4
2017_2019,Bike,PM Peak,Northeast Seattle,Downtown/Lake Union,56.14985523,48.69678675,7
2017_2019,Bike,PM Peak,Northeast Seattle,Magnolia/Queen Anne,3.295277978,5.420732273,1
2017_2019,Bike,PM Peak,Northeast Seattle,Northeast Seattle,6413.086284,7658.014579,43
2017_2019,Bike,PM Peak,Northeast Seattle,Northwest Seattle,1267.409019,897.376207,30
2017_2019,Bike,PM Peak,Northeast Seattle,Not Seattle,9.452424652,13.55888295,2
2017_2019,Bike,PM Peak,Northwest Seattle,Capitol Hill/Central District,20.71790295,15.97331991,5
2017_2019,Bike,PM Peak,Northwest Seattle,Downtown/Lake Union,111.7502989,101.562234,4
2017_2019,Bike,PM Peak,Northwest Seattle,Magnolia/Queen Anne,620.2570045,1015.573919,2
2017_2019,Bike,PM Peak,Northwest Seattle,Northeast Seattle,161.579355,162.3758429,8
2017_2019,Bike,PM Peak,Northwest Seattle,Northwest Seattle,1726.602154,812.7230708,48
2017_2019,Bike,PM Peak,Northwest Seattle,Southeast Seattle,8.527791426,14.0282169,1
2017_2019,Bike,PM Peak,Southeast Seattle,Capitol Hill/Central District,596.236692,560.3175878,6
2017_2019,Bike,PM Peak,Southeast Seattle,Southeast Seattle,718.8080057,465.4331144,18
2017_2019,Bike,PM Peak,Southeast Seattle,West Seattle,0.989642303,1.627961588,1
2017_2019,Bike,PM Peak,West Seattle,Capitol Hill/Central District,9.823857996,16.1602464,1
2017_2019,Bike,PM Peak,West Seattle,West Seattle,4798.428429,2934.272367,9
2017_2019,Bike,PM Peak,Not Seattle,Downtown/Lake Union,4.490078398,7.386178965,1
2017_2019,Bike,PM Peak,Not Seattle,Magnolia/Queen Anne,10124.97772,16655.58835,1
2017_2019,Bike,PM Peak,Not Seattle,Northeast Seattle,25.80252487,23.36589812,5
2017_2019,Bike,PM Peak,Not Seattle,Northwest Seattle,30.38805882,36.10601822,2
2017_2019,Bike,PM Peak,Not Seattle,West Seattle,9.676183673,15.91732214,1
2017_2019,Bike,PM Peak,Not Seattle,Not Seattle,13242.63515,9248.534704,94
2017_2019,HOV,Not PM Peak,Capitol Hill/Central District,Capitol Hill/Central District,19887.85079,8266.16994,294
2017_2019,HOV,Not PM Peak,Capitol Hill/Central District,Downtown/Lake Union,16551.74857,11342.02291,105
2017_2019,HOV,Not PM Peak,Capitol Hill/Central District,Duwamish,289.4950537,199.4296094,15
2017_2019,HOV,Not PM Peak,Capitol Hill/Central District,Magnolia/Queen Anne,683.4121096,723.4940489,12
2017_2019,HOV,Not PM Peak,Capitol Hill/Central District,Northeast Seattle,2242.044114,1326.728581,31
2017_2019,HOV,Not PM Peak,Capitol Hill/Central District,Northwest Seattle,1422.584812,781.5386833,38
2017_2019,HOV,Not PM Peak,Capitol Hill/Central District,Southeast Seattle,1997.016021,917.3066216,50
2017_2019,HOV,Not PM Peak,Capitol Hill/Central District,West Seattle,780.2370448,717.4514897,13
2017_2019,HOV,Not PM Peak,Capitol Hill/Central District,Not Seattle,8361.192688,4225.726536,71
2017_2019,HOV,Not PM Peak,Downtown/Lake Union,Capitol Hill/Central District,13697.27691,10547.88054,111
2017_2019,HOV,Not PM Peak,Downtown/Lake Union,Downtown/Lake Union,16279.8889,7846.133067,152
2017_2019,HOV,Not PM Peak,Downtown/Lake Union,Duwamish,699.1803223,446.2653918,24
2017_2019,HOV,Not PM Peak,Downtown/Lake Union,Magnolia/Queen Anne,2094.128326,1050.15963,44
2017_2019,HOV,Not PM Peak,Downtown/Lake Union,Northeast Seattle,2412.975513,1272.115115,42
2017_2019,HOV,Not PM Peak,Downtown/Lake Union,Northwest Seattle,6016.192928,5701.626214,47
2017_2019,HOV,Not PM Peak,Downtown/Lake Union,Southeast Seattle,1222.28848,612.3451163,32
2017_2019,HOV,Not PM Peak,Downtown/Lake Union,West Seattle,184.606959,144.3579411,19
2017_2019,HOV,Not PM Peak,Downtown/Lake Union,Not Seattle,38077.18489,19221.29415,130
2017_2019,HOV,Not PM Peak,Duwamish,Capitol Hill/Central District,430.0719832,438.5054797,15
2017_2019,HOV,Not PM Peak,Duwamish,Downtown/Lake Union,587.21589,374.3335955,33
2017_2019,HOV,Not PM Peak,Duwamish,Duwamish,1388.547477,677.1082471,57
2017_2019,HOV,Not PM Peak,Duwamish,Magnolia/Queen Anne,555.3026692,845.120073,2
2017_2019,HOV,Not PM Peak,Duwamish,Northeast Seattle,1319.263085,1260.635941,15
2017_2019,HOV,Not PM Peak,Duwamish,Northwest Seattle,539.0689227,388.0015238,17
2017_2019,HOV,Not PM Peak,Duwamish,Southeast Seattle,555.0462737,310.2599104,24
2017_2019,HOV,Not PM Peak,Duwamish,West Seattle,925.4325011,559.4624692,36
2017_2019,HOV,Not PM Peak,Duwamish,Not Seattle,18645.08185,12427.4921,29
2017_2019,HOV,Not PM Peak,Magnolia/Queen Anne,Capitol Hill/Central District,4616.497179,4312.639104,17
2017_2019,HOV,Not PM Peak,Magnolia/Queen Anne,Downtown/Lake Union,1281.205446,689.3586465,58
2017_2019,HOV,Not PM Peak,Magnolia/Queen Anne,Duwamish,131.8060482,109.9202501,5
2017_2019,HOV,Not PM Peak,Magnolia/Queen Anne,Magnolia/Queen Anne,31158.90209,14877.30411,83
