,geography,value,geography_group
0,King,228960.05480246426,CountyName
1,Kitsap,3907.4332852276184,CountyName
2,Pierce,21277.45098578152,CountyName
3,Snohomish,27504.166740125445,CountyName
0,1,135771.89373143218,region
0,Auburn,61667.595384615386,GrowthCenterName
1,Ballard-Interbay,515037.51851851854,GrowthCenterName
2,Bellevue,474023.8509527855,GrowthCenterName
3,Bothell Canyon Park,40840.0,GrowthCenterName
4,Bremerton,31140.425515055467,GrowthCenterName
5,Burien,180822.54462762934,GrowthCenterName
6,Cascade,6107.169533169533,GrowthCenterName
7,Duwamish,496215.1819645733,GrowthCenterName
8,Everett,62891.50737633787,GrowthCenterName
9,Federal Way,0.0,GrowthCenterName
10,Frederickson,0.0,GrowthCenterName
11,Kent,148516.69486823856,GrowthCenterName
12,Kent MIC,105071.03,GrowthCenterName
13,Kirkland Totem Lake,109992.88438278192,GrowthCenterName
14,Lakewood,31692.139145012574,GrowthCenterName
15,Lynnwood,74481.56410256411,GrowthCenterName
16,North Tukwila,46285.4,GrowthCenterName
17,Not in RGC,103349.65543181315,GrowthCenterName
18,Paine Field / Boeing Everett,67958.805,GrowthCenterName
19,Port of Tacoma,98925.0,GrowthCenterName
20,Puyallup Downtown,36995.91930835735,GrowthCenterName
21,Puyallup South Hill,24693.544581618655,GrowthCenterName
22,Redmond Downtown,281189.1515502753,GrowthCenterName
23,Redmond-Overlake,408874.87341772154,GrowthCenterName
24,Renton,157464.2085648905,GrowthCenterName
25,SeaTac,124169.01265822785,GrowthCenterName
26,Seattle Downtown,745844.1492924726,GrowthCenterName
27,Seattle First Hill/Capitol Hill,661430.441510293,GrowthCenterName
28,Seattle Northgate,473517.3696651346,GrowthCenterName
29,Seattle South Lake Union,635683.2229644132,GrowthCenterName
30,Seattle University Community,672756.9856022242,GrowthCenterName
31,Seattle Uptown,602069.9452408256,GrowthCenterName
32,Silverdale,6369.774685816876,GrowthCenterName
33,Sumner Pacific,739.8148148148148,GrowthCenterName
34,Tacoma Downtown,96387.93498016127,GrowthCenterName
35,Tacoma Mall,79090.26080956761,GrowthCenterName
36,Tukwila,251936.0,GrowthCenterName
0,CitiesTowns,14915.875836833815,rg_proposed
1,Core,57431.726830688196,rg_proposed
2,HCT,38249.39559871329,rg_proposed
3,Metro,336032.03828345216,rg_proposed
4,Rural,395.2925345227401,rg_proposed
5,UU,8092.831078209125,rg_proposed
0,53033000100.0,283805.98122780316,Census2010Tract
1,53033000200.0,255782.63342245988,Census2010Tract
2,53033000300.0,269569.4611353712,Census2010Tract
3,53033000401.0,318646.33907247987,Census2010Tract
4,53033000402.0,298587.2264309764,Census2010Tract
5,53033000500.0,78036.77862016679,Census2010Tract
6,53033000600.0,381847.6062176166,Census2010Tract
7,53033000700.0,406523.2082498999,Census2010Tract
8,53033000800.0,158895.22222222222,Census2010Tract
9,53033000900.0,104882.66091954023,Census2010Tract
10,53033001000.0,372198.1770700637,Census2010Tract
11,53033001100.0,396753.6790909091,Census2010Tract
12,53033001200.0,466879.80850534694,Census2010Tract
13,53033001300.0,512254.6700041719,Census2010Tract
14,53033001400.0,333740.5767903365,Census2010Tract
15,53033001500.0,285825.660326087,Census2010Tract
16,53033001600.0,367211.325494388,Census2010Tract
