geoid10,geoid_nm,jobs_auto,jobs_transit,supermarket,pharmacy,restaurant,park,school
53033026500,53033026500,484964,89551,0.83,0.79,0.55,0.3,0.4
53033026400,53033026400,636797,42169,0.56,0.82,0.48,0.28,0.35
53033026300,53033026300,570108,44095,0.7,1.15,0.87,0.09,1.15
53033026200,53033026200,521395,229579,0.7,0.6,0.5,0.27,0.17
53033026100,53033026100,460633,116602,0.91,1.25,0.58,0.16,0.33
53033026001,53033026001,434338,55153,1.54,1.61,0.53,0.21,0.3
53033021500,53033021500,231848,35301,0.74,0.81,0.53,0.22,0.76
53033021400,53033021400,272945,71555,0.57,0.57,0.44,0.38,0.39
53033021300,53033021300,312869,181805,0.45,0.77,0.27,0.22,0.49
53033001702,53033001702,509019,408917,0.26,0.27,0.24,0.21,0.44
53033004302,53033004302,891997,566359,0.33,0.42,0.16,0.06,0.74
53033004301,53033004301,868240,506311,0.39,0.45,0.1,0.08,0.48
53033007402,53033007402,965801,730039,0.15,0.08,0.15,0.11,0.52
53033010002,53033010002,1017378,604238,0.49,0.35,0.29,0.17,0.37
53033010001,53033010001,924890,496858,0.39,0.48,0.21,0.08,0.41
53033011002,53033011002,809462,385409,0.63,0.65,0.57,0.17,0.65
53033010402,53033010402,880567,455745,0.68,0.45,0.38,0.08,0.32
53033010702,53033010702,442196,331031,0.22,0.8,0.54,0.04,0.32
53033011402,53033011402,382120,234837,0.28,0.3,0.24,0.23,0.46
53033022605,53033022605,434333,128639,0.46,0.76,0.41,0.18,0.49
53033022902,53033022902,404206,94099,1.37,1.41,0.86,0.16,0.52
53033024602,53033024602,253991,6480,0.56,0.56,0.56,0.15,0.44
53033025803,53033025803,351558,13459,0.4,0.94,0.87,0.25,0.48
53033031601,53033031601,117826,0,2.22,2.29,1.34,0.78,0.91
53033031603,53033031603,54860,17,2.1,2.1,0.7,0.23,1.35
53033032103,53033032103,268079,25001,0.85,0.76,0.58,0.21,0.39
53033025001,53033025001,382058,35750,0.74,0.46,0.44,0.17,0.65
53033032401,53033032401,31691,0,1.11,1.24,1.04,0.89,0.97
53033032402,53033032402,26727,0,0.97,1.02,0.91,0.83,1.09
53033031501,53033031501,22634,0,4.71,4.61,3.68,0.9,5.8
53033021100,53033021100,316936,121735,0.36,0.49,0.41,0.13,0.35
53033021000,53033021000,310614,238969,0.45,0.54,0.4,0.16,0.35
53033020900,53033020900,295684,291327,0.31,0.27,0.28,0.26,0.7
53033020800,53033020800,215772,33759,0.39,0.46,0.41,0.24,0.77
53033020700,53033020700,263188,301835,0.28,0.25,0.25,0.16,0.29
53033020600,53033020600,289255,128552,0.45,0.43,0.4,0.14,0.34
53033020500,53033020500,280795,42456,0.33,0.27,0.26,0.36,0.49
53033011401,53033011401,411847,338559,0.53,0.54,0.35,0.16,0.2
53033025302,53033025302,487752,156100,0.7,0.79,0.27,0.25,0.39
53033025806,53033025806,406424,65894,0.46,0.63,0.58,0.16,0.53
53033027701,53033027701,1515,0,1.13,1.08,0.89,0.14,2.72
53033032326,53033032326,233804,6983,1.85,1.45,1.42,0.24,1.03
53033032327,53033032327,155021,0,1.25,1.18,1.09,0.34,1.15
53033023404,53033023404,352321,24579,1.56,1.24,1.46,0.06,0.81
53033023403,53033023403,367480,34630,1,0.95,0.8,0.07,0.61
53033023804,53033023804,574602,461210,0.24,0.35,0.17,0.19,0.57
53033023201,53033023201,465698,285028,0.23,0.25,0.2,0.24,0.35
53033023900,53033023900,545535,264497,0.67,0.9,0.59,0.13,0.53
53033032322,53033032322,254736,4330,2.06,1.49,1.42,0.51,0.61
53033032321,53033032321,326005,6537,2.01,1.47,1.22,0.43,0.58
53033021804,53033021804,275908,58651,0.38,0.44,0.36,0.12,0.42
53033022101,53033022101,211093,12453,0.74,0.74,0.45,0.33,0.62
53033025003,53033025003,331619,1505,0.99,0.78,0.96,0.13,0.87
53033022701,53033022701,551897,308924,0.5,0.51,0.21,0.13,0.78
53033032008,53033032008,94148,2946,1.37,1.45,0.58,0.38,1.22
53033032208,53033032208,162849,10922,0.74,0.77,0.59,0.2,0.73
53033020402,53033020402,243847,27146,0.73,1.02,0.52,0.29,0.35
53033020401,53033020401,255720,32096,0.57,0.68,0.41,0.28,0.42
53033020300,53033020300,228226,225624,0.34,0.45,0.32,0.22,0.35
53033020200,53033020200,220826,55145,0.44,0.42,0.27,0.31,0.25
53033020100,53033020100,184389,20129,1.01,1.04,0.26,0.1,0.98
53033012100,53033012100,311346,63114,1.11,1.12,0.88,0.11,0.72
53033023803,53033023803,611144,488428,0.18,0.1,0.05,0.12,0.85
53033025006,53033025006,269542,235,1.49,1.09,1.15,0.11,1.47
53033025005,53033025005,357019,24145,0.7,0.66,0.44,0.05,1
53033025602,53033025602,315547,4669,0.69,0.69,0.63,0.17,0.51
53033029206,53033029206,459644,117406,0.65,0.61,0.53,0.29,0.3
53033029102,53033029102,421804,33157,0.72,0.62,0.62,0.18,0.34
53033029101,53033029101,450988,53508,0.69,0.76,0.49,0.12,0.31
53033030006,53033030006,332918,62303,0.34,0.17,0.17,0.07,0.28
53033030314,53033030314,325665,35495,0.34,0.41,0.38,0.18,0.38
53033030313,53033030313,351906,40175,0.44,0.21,0.2,0.24,0.71
53033031605,53033031605,92114,0,2.29,2.31,1.23,0.29,0.87
53033024100,53033024100,866739,497507,0.89,0.89,0.82,0.25,0.76
53033022703,53033022703,450025,110993,0.44,0.88,0.57,0.16,0.36
53033024200,53033024200,843061,427299,1.37,1.36,1.44,0.23,0.95
53033022203,53033022203,256474,20189,0.68,1.22,0.3,0.12,0.53
53033024800,53033024800,422166,243748,0.4,0.39,0.36,0.24,0.24
53033024902,53033024902,362044,25940,0.84,1.76,0.88,0.08,0.46
53033024903,53033024903,351857,1566,0.73,1.4,0.64,0.05,0.96
53033025102,53033025102,358549,10060,0.44,0.41,0.37,0.26,0.4
53033031903,53033031903,224661,2698,2.2,2.16,0.91,0.38,0.73
53033031904,53033031904,103975,162,3.71,3.79,2.42,0.6,0.87
53033031906,53033031906,167641,59,1.73,1.71,1.19,0.16,1.96
53033031301,53033031301,47153,40,1.08,1.31,1.36,0.5,1.18
53033031100,53033031100,228259,12558,0.99,1.56,0.52,0.18,0.53
53033031000,53033031000,216514,5521,1.2,1.17,0.9,0.27,0.55
53033030902,53033030902,242515,3666,1.06,0.93,0.56,0.17,0.56
53033030901,53033030901,278718,5697,1.3,0.91,0.53,0.2,0.74
53033030802,53033030802,235913,30775,0.62,1.06,0.66,0.13,0.37
53033030801,53033030801,233007,19813,0.58,0.76,0.53,0.19,0.2
53033012000,53033012000,339190,99717,0.7,0.71,0.57,0.24,0.27
53033011900,53033011900,517202,92211,1.14,1.36,0.64,0.21,0.44
53033010900,53033010900,825149,462602,0.4,1.21,0.2,0.12,0.63
53033010800,53033010800,548028,304028,0.56,1.04,0.4,0.07,0.27
53033010600,53033010600,326460,330529,0.43,0.72,0.32,0.24,0.43
53033010500,53033010500,428586,452225,0.18,0.28,0.17,0.17,0.48
53033010300,53033010300,839883,448909,0.32,0.3,0.18,0.17,0.2
53033031604,53033031604,62032,1595,1.26,1.28,0.75,0.22,0.61
53033032011,53033032011,75134,3240,0.76,0.82,0.71,0.07,0.58
53033031706,53033031706,194581,5181,0.49,0.39,0.21,0.17,0.51
53033032215,53033032215,87109,127,1.69,1.65,1.68,0.04,0.78
53033032329,53033032329,163209,0,1.05,1.05,0.76,0.47,0.41
53033032328,53033032328,282071,1681,1.43,1.47,1.9,0.84,0.63
53033001701,53033001701,554692,453554,0.27,0.24,0.18,0.1,0.51
53033007401,53033007401,923727,635598,0.16,0.14,0.12,0.08,0.33
53033032317,53033032317,140814,10778,1.19,1.19,1.11,0.4,0.59
53033032315,53033032315,137338,0,1.71,1.71,1.66,0.69,3.93
53033032319,53033032319,268139,44405,0.4,0.47,0.37,0.23,0.79
53033021906,53033021906,366174,32442,0.39,0.71,0.4,0.09,0.55
53033021905,53033021905,360795,47460,0.55,0.76,0.5,0.15,0.43
53033032307,53033032307,188827,5511,0.96,0.98,0.96,0.35,0.71
53033032311,53033032311,140978,1895,1.76,1.84,1.75,0.38,0.69
53033032324,53033032324,392434,124417,0.57,0.6,0.49,0.17,0.34
53033022801,53033022801,524884,203103,0.8,0.88,0.51,0.05,1.12
53033030700,53033030700,258478,38146,0.49,0.87,0.46,0.12,0.25
53033030600,53033030600,271362,44525,0.48,0.49,0.23,0.16,0.41
53033030504,53033030504,276021,39288,0.4,0.39,0.33,0.23,0.3
53033030503,53033030503,345868,42650,0.46,0.81,0.38,0.21,0.69
53033030501,53033030501,293195,50785,0.61,0.78,0.49,0.38,0.46
53033030404,53033030404,316712,5309,1.12,1.49,0.88,0.45,0.61
53033010200,53033010200,777983,240696,0.57,0.3,0.22,0.25,0.39
53033010100,53033010100,880826,449382,0.32,0.3,0.23,0.11,0.31
53033009900,53033009900,603511,484309,0.23,0.69,0.43,0.1,0.46
53033009800,53033009800,438603,382114,0.3,0.31,0.17,0.18,0.36
53033009702,53033009702,326182,265305,0.48,0.52,0.85,0.15,0.29
53033009701,53033009701,227173,176754,0.93,0.97,1.01,0.1,0.46
53033009600,53033009600,408297,206286,0.47,0.5,0.35,0.09,0.68
53033010401,53033010401,848929,433353,0.73,0.43,0.39,0.05,0.25
53033010701,53033010701,489741,381022,0.33,0.89,0.49,0.07,0.31
53033011001,53033011001,794830,435744,0.27,0.29,0.18,0.07,0.37
53033025301,53033025301,486947,84781,0.76,0.71,0.36,0.18,0.48
53033025601,53033025601,380896,18792,0.57,0.57,0.59,0.23,0.53
53033025805,53033025805,379437,37680,0.51,0.83,0.56,0.52,0.41
53033022803,53033022803,473948,321901,0.77,0.86,0.44,0.15,0.82
53033023202,53033023202,439194,228641,0.24,0.17,0.09,0.02,0.64
