,geography_value,jobs_1_mile_walk,jobs_3_mile_bike,geography_group
48,53033004800.0,11510.54514624841,120542.88724035608,Census2010Tract
49,53033004900.0,13762.870452761057,176517.846637006,Census2010Tract
50,53033005000.0,11489.29137630662,147247.94599303135,Census2010Tract
51,53033005100.0,11355.440963855423,128313.35361445782,Census2010Tract
52,53033005200.0,30274.211085583,141624.70045950604,Census2010Tract
53,53033005301.0,36108.63351431392,123603.0476307996,Census2010Tract
54,53033005302.0,35389.05963302752,147953.6146788991,Census2010Tract
55,53033005400.0,14509.90411686587,195070.94342629483,Census2010Tract
56,53033005600.0,1181.8894678079644,34558.79679940454,Census2010Tract
57,53033005700.0,2630.8660049627792,38453.43707904998,Census2010Tract
58,53033005801.0,6044.505479452055,61146.06609589041,Census2010Tract
59,53033005802.0,5346.183568677792,108913.33632862645,Census2010Tract
60,53033005900.0,8026.81872659176,133923.21348314607,Census2010Tract
61,53033006000.0,11438.667386609071,296568.5345572354,Census2010Tract
62,53033006100.0,9703.53262616522,317650.2851173256,Census2010Tract
63,53033006200.0,2824.497175141243,240789.3753923415,Census2010Tract
64,53033006300.0,1867.6777905638664,86752.7614115842,Census2010Tract
65,53033006400.0,5643.493817619784,375582.48763523955,Census2010Tract
66,53033006500.0,21437.25519404155,395387.13837710704,Census2010Tract
67,53033006600.0,22581.479545454546,392295.13522727275,Census2010Tract
68,53033006700.0,52996.85778071771,371941.9459235985,Census2010Tract
69,53033006800.0,12003.170265268353,322803.50154225784,Census2010Tract
70,53033006900.0,10043.75731261426,273067.11060329067,Census2010Tract
71,53033007000.0,31585.64078998827,358020.4225655065,Census2010Tract
72,53033007100.0,46147.23102678572,369785.45731026784,Census2010Tract
73,53033007200.0,188090.6870810882,393512.1755815482,Census2010Tract
74,53033007300.0,174793.27773290253,395102.8148896069,Census2010Tract
75,53033007401.0,73008.23438767235,388416.46985671803,Census2010Tract
76,53033007402.0,158991.36200999736,384991.23704288347,Census2010Tract
77,53033007500.0,58965.906137184116,380271.24250510125,Census2010Tract
78,53033007600.0,17928.102857142858,381962.1393406593,Census2010Tract
79,53033007700.0,11054.979246082168,364833.2698009318,Census2010Tract
80,53033007800.0,5210.5420689655175,274255.047816092,Census2010Tract
81,53033007900.0,36633.057774001696,373163.11753044464,Census2010Tract
82,53033008001.0,133282.12419285407,387968.02668962546,Census2010Tract
83,53033008002.0,198969.90297990298,391882.63825363823,Census2010Tract
84,53033008100.0,208091.8440079704,395526.34528892685,Census2010Tract
85,53033008200.0,228871.3485516373,393508.56643576827,Census2010Tract
86,53033008300.0,223535.0055583628,392122.21930267813,Census2010Tract
