,geography,value,geography_group
64,53033006300.0,937498.2972765631,Census2010Tract
65,53033006400.0,984110.4644513137,Census2010Tract
66,53033006500.0,961370.8941591532,Census2010Tract
67,53033006600.0,952830.8151515152,Census2010Tract
68,53033006700.0,908439.1772779891,Census2010Tract
69,53033006800.0,817921.0277606415,Census2010Tract
70,53033006900.0,779816.3372943327,Census2010Tract
71,53033007000.0,893905.8011341416,Census2010Tract
72,53033007100.0,824244.4469866072,Census2010Tract
73,53033007200.0,894608.3440662373,Census2010Tract
74,53033007300.0,956927.1541464728,Census2010Tract
75,53033007401.0,923727.0300081103,Census2010Tract
76,53033007402.0,965800.8055774797,Census2010Tract
77,53033007500.0,970800.6010045519,Census2010Tract
78,53033007600.0,1024410.8536263736,Census2010Tract
79,53033007700.0,1029237.5285895807,Census2010Tract
80,53033007800.0,959017.2868965517,Census2010Tract
81,53033007900.0,1019684.6185216652,Census2010Tract
82,53033008001.0,845658.7787343952,Census2010Tract
83,53033008002.0,894926.1548856549,Census2010Tract
84,53033008100.0,914262.1887275833,Census2010Tract
85,53033008200.0,1043309.2647984887,Census2010Tract
86,53033008300.0,1041927.9540171804,Census2010Tract
87,53033008400.0,1022324.5883838384,Census2010Tract
88,53033008500.0,978327.7075259126,Census2010Tract
89,53033008600.0,937818.828416149,Census2010Tract
90,53033008700.0,972613.7030661646,Census2010Tract
91,53033008800.0,1017386.5662949195,Census2010Tract
92,53033008900.0,960518.2179269328,Census2010Tract
93,53033009000.0,981428.956929873,Census2010Tract
94,53033009100.0,938341.1236494598,Census2010Tract
95,53033009200.0,952771.0301298702,Census2010Tract
96,53033009300.0,967346.3871559633,Census2010Tract
97,53033009400.0,1039913.4357764877,Census2010Tract
98,53033009500.0,956905.1079376854,Census2010Tract
99,53033009600.0,408297.3657601116,Census2010Tract
100,53033009701.0,227172.59452991452,Census2010Tract
101,53033009702.0,326182.3725573492,Census2010Tract
102,53033009800.0,438602.8958657134,Census2010Tract
103,53033009900.0,603510.5692047378,Census2010Tract
104,53033010001.0,924889.8156156156,Census2010Tract
105,53033010002.0,1017378.096225412,Census2010Tract
106,53033010100.0,880826.4218512898,Census2010Tract
107,53033010200.0,777982.6331658291,Census2010Tract
108,53033010300.0,839883.0670103093,Census2010Tract
109,53033010401.0,848928.8054054054,Census2010Tract
110,53033010402.0,880567.28117506,Census2010Tract
111,53033010500.0,428586.3415802075,Census2010Tract
112,53033010600.0,326459.8017446471,Census2010Tract
113,53033010701.0,489740.9747081712,Census2010Tract
114,53033010702.0,442196.3175,Census2010Tract
115,53033010800.0,548028.0164585698,Census2010Tract
116,53033010900.0,825149.1153284671,Census2010Tract
117,53033011001.0,794830.3666666667,Census2010Tract
118,53033011002.0,809461.8890612879,Census2010Tract
