geography_value,jobs_1_mile_walk,jobs_3_mile_bike,auto_jobs_30min,transit_jobs45,geography_group
53033000100,5354.175292,26809.29097,374328.8491,283805.9812,Census2010Tract
53033000200,5910.207754,38075,432630.9249,255782.6334,Census2010Tract
53033000300,4247.736245,43974.71004,423591.9127,269569.4611,Census2010Tract
53033000401,5225.461816,38927.3699,391380.4771,318646.3391,Census2010Tract
53033000402,4605.695707,40132.01305,475511.1132,298587.2264,Census2010Tract
53033000500,1059.9674,28483.56255,355930.3237,78036.77862,Census2010Tract
53033000600,6828.862406,46912.93725,576042.1448,381847.6062,Census2010Tract
53033000700,8788.3336,39722,516455,406523.2082,Census2010Tract
53033000800,2674.546059,30988.66192,420096.0959,158895.2222,Census2010Tract
53033000900,766.8931034,26773.03793,401262,104882.6609,Census2010Tract
53033001000,3671.605096,42031.22166,549948.0828,372198.1771,Census2010Tract
53033001100,5645.485455,48054.93818,637245,396753.6791,Census2010Tract
53033001200,10948.38647,50820.93385,619962.7431,466879.8085,Census2010Tract
53033001300,8446.615353,49473.76179,591035.1523,512254.67,Census2010Tract
53033001400,3389.99396,41458.78602,464456.0708,333740.5768,Census2010Tract
53033001500,601.9945652,25557.7962,394805.0236,285826,Census2010Tract
53033001600,2171.392838,36546.71459,419122.2068,367211,Census2010Tract
53033001701,6031.084638,52745,554692,453554.0944,Census2010Tract
53033001702,5104.535175,48228.22054,509018.7341,408917.3625,Census2010Tract
53033001800,6267.248267,55913.2188,668717.412,524836.8735,Census2010Tract
53033001900,8577.032653,62609,710586.2842,460129.5393,Census2010Tract
53033002000,4314,75942.72321,829817.2982,494454.8583,Census2010Tract
53033002100,2331.739056,71797.75213,717290.4144,411010.863,Census2010Tract
53033002200,1065.75273,41584.045,668740,175426.664,Census2010Tract
53033002400,1960.963893,68878.98509,812005.2716,272036.1931,Census2010Tract
53033002500,4403.748219,93506.33888,870964.2296,456952.3476,Census2010Tract
53033002600,6058.725806,102443.3396,861976.9834,515055.2348,Census2010Tract
53033002700,5218.406584,89182.89354,814593.0209,502881.1047,Census2010Tract
53033002800,5442.115794,73753.6327,659589.547,530142,Census2010Tract
53033002900,5511.041965,61453.67605,595187.1453,448418.9821,Census2010Tract
53033003000,4137,48456,545436.1695,441582.3974,Census2010Tract
53033003100,2109.563312,33763.88377,479186.2247,407944.9848,Census2010Tract
53033003200,8085.227614,41496.61155,548392.9221,420660.5431,Census2010Tract
53033003300,10467.35209,54983.4201,604287.7667,479512,Census2010Tract
53033003400,5723.508431,69564.27626,679575.0519,503803.2451,Census2010Tract
53033003500,4829,83778.85449,742301.3218,524071.5146,Census2010Tract
53033003600,6803.177272,113217.949,885175.0693,567416.0369,Census2010Tract
53033003800,4429.000935,79021.12067,844776.2629,453169.4771,Census2010Tract
53033003900,3867.166809,64496.53957,831112.5677,347586.3268,Census2010Tract
53033004000,3224.033064,40517.7612,806442.1763,304385.8898,Census2010Tract
53033004100,11961,62693.49839,787768.4633,279405.201,Census2010Tract
53033004200,15277.19799,71835.41515,847467.5355,440994.0028,Census2010Tract
53033004301,11150.25236,84476.42982,868240,506311,Census2010Tract
53033004302,32503.59902,92274.89209,891997,566358.6603,Census2010Tract
53033004400,24553.99968,105777.9035,918757.3171,611714.2364,Census2010Tract
53033004500,10098.29801,117671.9763,926840.4049,533846.6254,Census2010Tract
53033004600,6190.849966,113781.0998,888962.808,471757.8307,Census2010Tract
53033004700,14689.53272,60876.95298,630534.8565,520321.0131,Census2010Tract
53033004800,11510.54515,120542.8872,793307.3302,534518.6588,Census2010Tract
53033004900,13762.87045,176518,858709.6121,569870.7909,Census2010Tract
53033005000,11489.29138,147247.946,885982.4329,563462.4839,Census2010Tract
53033005100,11355.44096,128313.3536,924159.9789,546350,Census2010Tract
53033005200,30274,141624.7005,959686.5793,670192.1749,Census2010Tract
53033005301,36108.63351,123603.0476,941179,724240.1816,Census2010Tract
53033005302,35389.05963,147953.6147,942669.0229,725839.3303,Census2010Tract
53033005400,14509.90412,195070.9434,903209.392,555300.3044,Census2010Tract
53033005600,1181.889468,34558.7968,598368.2743,259209.9486,Census2010Tract
53033005700,2630.866005,38453.43708,590987.2623,274069.4768,Census2010Tract
53033005801,6044.505479,61146.0661,604639.8788,416783.1822,Census2010Tract
53033005802,5346.183569,108913.3363,644694.1425,467006.5385,Census2010Tract
53033005900,8027,133923.2135,734660,488409.9416,Census2010Tract
53033006000,11438.66739,296568.5346,855736.0263,544297.7477,Census2010Tract
53033006100,9704,317650.2851,965441.4883,612289,Census2010Tract
53033006200,2824.497175,240789.3754,964865.059,659790.5643,Census2010Tract
53033006300,1867.677791,86753,937498.2973,376012.9033,Census2010Tract
53033006400,5643.493818,375582.4876,984110.4645,622079,Census2010Tract
53033006500,21437.25519,395387.1384,961370.8942,549569.3156,Census2010Tract
53033006600,22581.47955,392295.1352,952830.8152,584963.9231,Census2010Tract
53033006700,52996.85778,371941.9459,908439.1773,591201.0655,Census2010Tract
53033006800,12003.17027,322803.5015,817921.0278,510131.5207,Census2010Tract
