"","gender","count","prop","prop_se","est","est_se"
"1","Boy/Man (cisgender or transgender)",2980,0.447956606949622,0.0133483088077232,1858406.89369608,71511.58457597
"2","Girl/Woman (cisgender or transgender)",3271,0.456598515844501,0.0133565013028288,1894258.98922449,71705.4336302931
"3","Non-binary/Something else fits better",124,0.0102256397619347,0.00224079352611039,42422.4113032659,9308.21884973818
"4","Prefer not to answer",529,0.085219237443943,0.00733386037379008,353543.21352639,31456.3509021616
