"","DATA_YEAR","COUNTY","child_present","count","count_moe","share","share_moe"
"1",2022,"Region","No",2183908,10729.4714348198,0.646105217815268,0.00312176335235339
"2",2022,"Region","Total",3380112,1872.73652114626,1,0
"3",2022,"Region","Yes",1116351,10662.455361687,0.330270417074937,0.00318905546853703
"4",2022,"Region",NA,79853,1646.99553174599,0.0236243651097952,0.000475979862493544
