"","mode_1","mode_2","mode_3","mode_4","mode_characterization","survey_year","count"
"271","Household vehicle 1","Other hired service (Uber, Lyft, or other smartphone-app car service)","Missing: Skip Logic",NA,"Drive HOV2","2019",1
"272","Household vehicle 1","Other hired service (Uber, Lyft, or other smartphone-app car service)","Missing: Skip Logic",NA,"Drive SOV","2019",1
"273","Household vehicle 1","Other non-household vehicle","Missing: Skip Logic",NA,"Drive SOV","2019",1
"274","Household vehicle 1","Other non-household vehicle","Segway or Onewheel/electric unicycle","Missing Response","Drive SOV","2023",1
"275","Household vehicle 1","Other non-household vehicle",NA,NA,"Drive HOV2","2017",2
"276","Household vehicle 1","Other non-household vehicle",NA,NA,"Drive SOV","2017",3
"277","Household vehicle 1","Other vehicle in household","Missing: Skip Logic",NA,"Drive SOV","2019",1
"278","Household vehicle 1","Private bus or shuttle","Missing: Skip Logic",NA,"Transit","2019",1
"279","Household vehicle 1","Rental car","Missing: Skip Logic",NA,"Drive HOV3+","2019",6
"280","Household vehicle 1","Scooter-share (e.g., Bird, Lime)","Missing Response","Missing Response","Drive HOV2","2023",2
"281","Household vehicle 1","Skateboard or rollerblade","Missing Response","Missing Response","Drive SOV","2023",2
"282","Household vehicle 1","Urban Rail (e.g., Link light rail, monorail)",NA,NA,"Transit","2017",5
"283","Household vehicle 1","Urban Rail (e.g., Link light rail, monorail, streetcar)","Bus (public transit)","Missing Response","Transit","2023",1
"284","Household vehicle 1","Walk (or jog/wheelchair)",NA,NA,"Drive HOV2","2017",30
"285","Household vehicle 1","Walk (or jog/wheelchair)",NA,NA,"Drive HOV3+","2017",6
"286","Household vehicle 1","Walk (or jog/wheelchair)",NA,NA,"Drive SOV","2017",46
"287","Household vehicle 1",NA,NA,NA,"Drive HOV2","2017",6789
"288","Household vehicle 1",NA,NA,NA,"Drive HOV2","2021",1722
"289","Household vehicle 1",NA,NA,NA,"Drive HOV3+","2017",3697
"290","Household vehicle 1",NA,NA,NA,"Drive HOV3+","2021",752
"291","Household vehicle 1",NA,NA,NA,"Drive SOV","2017",11476
"292","Household vehicle 1",NA,NA,NA,"Drive SOV","2021",3304
"293","Household vehicle 2","Bus (public transit)","Missing: Skip Logic",NA,"Transit","2019",1
"294","Household vehicle 2","Commuter rail (Sounder, Amtrak)",NA,NA,"Transit","2017",3
"295","Household vehicle 2","Ferry or water taxi","Missing: Skip Logic",NA,"Transit","2019",2
"296","Household vehicle 2","Friend/colleague's car","Missing: Skip Logic",NA,"Drive HOV3+","2019",1
"297","Household vehicle 2","Household vehicle 1","Missing Response","Missing Response","Drive HOV2","2023",2
"298","Household vehicle 2","Household vehicle 1","Missing Response","Missing Response","Drive HOV3+","2023",5
"299","Household vehicle 2","Household vehicle 1","Missing Response","Missing Response","Drive SOV","2023",5
"300","Household vehicle 2","Household vehicle 1","Missing: Skip Logic",NA,"Drive HOV2","2019",1
"301","Household vehicle 2","Household vehicle 1","Missing: Skip Logic",NA,"Drive HOV3+","2019",4
"302","Household vehicle 2","Household vehicle 1","Missing: Skip Logic",NA,"Drive SOV","2019",2
"303","Household vehicle 2","Household vehicle 3","Missing Response","Missing Response","Drive SOV","2023",1
"304","Household vehicle 2","Household vehicle 4","Missing Response","Missing Response","Drive SOV","2023",1
"305","Household vehicle 2","Missing Response","Missing Response","Missing Response","Drive HOV2","2023",2208
"306","Household vehicle 2","Missing Response","Missing Response","Missing Response","Drive HOV3+","2023",1553
"307","Household vehicle 2","Missing Response","Missing Response","Missing Response","Drive SOV","2023",3898
"308","Household vehicle 2","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Drive HOV3+","2019",17
"309","Household vehicle 2","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Drive SOV","2019",5
"310","Household vehicle 2","Missing: Skip Logic","Missing: Skip Logic",NA,"Drive HOV2","2019",2723
"311","Household vehicle 2","Missing: Skip Logic","Missing: Skip Logic",NA,"Drive HOV3+","2019",2306
