"","mode_1","mode_2","mode_3","mode_4","mode_characterization","survey_year","count"
"83","Bus (public transit)","Other hired service (Uber, Lyft, or other smartphone-app car service)","Household vehicle 6","Bus (public transit)","Transit","2023",1
"84","Bus (public transit)","Other non-household vehicle",NA,NA,"Transit","2017",1
"85","Bus (public transit)","Other rail","Missing Response","Missing Response","Transit","2023",1
"86","Bus (public transit)","Other rail (e.g., streetcar)","Missing: Skip Logic",NA,"Transit","2019",3
"87","Bus (public transit)","Other vehicle in household","Bus (public transit)","Missing Response","Transit","2023",1
"88","Bus (public transit)","Other vehicle in household","Household vehicle 6","Bus (public transit)","Transit","2023",2
"89","Bus (public transit)","Other vehicle in household",NA,NA,"Transit","2017",1
"90","Bus (public transit)","Private bus or shuttle","Missing: Skip Logic",NA,"Transit","2019",19
"91","Bus (public transit)","Urban Rail (e.g., Link light rail, monorail)","Bus (public transit)","Bus (public transit)","Transit","2019",1
"92","Bus (public transit)","Urban Rail (e.g., Link light rail, monorail)","Missing: Skip Logic","Missing: Skip Logic","Transit","2019",2
"93","Bus (public transit)","Urban Rail (e.g., Link light rail, monorail)","Missing: Skip Logic",NA,"Transit","2019",140
"94","Bus (public transit)","Urban Rail (e.g., Link light rail, monorail)","Walk (or jog/wheelchair)",NA,"Transit","2017",15
"95","Bus (public transit)","Urban Rail (e.g., Link light rail, monorail)",NA,NA,"Transit","2017",17
"96","Bus (public transit)","Urban Rail (e.g., Link light rail, monorail, streetcar)","Bus (public transit)","Missing Response","Transit","2023",2
"97","Bus (public transit)","Urban Rail (e.g., Link light rail, monorail, streetcar)","Household vehicle 6","Bus (public transit)","Transit","2023",4
"98","Bus (public transit)","Urban Rail (e.g., Link light rail, monorail, streetcar)","Household vehicle 6","Missing Response","Transit","2023",1
"99","Bus (public transit)","Urban Rail (e.g., Link light rail, monorail, streetcar)","Household vehicle 8","Bus (public transit)","Transit","2023",3
"100","Bus (public transit)","Urban Rail (e.g., Link light rail, monorail, streetcar)","Household vehicle 8","Household vehicle 6","Transit","2023",6
"101","Bus (public transit)","Urban Rail (e.g., Link light rail, monorail, streetcar)","Household vehicle 8","Urban Rail (e.g., Link light rail, monorail, streetcar)","Transit","2023",7
"102","Bus (public transit)","Urban Rail (e.g., Link light rail, monorail, streetcar)","Missing Response","Missing Response","Transit","2023",33
"103","Bus (public transit)","Vehicle ferry (took vehicle on board)","Missing Response","Missing Response","Transit","2023",1
"104","Bus (public transit)","Walk (or jog/wheelchair)","Bus (public transit)",NA,"Transit","2017",17
"105","Bus (public transit)","Walk (or jog/wheelchair)","Missing Response","Missing Response","Transit","2023",5
"106","Bus (public transit)","Walk (or jog/wheelchair)","Missing: Skip Logic",NA,"Transit","2019",1
"107","Bus (public transit)","Walk (or jog/wheelchair)","Urban Rail (e.g., Link light rail, monorail)",NA,"Transit","2017",10
"108","Bus (public transit)","Walk (or jog/wheelchair)",NA,NA,"Transit","2017",194
"109","Bus (public transit)",NA,NA,NA,"Transit","2017",3495
"110","Bus (public transit)",NA,NA,NA,"Transit","2021",304
"111","Car from work","Carshare service (e.g., Turo, Zipcar, ReachNow)","Missing: Skip Logic",NA,"Drive HOV2","2019",2
"112","Car from work","Carshare service (e.g., Turo, Zipcar, ReachNow)","Missing: Skip Logic",NA,"Drive HOV3+","2019",2
"113","Car from work","Carshare service (e.g., Turo, Zipcar, ReachNow)","Missing: Skip Logic",NA,"Drive SOV","2019",2
"114","Car from work","Ferry or water taxi","Missing: Skip Logic",NA,"Transit","2019",1
"115","Car from work","Friend/colleague's car","Missing Response","Missing Response","Drive HOV2","2023",1
"116","Car from work","Household vehicle 1","Friend/colleague's car","Missing Response","Drive HOV2","2023",1
"117","Car from work","Household vehicle 1","Missing: Skip Logic",NA,"Drive HOV3+","2019",2
"118","Car from work","Household vehicle 2","Missing Response","Missing Response","Drive SOV","2023",3
"119","Car from work","Missing Response","Missing Response","Missing Response","Drive HOV2","2023",48
"120","Car from work","Missing Response","Missing Response","Missing Response","Drive HOV3+","2023",36
"121","Car from work","Missing Response","Missing Response","Missing Response","Drive SOV","2023",806
"122","Car from work","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Drive HOV3+","2019",5
"123","Car from work","Missing: Skip Logic","Missing: Skip Logic",NA,"Drive HOV2","2019",214
"124","Car from work","Missing: Skip Logic","Missing: Skip Logic",NA,"Drive HOV3+","2019",115
"125","Car from work","Missing: Skip Logic","Missing: Skip Logic",NA,"Drive SOV","2019",414
"126","Car from work","Other non-household vehicle","Missing: Skip Logic",NA,"Drive HOV2","2019",21
"127","Car from work","Other non-household vehicle","Missing: Skip Logic",NA,"Drive SOV","2019",10
"128","Car from work","Other non-household vehicle",NA,NA,"Drive HOV3+","2017",5
"129","Car from work","Other vehicle in household","Missing: Skip Logic",NA,"Drive SOV","2019",1
"130","Car from work","Walk (or jog/wheelchair)",NA,NA,"Drive HOV2","2017",1
"131","Car from work",NA,NA,NA,"Drive HOV2","2017",116
"132","Car from work",NA,NA,NA,"Drive HOV2","2021",10
"133","Car from work",NA,NA,NA,"Drive HOV3+","2017",75
"134","Car from work",NA,NA,NA,"Drive HOV3+","2021",8
"135","Car from work",NA,NA,NA,"Drive SOV","2017",393
"136","Car from work",NA,NA,NA,"Drive SOV","2021",61
"137","Carshare service (e.g., Turo, Zipcar, Getaround, GIG)","Car from work","Household vehicle 2","Missing Response","Drive SOV","2023",1
"138","Carshare service (e.g., Turo, Zipcar, Getaround, GIG)","Friend/colleague's car","Missing Response","Missing Response","Drive SOV","2023",1
"139","Carshare service (e.g., Turo, Zipcar, Getaround, GIG)","Household vehicle 1","Missing Response","Missing Response","Drive SOV","2023",1
"140","Carshare service (e.g., Turo, Zipcar, Getaround, GIG)","Household vehicle 2","Missing Response","Missing Response","Drive SOV","2023",1
"141","Carshare service (e.g., Turo, Zipcar, Getaround, GIG)","Missing Response","Missing Response","Missing Response","Drive HOV2","2023",12
"142","Carshare service (e.g., Turo, Zipcar, Getaround, GIG)","Missing Response","Missing Response","Missing Response","Drive HOV3+","2023",6
"143","Carshare service (e.g., Turo, Zipcar, Getaround, GIG)","Missing Response","Missing Response","Missing Response","Drive SOV","2023",22
"144","Carshare service (e.g., Turo, Zipcar, Getaround, GIG)","Other vehicle in household","Carshare service (e.g., Turo, Zipcar, Getaround, GIG)","Missing Response","Drive HOV2","2023",1
"145","Carshare service (e.g., Turo, Zipcar, ReachNow)","Bicycle or e-bike (rSurvey only)",NA,NA,"Drive SOV","2017",1
