"","dest_purpose_5","count","min","max","mean","mean_se","median"
"1","Errands",9456,0,15.281,0.666682813613146,0.0369702917003313,0
"2","Go Home",9456,0,9.405,1.34370022717954,0.02980877837435,1
"3","School",9456,0,4.00000000000001,0.155294310303988,0.011657022228252,0
"4","Shopping",9456,0,12,0.459616089392001,0.0276696568814167,0
"5","Social/Recreation",9456,0,15.281,0.661060806013017,0.0260806464168202,0
"6","Work",9456,0,48,0.553510281156961,0.0453584358293129,0
