"","survey","final_home_is_rgc","count","count_moe","share","share_moe","sample_size","period","delivery_type"
"1","2017","Not RGC",17093.1570305063,12479.2152199212,0.0128574464147889,0.00935144521475412,64,"2017","food/meal"
"2","2017","RGC",4633.40849342343,1912.12091808175,0.0274689321874411,0.0118034442753905,52,"2017","food/meal"
"3","2019","Not RGC",15560.0411494488,8996.84544540583,0.0112626684689569,0.00651624438088448,73,"2019","food/meal"
"4","2019","RGC",3706.9105041111,2856.28341069686,0.0230050541841898,0.017597275853335,59,"2019","food/meal"
"5","2021","Not RGC",61242.6052,18983.2378537142,0.0418108308248012,0.012776223636578,63,"2021","food/meal"
"6","2021","RGC",3645.3795,2012.11610521681,0.018008417043336,0.010252733806966,14,"2021","food/meal"
"7","2017","Not RGC",17471.5314508344,14070.6216260771,0.0131420590715036,0.0105237229563245,44,"2017","grocery"
"8","2017","RGC",3851.05046093708,3110.75203632969,0.0228307614388074,0.0183556120005057,35,"2017","grocery"
"9","2019","Not RGC",18960.3956989807,12191.3517085392,0.0137239129862725,0.00878805185067021,59,"2019","grocery"
"10","2019","RGC",6322.34813121513,6109.87798339683,0.0392364372348915,0.0367931217602528,52,"2019","grocery"
"11","2021","Not RGC",68001.8799,21088.8103424654,0.0464254433164994,0.0141243421205334,56,"2021","grocery"
"12","2021","RGC",9463.8085,6922.99246945322,0.0467518430622294,0.0335654640221254,16,"2021","grocery"
"13","2017","Not RGC",291891.169648968,58990.5049531041,0.219560088637441,0.0394971062541878,698,"2017","packages"
"14","2017","RGC",29616.7434437838,7857.75967143188,0.175581392925934,0.0461863946507531,367,"2017","packages"
"15","2019","Not RGC",394399.528603512,66173.6879182254,0.285474253718897,0.0401361186399769,918,"2019","packages"
"16","2019","RGC",30096.0917433691,6035.39337465553,0.186776082271395,0.0390684628324045,469,"2019","packages"
"17","2021","Not RGC",566202.4291,54140.0773427546,0.386551060301589,0.0309098775170228,561,"2021","packages"
"18","2021","RGC",74427.6761,21090.6886488125,0.367677667242912,0.0827670971926385,86,"2021","packages"
"19","2017","Not RGC",74171.3595255221,32577.6393550247,0.0557915824975718,0.0237381657256329,128,"2017","work/service"
"20","2017","RGC",4647.10108868598,3188.98455255808,0.0275501080585673,0.0188604442525556,49,"2017","work/service"
"21","2019","Not RGC",71579.9192545681,27529.8997602202,0.0518109747818668,0.0194211157513252,180,"2019","work/service"
"22","2019","RGC",5212.53399160555,3915.15464805105,0.0323489403860242,0.0239112899125582,50,"2019","work/service"
"23","2021","Not RGC",88811.3438,21491.7010633103,0.0606322356604297,0.0144417685473019,104,"2021","work/service"
"24","2021","RGC",4209.7343,4470.15656258427,0.0207963672687676,0.0219210958630401,10,"2021","work/service"
