"","survey","delivery_pkgs_all","count","count_moe","share","share_moe","sample_size"
"1","2017","Delivery Received",321507.913092752,59426.9688240782,0.214608367900199,0.0354678734167955,1065
"2","2019","Delivery Received",424495.620346882,66360.9420684754,0.275165212842744,0.0363034149079925,1387
"3","2021","Delivery Received",640630.1052,57031.7228966276,0.384259483364114,0.0289584009081921,647
