"","survey_year","workplace","count","prop","prop_se","est","est_se"
"1","2017","At home (telecommute or self-employed with home office)",347,0.0594014433547759,0.0101154119679552,118309.347667427,20537.2647321093
"2","2017","Drives for a living (e.g., bus driver, salesperson)",46,0.0177624232625977,0.00673830611286152,35377.2667886144,13548.6771689115
"3","2017","Usually the same location (outside home)",3079,0.793660386137796,0.0196975726739305,1580726.61623115,85527.057773757
"4","2017","Workplace regularly varies (different offices or jobsites)",391,0.12917574724483,0.016980677899869,257278.233118212,36400.1825990841
"5","2019","At home (telecommute or self-employed with home office)",271,0.0527308368080946,0.00848289127813217,106750.020574589,17259.4481273591
"6","2019","Drives for a living (e.g., bus driver, salesperson)",78,0.0441077083718548,0.0123818539881459,89293.0789877146,25831.5630200176
"7","2019","Usually the same location (outside home)",2668,0.685760219309491,0.0239427554385877,1388275.28542626,78314.3995392437
"8","2019","Workplace regularly varies (different offices or jobsites)",568,0.217401235510559,0.0221066487326047,440114.12995689,51930.3004462431
"9","2021","At home (telecommute or self-employed with home office)",670,0.293161176337566,0.0144930291040189,653273.3313,37738.6128428892
"10","2021","Drives for a living (e.g., bus driver, salesperson)",66,0.0337444419571852,0.00580042868058049,75195.3048,13133.0670837385
"11","2021","Telework some days and travel to a work location some days",279,0.119763655934845,0.0101727363758771,266878.4573,23951.9139650114
"12","2021","Usually the same location (outside home)",891,0.464935582961493,0.0160576325723046,1036051.2975,48703.0231988404
"13","2021","Workplace regularly varies (different offices or jobsites)",173,0.0883951428089111,0.00925126060566003,196977.6153,21556.7478708924
"14","2023","At home (telecommute or self-employed with home office)",798,0.12089119304986,0.0107998484410393,271664.602273938,25360.9943207871
"15","2023","Drives for a living (e.g., bus driver, salesperson)",62,0.0165069085974199,0.00511610073289621,37094.0400682524,11606.6171815345
"16","2023","Telework some days and travel to a work location some days",1214,0.197614096495698,0.0133798503589928,444074.986554941,32417.0559175924
"17","2023","Usually the same location (outside home)",1435,0.524483220509956,0.0180523015531099,1178609.63983064,60262.0787628442
"18","2023","Workplace regularly varies (different offices or jobsites)",363,0.140504581347067,0.0133169959655113,315739.469901454,32490.0787966695
