"","employment","survey_year","workplace","count","prop","prop_se","est","est_se"
"1","Employed full time (35+ hours/week, paid)","2017","At home (telecommute or self-employed with home office)",133,0.0200210596240479,0.00425767794912216,30997.6024102948,6489.29352955747
"2","Employed full time (35+ hours/week, paid)","2017","Drives for a living (e.g., bus driver, salesperson)",25,0.0183366120201052,0.00819373256639218,28389.6566727338,12822.7170083586
"3","Employed full time (35+ hours/week, paid)","2017","Usually the same location (outside home)",2675,0.840599182249385,0.0207316522488673,1301457.55155177,77630.2337482993
"4","Employed full time (35+ hours/week, paid)","2017","Workplace regularly varies (different offices or jobsites)",248,0.121043146106461,0.0192584879267895,187405.031899142,32056.6565287159
"5","Employed full time (35+ hours/week, paid)","2019","At home (telecommute or self-employed with home office)",125,0.034790717669694,0.00875377346343767,55418.8920628797,14086.4146083643
"6","Employed full time (35+ hours/week, paid)","2019","Drives for a living (e.g., bus driver, salesperson)",46,0.0374675594979421,0.014342321580483,59682.8917238671,23493.0344322431
"7","Employed full time (35+ hours/week, paid)","2019","Usually the same location (outside home)",2287,0.729529589440243,0.0274948339682817,1162083.5752142,70173.5565684539
"8","Employed full time (35+ hours/week, paid)","2019","Workplace regularly varies (different offices or jobsites)",353,0.19821213339212,0.0252462624229894,315736.42516664,46427.503948707
"9","Employed full time (35+ hours/week, paid)","2021","At home (telecommute or self-employed with home office)",539,0.297786944954507,0.0164514793377096,523472.5827,33988.7228100885
"10","Employed full time (35+ hours/week, paid)","2021","Drives for a living (e.g., bus driver, salesperson)",34,0.0255436579341732,0.00593131789814881,44902.5883,10564.9366912424
"11","Employed full time (35+ hours/week, paid)","2021","Telework some days and travel to a work location some days",240,0.132372768813318,0.0119090816029733,232694.9396,22250.2010747551
"12","Employed full time (35+ hours/week, paid)","2021","Usually the same location (outside home)",719,0.475989450172419,0.0181477578978548,836730.5251,43983.1317429867
"13","Employed full time (35+ hours/week, paid)","2021","Workplace regularly varies (different offices or jobsites)",97,0.0683071781255826,0.00946792300491098,120075.5626,17256.1716112606
"14","Employed full time (35+ hours/week, paid)","2023","At home (telecommute or self-employed with home office)",608,0.104189105113163,0.0111226860662345,172126.218414483,18933.5640459893
"15","Employed full time (35+ hours/week, paid)","2023","Drives for a living (e.g., bus driver, salesperson)",30,0.0136181936789649,0.00548947312171618,22498.016246999,9143.02929262596
"16","Employed full time (35+ hours/week, paid)","2023","Telework some days and travel to a work location some days",1122,0.238567177649554,0.0168177925458634,394126.296430258,30692.9414785932
"17","Employed full time (35+ hours/week, paid)","2023","Usually the same location (outside home)",1158,0.525879245682798,0.0208539468137717,868781.873150044,51769.7423510399
"18","Employed full time (35+ hours/week, paid)","2023","Workplace regularly varies (different offices or jobsites)",213,0.11774627787552,0.0145688731724806,194523.424700513,25842.6274655362
"19","Employed part time (fewer than 35 hours/week, paid)","2017","At home (telecommute or self-employed with home office)",35,0.0784874639486543,0.0341751656063214,23753.9110085781,10768.7181524801
"20","Employed part time (fewer than 35 hours/week, paid)","2017","Drives for a living (e.g., bus driver, salesperson)",8,0.0170015387171466,0.0141800004410381,5145.4463856826,4314.80531946347
"21","Employed part time (fewer than 35 hours/week, paid)","2017","Usually the same location (outside home)",346,0.813086090839011,0.0505238865594573,246077.190833144,34577.2127968867
"22","Employed part time (fewer than 35 hours/week, paid)","2017","Workplace regularly varies (different offices or jobsites)",50,0.0914249064951885,0.0390428874914046,27669.375255582,12472.5432728687
"23","Employed part time (fewer than 35 hours/week, paid)","2019","At home (telecommute or self-employed with home office)",21,0.0268842964669998,0.0110474018782694,7374.49380317981,2937.11245156148
"24","Employed part time (fewer than 35 hours/week, paid)","2019","Drives for a living (e.g., bus driver, salesperson)",16,0.044501715858323,0.0205707755344797,12207.0379721823,5646.42184116106
"25","Employed part time (fewer than 35 hours/week, paid)","2019","Usually the same location (outside home)",302,0.765687944578675,0.0466169506361698,210031.942230515,35224.1843272585
"26","Employed part time (fewer than 35 hours/week, paid)","2019","Workplace regularly varies (different offices or jobsites)",89,0.162926043096003,0.0398521960620201,44691.4092270521,11033.5053051504
"27","Employed part time (fewer than 35 hours/week, paid)","2021","At home (telecommute or self-employed with home office)",44,0.193065370052515,0.0366250381275782,53254.8865,11278.729301145
"28","Employed part time (fewer than 35 hours/week, paid)","2021","Drives for a living (e.g., bus driver, salesperson)",16,0.0477711721059487,0.0181704081515671,13177.1345,5113.51106428811
"29","Employed part time (fewer than 35 hours/week, paid)","2021","Telework some days and travel to a work location some days",21,0.0601400449621221,0.0212603440393466,16588.9474,6036.83719801043
"30","Employed part time (fewer than 35 hours/week, paid)","2021","Usually the same location (outside home)",142,0.618172155812993,0.0442521221231084,170515.7584,20043.8419315817
"31","Employed part time (fewer than 35 hours/week, paid)","2021","Workplace regularly varies (different offices or jobsites)",25,0.080851257066421,0.0236483930223907,22301.8997,6762.72115529359
"32","Employed part time (fewer than 35 hours/week, paid)","2023","At home (telecommute or self-employed with home office)",48,0.0679199554077217,0.022059884962917,27709.3405956922,9304.21900916274
"33","Employed part time (fewer than 35 hours/week, paid)","2023","Drives for a living (e.g., bus driver, salesperson)",13,0.0160601049327911,0.0121530504775697,6552.0496136055,5004.06616386814
"34","Employed part time (fewer than 35 hours/week, paid)","2023","Telework some days and travel to a work location some days",83,0.0665027681651201,0.0189030759022899,27131.1699570723,7858.46528481715
"35","Employed part time (fewer than 35 hours/week, paid)","2023","Usually the same location (outside home)",315,0.658146353864879,0.0426525853623038,268504.320587077,29319.6460020292
"36","Employed part time (fewer than 35 hours/week, paid)","2023","Workplace regularly varies (different offices or jobsites)",78,0.191370817629488,0.0371007195172851,78073.6549949019,17080.9702525254
"37","Self-employed","2017","At home (telecommute or self-employed with home office)",179,0.451418866107964,0.0839706730781262,63557.8342485545,16258.4897332497
"38","Self-employed","2017","Drives for a living (e.g., bus driver, salesperson)",13,0.0130839490064925,0.00568322614520967,1842.16373019799,747.553776019981
"39","Self-employed","2017","Usually the same location (outside home)",58,0.235744943685015,0.0747049082644114,33191.8738462372,12263.170260349
