"","n_ls.Count.of.unique.person_id","n_ls.wtd","summary.unwtd.survey_year","summary.unwtd.workplace","summary.unwtd.count","summary.unwtd.prop","summary.wtd.survey_year","summary.wtd.workplace","summary.wtd.count","summary.wtd.prop","summary.wtd.prop_se","summary.wtd.est","summary.wtd.est_se","summary.weight_name"
"1",13909,8491682.72358008,"2017","At home (telecommute or self-employed with home office)",347,0.0898265596686513,"2017","At home (telecommute or self-employed with home office)",347,0.0594014433547759,0.0101154119679552,118309.347667427,20537.2647321093,"person_weight"
"2",13909,8491682.72358008,"2017","Drives for a living (e.g., bus driver, salesperson)",46,0.0119078436448356,"2017","Drives for a living (e.g., bus driver, salesperson)",46,0.0177624232625977,0.00673830611286152,35377.2667886144,13548.6771689115,"person_weight"
"3",13909,8491682.72358008,"2017","Usually the same location (outside home)",3079,0.79704892570541,"2017","Usually the same location (outside home)",3079,0.793660386137796,0.0196975726739305,1580726.61623115,85527.057773757,"person_weight"
"4",13909,8491682.72358008,"2017","Workplace regularly varies (different offices or jobsites)",391,0.101216670981103,"2017","Workplace regularly varies (different offices or jobsites)",391,0.12917574724483,0.016980677899869,257278.233118212,36400.1825990841,"person_weight"
"5",13909,8491682.72358008,"2019","At home (telecommute or self-employed with home office)",271,0.0755927475592748,"2019","At home (telecommute or self-employed with home office)",271,0.0527308368080946,0.00848289127813217,106750.020574589,17259.4481273591,"person_weight"
"6",13909,8491682.72358008,"2019","Drives for a living (e.g., bus driver, salesperson)",78,0.0217573221757322,"2019","Drives for a living (e.g., bus driver, salesperson)",78,0.0441077083718548,0.0123818539881459,89293.0789877146,25831.5630200176,"person_weight"
"7",13909,8491682.72358008,"2019","Usually the same location (outside home)",2668,0.744211994421199,"2019","Usually the same location (outside home)",2668,0.685760219309491,0.0239427554385877,1388275.28542626,78314.3995392437,"person_weight"
"8",13909,8491682.72358008,"2019","Workplace regularly varies (different offices or jobsites)",568,0.158437935843794,"2019","Workplace regularly varies (different offices or jobsites)",568,0.217401235510559,0.0221066487326047,440114.12995689,51930.3004462431,"person_weight"
"9",13909,8491682.72358008,"2021","At home (telecommute or self-employed with home office)",804,0.312597200622084,"2021","At home (telecommute or self-employed with home office)",670,0.293161176337566,0.0144930291040189,653273.3313,37738.6128428892,"person_weight"
"10",13909,8491682.72358008,"2021","Drives for a living (e.g., bus driver, salesperson)",82,0.0318818040435459,"2021","Drives for a living (e.g., bus driver, salesperson)",66,0.0337444419571852,0.00580042868058049,75195.3048,13133.0670837385,"person_weight"
"11",13909,8491682.72358008,"2021","Telework some days and travel to a work location some days",331,0.128693623639191,"2021","Telework some days and travel to a work location some days",279,0.119763655934845,0.0101727363758771,266878.4573,23951.9139650114,"person_weight"
"12",13909,8491682.72358008,"2021","Usually the same location (outside home)",1143,0.444401244167963,"2021","Usually the same location (outside home)",891,0.464935582961493,0.0160576325723046,1036051.2975,48703.0231988404,"person_weight"
"13",13909,8491682.72358008,"2021","Workplace regularly varies (different offices or jobsites)",212,0.0824261275272162,"2021","Workplace regularly varies (different offices or jobsites)",173,0.0883951428089111,0.00925126060566003,196977.6153,21556.7478708924,"person_weight"
"14",13909,8491682.72358008,"2023","At home (telecommute or self-employed with home office)",800,0.205708408331191,"2023","At home (telecommute or self-employed with home office)",798,0.12089119304986,0.0107998484410393,271664.602273938,25360.9943207871,"person_weight"
"15",13909,8491682.72358008,"2023","Drives for a living (e.g., bus driver, salesperson)",63,0.0161995371560813,"2023","Drives for a living (e.g., bus driver, salesperson)",62,0.0165069085974199,0.00511610073289621,37094.0400682524,11606.6171815345,"person_weight"
"16",13909,8491682.72358008,"2023","Telework some days and travel to a work location some days",1216,0.31267678066341,"2023","Telework some days and travel to a work location some days",1214,0.197614096495698,0.0133798503589928,444074.986554941,32417.0559175924,"person_weight"
"17",13909,8491682.72358008,"2023","Usually the same location (outside home)",1445,0.371560812548213,"2023","Usually the same location (outside home)",1435,0.524483220509956,0.0180523015531099,1178609.63983064,60262.0787628442,"person_weight"
"18",13909,8491682.72358008,"2023","Workplace regularly varies (different offices or jobsites)",365,0.0938544613011057,"2023","Workplace regularly varies (different offices or jobsites)",363,0.140504581347067,0.0133169959655113,315739.469901454,32490.0787966695,"person_weight"
