"","survey_year","telecommute_status_broad","count","prop","prop_se","est","est_se"
"1","2017","Fully In Person",2825,0.757608980994279,0.0199457430103926,1508923.34034862,85344.6961201091
"2","2017","Fully at Home-Outside Employer",168,0.0274899573623027,0.00628356244794833,54751.5134188728,12568.5341626973
"3","2017","Fully at Home-Self employed",179,0.0319114859924732,0.00805462502599882,63557.8342485545,16258.4897332497
"4","2017","Mostly At Home",256,0.0780543691233474,0.0125628935113225,155460.220695687,25922.4692212754
"5","2017","Mostly In Person",317,0.0733888101624256,0.012318252084911,146167.866739338,25383.6123808378
"6","2017","Outside home-Self employed",118,0.0315463963651718,0.00775081270949842,62830.6883543345,15621.8225232251
"7","2019","Fully In Person",2463,0.728792979422341,0.0210609521984953,1475392.20420656,86152.9117678833
"8","2019","Fully at Home-Outside Employer",146,0.0310177718459296,0.00705527265498324,62793.3858660596,14387.2744796875
"9","2019","Fully at Home-Self employed",125,0.0217130649621649,0.00474251083494805,43956.6347085295,9555.81058642363
"10","2019","Mostly At Home",256,0.0885700872573458,0.014806160510289,179304.164495327,31537.152477401
"11","2019","Mostly In Person",439,0.0921009334140825,0.0139062455860788,186452.124260295,29418.3521550101
"12","2019","Outside home-Self employed",156,0.037805163098136,0.00711261724393415,76534.0014086824,14438.4397652086
"13","2021","Fully In Person",819,0.445617489165729,0.0160351340986144,993003.3208,48009.8276859742
"14","2021","Fully at Home-Outside Employer",583,0.258810661932894,0.0139901350776453,576727.4692,35753.9871958014
"15","2021","Fully at Home-Self employed",87,0.0343505144046726,0.00547401167054721,76545.8621,12363.0235847512
"16","2021","Mostly At Home",374,0.151951291325118,0.0111791101524094,338604.6117,26702.0012826655
"17","2021","Mostly In Person",149,0.0754113608890284,0.0086569283365074,168044.8672,20045.4589468767
"18","2021","Outside home-Self employed",67,0.0338586822825574,0.0057354922701701,75449.8752,12980.4183765936
"19","2023","Fully In Person",1665,0.605972854788323,0.0172505043797234,1361862.62949483,65490.2063234361
"20","2023","Fully at Home-Outside Employer",668,0.0910549516432096,0.009258377233495,204636.783468894,21421.4864217178
"21","2023","Fully at Home-Self employed",160,0.029837971185276,0.00599467792391307,67057.8188050443,13652.888060884
"22","2023","Mostly At Home",858,0.120700372580585,0.0106003668464614,271261.865089684,24800.9595273708
"23","2023","Mostly In Person",633,0.129761692399999,0.0119032231326589,291626.26382215,28443.6806517173
"24","2023","Outside home-Self employed",104,0.0226721574026073,0.00516673346598629,50953.3779486228,11724.5965448534
