"","survey_year","home_rgc_cat","telecommute_status","count","prop","prop_se","est","est_se"
"1","2017","Not RGC","Fully At Home",252,0.0583031337110482,0.0108890755259492,105211.949602549,20031.8901430419
"2","2017","Not RGC","Fully In Person",2311,0.887897827853828,0.0154833872282631,1602271.70600039,89680.6643245035
"3","2017","Not RGC","Hybrid",128,0.0537990384351237,0.0115452457636159,97084.0049276672,21358.9037333295
"4","2017","RGC","Fully At Home",95,0.0699932228592213,0.0236037327209591,13097.3980648783,4550.63981586704
"5","2017","RGC","Fully In Person",1022,0.892740180987087,0.026908809593594,167052.938002539,17754.1852275682
"6","2017","RGC","Hybrid",55,0.0372665961536916,0.0136292037289066,6973.46720738488,2550.97281535844
"7","2019","Not RGC","Fully At Home",196,0.0534422159936814,0.00926910140059979,96545.8247599142,16807.0637031688
"8","2019","Not RGC","Fully In Person",1998,0.837517527453848,0.0208817862559938,1513013.98969826,87879.2370020661
"9","2019","Not RGC","Hybrid",208,0.10904025655247,0.0195479545342977,196986.245894735,38021.848428174
"10","2019","RGC","Fully At Home",75,0.046832630480665,0.0176745837021322,10204.1958146749,3944.39120275084
"11","2019","RGC","Fully In Person",1009,0.888556217093389,0.0223995082664304,193604.363848644,17357.3148498038
"12","2019","RGC","Hybrid",99,0.064611152425946,0.0144600675104779,14077.894929228,3131.36557423003
"13","2021","Not RGC","Fully At Home",578,0.295296044709525,0.015458650847543,591655.4609,36418.2369681929
"14","2021","Not RGC","Fully In Person",1172,0.671843386025425,0.0159070607307995,1346106.1038,54941.1349538203
"15","2021","Not RGC","Hybrid",62,0.0328605692650492,0.00592773497860371,65839.4706,12053.275671565
"16","2021","RGC","Fully At Home",92,0.274131368600702,0.0404282768289032,61617.8704,10166.4646623688
"17","2021","RGC","Fully In Person",170,0.682448783268867,0.0435498262566656,153397.4054,18520.4947578893
"18","2021","RGC","Hybrid",5,0.0434198481304308,0.0226720471349467,9759.6951,5239.32130298524
"19","2023","Not RGC","Fully At Home",671,0.122843452688427,0.0114716634593271,258063.515051215,25235.7132605357
"20","2023","Not RGC","Fully In Person",1591,0.630664196589793,0.0181278583639496,1324868.48771424,63767.371604025
"21","2023","Not RGC","Hybrid",923,0.24649235072178,0.0163694044145602,517819.070275057,39305.3177813366
"22","2023","RGC","Fully At Home",127,0.0928835110086473,0.0189479278084234,13601.0872227234,2619.68694080918
"23","2023","RGC","Fully In Person",342,0.584377165230835,0.0513086869892962,85571.3216367592,12543.1021168238
"24","2023","RGC","Hybrid",218,0.322739323760518,0.0498082145005175,47259.2567292262,8854.04193182438
