"","homedistrict","workdistrict","survey_year","telecommute_status","count","prop","prop_se","est","est_se"
"1","1","1","2023","Fully At Home",52,0.256137332689975,0.0659962301532346,29550.6325911702,8607.27847997458
"2","1","1","2023","Fully In Person",55,0.664500310858456,0.0709378630698885,76663.5786227392,15555.1468301568
"3","1","1","2023","Hybrid",19,0.0793623564515691,0.0339271421216136,9156.05629386485,3964.36566083368
"4","1","2","2023","Fully In Person",29,0.906499718353991,0.0406763314804018,32249.2989236228,9825.4697365252
"5","1","2","2023","Hybrid",12,0.0935002816460086,0.0406763314804018,3326.33146066523,1232.63194621826
"6","1","3","2023","Fully In Person",9,0.746283453508141,0.141449205322555,7250.74063262919,3730.58077329975
"7","1","3","2023","Hybrid",5,0.253716546491859,0.141449205322555,2465.05917312129,1334.75412082316
"8","1","4","2023","Fully In Person",1,0.253154268999239,0.206219142604705,1371.09278375195,1371.09278375216
"9","1","4","2023","Hybrid",12,0.746845731000761,0.206219142604705,4044.94380600065,1760.82125067446
"10","1","5","2023","Fully In Person",4,0.952492577656188,0.0539938239904289,1366.48586115035,889.379724250864
"11","1","5","2023","Hybrid",1,0.0475074223438116,0.0539938239904289,68.1561436334359,68.1561436334314
"12","1","6","2023","Fully In Person",19,0.665847330332673,0.113176804037129,19806.4946446937,7086.86313714485
"13","1","6","2023","Hybrid",17,0.334152669667327,0.113176804037129,9939.80565930828,3591.47013168212
"14","1",NA,"2023","Fully In Person",4,0.813999234108096,0.175390293603756,11321.0733145912,6618.44806923916
"15","1",NA,"2023","Hybrid",1,0.186000765891904,0.175390293603756,2586.89224632947,2586.89224633009
"16","10","10","2023","Fully At Home",27,0.175782278531626,0.0614239876145835,24338.5629059874,9196.34437189981
"17","10","10","2023","Fully In Person",56,0.768914294636235,0.0688361278729525,106462.773640461,21241.493403612
"18","10","10","2023","Hybrid",8,0.055303426832139,0.0373841934243487,7657.23339186619,5308.18883573271
"19","10","11","2023","Fully In Person",1,1,0,4509.27873997858,4509.27873997824
"20","10","3","2023","Fully In Person",1,1,0,4930.51679767534,4930.51679767687
"21","10","4","2023","Fully In Person",2,0.971114673262158,0.0343614030060768,9426.8323114666,6668.21595504008
"22","10","4","2023","Hybrid",1,0.0288853267378421,0.0343614030060768,280.396475222501,280.396475222465
"23","10","5","2023","Fully In Person",2,0.947720218007123,0.0595709028548207,5043.49083030309,4899.52474025272
"24","10","5","2023","Hybrid",2,0.0522797819928766,0.0595709028548207,278.217765202658,197.06000258068
"25","10","6","2023","Fully In Person",1,1,0,3756.89486105699,3756.89486105651
"26","10","7","2023","Fully In Person",16,0.713065062163568,0.14123054059758,23853.7922793434,8995.68616956905
"27","10","7","2023","Hybrid",10,0.286934937836432,0.14123054059758,9598.68428284672,5547.99992873404
"28","10","8","2023","Fully In Person",18,0.839762456621555,0.140286505426155,26841.4850775794,10252.7361539132
"29","10","8","2023","Hybrid",2,0.160237543378445,0.140286505426155,5121.70268573795,4967.86386004027
"30","10","9","2023","Hybrid",2,1,0,2746.58865129024,2603.02942430769
"31","10",NA,"2023","Fully In Person",1,0.32917873591591,0.270460015056902,141.892868978928,141.892868978964
"32","10",NA,"2023","Hybrid",2,0.67082126408409,0.270460015056902,289.158269801722,204.457793819463
"33","11","10","2023","Fully In Person",2,0.924965968956334,0.0944269943446366,1596.81382674666,1472.97473435639
"34","11","10","2023","Hybrid",1,0.0750340310436655,0.0944269943446366,129.534904275726,129.534904275766
"35","11","11","2023","Fully At Home",5,0.243849098227139,0.18163994098762,2310.54751836075,1791.13515957462
"36","11","11","2023","Fully In Person",7,0.713609707897922,0.189157940664938,6761.67823317454,4348.0100671043
"37","11","11","2023","Hybrid",3,0.0425411938749392,0.0316075236298122,403.091299703256,232.734617591522
