"","mode_short","telecommute_status","mode_share","mode_characterization"
"1","Bike/Micromobility","Fully In Person",0.00916451738269617,"Bike/Micromobility"
"2","Bike/Micromobility","Fully at Home-Outside Employer",0.0138641637758855,"Bike/Micromobility"
"3","Bike/Micromobility","Fully at Home-Self employed",0.0112353648880429,"Bike/Micromobility"
"4","Bike/Micromobility","Hybrid",0.0305559060354755,"Bike/Micromobility"
"5","Bike/Micromobility","Outside home-Self employed",0.00552004869148676,"Bike/Micromobility"
"6","Drive","Fully In Person",0.902852340875222,"Drive"
"7","Drive","Fully at Home-Outside Employer",0.796604394743643,"Drive"
"8","Drive","Fully at Home-Self employed",0.92657089458067,"Drive"
"9","Drive","Hybrid",0.769706170093402,"Drive"
"10","Drive","Outside home-Self employed",0.888232465021609,"Drive"
"11","Transit","Fully In Person",0.0180575937721705,"Transit"
"12","Transit","Fully at Home-Outside Employer",0.0289690887158626,"Transit"
"13","Transit","Fully at Home-Self employed",0.0145467086772652,"Transit"
"14","Transit","Hybrid",0.0485951561866796,"Transit"
"15","Transit","Outside home-Self employed",0.00628689127155382,"Transit"
"16","Walk","Fully In Person",0.0699255479699115,"Walk"
"17","Walk","Fully at Home-Outside Employer",0.160562352764609,"Walk"
"18","Walk","Fully at Home-Self employed",0.0476470318540218,"Walk"
"19","Walk","Hybrid",0.151142767684443,"Walk"
"20","Walk","Outside home-Self employed",0.0999605950153502,"Walk"
