"","survey_year","telecommute_status_broad","count","prop","prop_se","est","est_se"
"1","2017","1-2 days",107,0.115439174605992,0.0273904828520245,72485.5755484918,18294.3601045176
"2","2017","3-4 days",76,0.0502808131841355,0.0176078944555218,31571.8965865603,11304.2977460307
"3","2019","1-2 days",129,0.0817256314757989,0.0242199683068372,62414.8021614149,19451.4055574785
"4","2019","3-4 days",449,0.33441865053404,0.0387755279885763,255399.359237137,36986.6525028676
"5","2021","3-4 days",737,1,0,728872.497,39313.3388998073
"6","2023","1-2 days",388,0.164361399990959,0.0183908807404319,186972.866229084,22846.2260856774
"7","2023","3-4 days",1551,0.57119045874881,0.0242107968040748,649770.063049138,41211.3014024853
