"telework_time","telecommute_status","count","prop","prop_se","est","est_se"
"0 minutes","Hybrid",570,0.136781402660036,0.0137358433802831,185026.961370465,19375.7042688894
"0 minutes","Onsite",1885,0.826680514157346,0.0151742718894873,1118267.40027574,54146.2440309908
"0 minutes","Remote",164,0.0365380831826187,0.0071645305157947,49425.8018568814,9780.24573091309
"1 hour","Hybrid",40,0.512162613792389,0.130148874989084,14020.4977139193,5736.76496527712
"1 hour","Onsite",30,0.295014973601461,0.101339311810299,8076.06149211807,2799.71825974547
"1 hour","Remote",13,0.19282241260615,0.106228118681087,5278.5309242287,3262.8511003223
"1 hour 15 minutes","Hybrid",15,0.315107230391275,0.144518687730072,5070.301121491,2408.55577193261
"1 hour 15 minutes","Onsite",14,0.61390674696104,0.158079574218548,9878.19944259089,5090.02264052375
"1 hour 15 minutes","Remote",3,0.0709860226476848,0.0656283419096939,1142.21596817636,1051.93964047676
"1 hour 30 minutes","Hybrid",31,0.391951121022035,0.145680173644102,7097.750090238,2639.68823265131
"1 hour 30 minutes","Onsite",13,0.564927263639479,0.152611167116536,10230.1341198348,5327.53194761553
"1 hour 30 minutes","Remote",12,0.0431216153384862,0.0224581938311456,780.879126871389,329.668155122094
"1 hour 45 minutes","Hybrid",4,0.907748630873182,0.0951865189659745,3099.98452949654,2918.76314810373
"1 hour 45 minutes","Onsite",2,0.0574138780448094,0.068795394101471,196.069845399938,174.54990138953
"1 hour 45 minutes","Remote",2,0.0348374910820086,0.0408564022350385,118.970913012358,98.7644427191548
"10 hours","Hybrid",95,0.393708264488868,0.0811844762839525,31333.5414432068,8346.26513609592
"10 hours","Onsite",57,0.353844459793439,0.0797259873066573,28160.9532880414,7953.15795998072
"10 hours","Remote",66,0.252447275717693,0.0699763890736782,20091.1890589705,6342.90276144926
"15 minutes","Hybrid",14,0.542716305213388,0.171696060392919,8788.60017974595,5363.16223746349
"15 minutes","Onsite",16,0.379822022487797,0.151834408384147,6150.73448695306,2093.36224003301
"15 minutes","Remote",5,0.0774616722988149,0.0734139777262391,1254.39324477475,1194.38226873509
"2 hours","Hybrid",64,0.509213286360408,0.123662990056638,17987.4388084372,5686.64106047256
"2 hours","Onsite",37,0.414995833561112,0.127248585255992,14659.303600051,6474.89016541442
"2 hours","Remote",17,0.0757908800784793,0.0373031631800422,2677.23536318798,1237.50211029374
