"","telecommute_status","mode_characterization","count","prop","prop_se","est","est_se"
"1","Fully At Home","Bike/Micromobility",118,0.0129377483482198,0.0025854529613556,12095.1188207731,2363.84223684893
"2","Fully At Home","Drive HOV2",575,0.181173059448841,0.0180271764755287,169373.342422311,17986.020699787
"3","Fully At Home","Drive HOV3+",240,0.141089846683041,0.0213790503370656,131900.730645364,22152.0088898166
"4","Fully At Home","Drive SOV",1117,0.519565963534442,0.0258352682416582,485726.874185432,34934.7868705652
"5","Fully At Home","Transit",92,0.0239561767452355,0.0073698947403658,22395.9221053279,6958.67798995617
"6","Fully At Home","Walk",820,0.121277205240221,0.0156259211720665,113378.477317005,15350.4491439154
"7","Fully In Person","Bike/Micromobility",340,0.00903376263356703,0.00137075702962159,56035.5399286782,8453.7092731208
"8","Fully In Person","Drive HOV2",1326,0.169998250440941,0.0100373603668853,1054482.40525968,69016.4404593214
"9","Fully In Person","Drive HOV3+",484,0.120284146372418,0.00909225973521408,746110.713800901,60840.821328749
"10","Fully In Person","Drive SOV",5171,0.612147354442847,0.0122796645819943,3797089.7524648,116325.14792817
"11","Fully In Person","Transit",599,0.0176593062792774,0.00198659202391075,109538.937679003,12207.1515527163
"12","Fully In Person","Walk",1725,0.0708771798309499,0.00499299995285523,439644.166174097,31095.5065079658
"13","Hybrid","Bike/Micromobility",250,0.0305454942204756,0.00748841026686009,66366.6580657636,16607.9106647453
"14","Hybrid","Drive HOV2",955,0.160556319250206,0.0128042064159844,348843.147308884,30142.7022287661
"15","Hybrid","Drive HOV3+",364,0.104092370211088,0.011654480439725,226163.069786683,26944.3191676973
"16","Hybrid","Drive SOV",2760,0.505119917131612,0.01769079727623,1097481.69666245,58115.0112216236
"17","Hybrid","Transit",501,0.0485885014993153,0.00628238982551866,105568.973337197,13794.5944555848
"18","Hybrid","Walk",1801,0.151097397687303,0.00919529037506919,328291.605123808,19298.7136973655
