"","survey_year","hhincome_broad","telecommute_freq_cond","count","prop","prop_se","est","est_se","moe"
"1","2023","$200,000 or more","1+ days per week",672,0.563323810005779,0.0387995033458787,269727.261097651,25889.7946165873,0.0638251830039705
"2","2023","Under $75,000","1+ days per week",336,0.217772618932444,0.0292584035095564,101533.999780443,14687.071392137,0.0481300737732204
"3","2023","$75,000-$199,999","1+ days per week",1003,0.344312226001535,0.0244457969108999,342437.051178094,27951.7225276532,0.0402133359184304
