"","telecommute_status","mode_characterization","count","prop","prop_se","est","est_se"
"1","Fully At Home","Bike/Micromobility",118,0.0129377483482198,0.0025854529613556,12095.1188207731,2363.84223684893
"2","Fully At Home","Transit",92,0.0239561767452355,0.0073698947403658,22395.9221053279,6958.67798995617
"3","Fully At Home","Walk",820,0.121277205240221,0.0156259211720665,113378.477317005,15350.4491439154
"4","Fully In Person","Bike/Micromobility",340,0.00903376263356703,0.00137075702962159,56035.5399286782,8453.7092731208
"5","Fully In Person","Transit",599,0.0176593062792774,0.00198659202391075,109538.937679003,12207.1515527163
"6","Fully In Person","Walk",1725,0.0708771798309499,0.00499299995285523,439644.166174097,31095.5065079658
"7","Hybrid","Bike/Micromobility",250,0.0305454942204756,0.00748841026686009,66366.6580657636,16607.9106647453
"8","Hybrid","Transit",501,0.0485885014993153,0.00628238982551866,105568.973337197,13794.5944555848
"9","Hybrid","Walk",1801,0.151097397687303,0.00919529037506919,328291.605123808,19298.7136973655
