"","survey_year","gender","telecommute_freq_cond","count","prop","prop_se","est","est_se"
"1","2023","Man/Boy","1+ days per week",918,0.740465978454515,0.0299819891365311,425256.301797552,34289.9870600619
"2","2023","Woman/Girl","1+ days per week",852,0.737189414177057,0.0342793037355183,347971.154931806,30163.8524361672
