,destinationIndex,originIndex,totalWalkDuration,travelDistance,travelDuration,TRIPID,ORIGIN_LAT,ORIGIN_LNG,DEST_LAT,DEST_LNG
0,0,0,0,0.8003,4.75,2325852201001,47.684,-122.3797,47.6767,-122.3754
0,0,0,0,2.0151,8.4333,2315499401002,47.6189,-122.1307,47.6256,-122.155
0,0,0,0,3.5493,13.5333,2303691601002,47.2518,-122.5169,47.2339,-122.5605
0,0,0,0,5.0729,13.5333,2315499401001,47.5579,-122.1356,47.6189,-122.1307
0,0,0,0,5.0729,13.5333,2315499403001,47.5579,-122.1356,47.6189,-122.1307
0,0,0,0,0.7929,4.1,2304720301027,47.6612,-122.342,47.6538,-122.3371
0,0,0,0,1.5373,8.4833,2304720301005,47.6678,-122.3405,47.6538,-122.3371
0,0,0,0,4.0339,9.2,2320390301007,47.6186,-122.1916,47.6262,-122.1371
0,0,0,0,0.9066,3.2667,2330666001001,47.6346,-122.2017,47.627,-122.2094
0,0,0,0,1.1079,4.2333,2304720301026,47.6559,-122.3282,47.6612,-122.342
0,0,0,0,6.7829,25.1833,2315261501006,47.6764,-122.3824,47.6696,-122.2831
0,0,0,0,6.7848,23.9167,2315261501001,47.6696,-122.2831,47.6764,-122.3824
0,0,0,0,32.0485,37.1667,2332203701004,47.7853,-122.3046,47.5751,-122.0187
0,0,0,0,13.2476,23.6333,2341871201003,47.5867,-122.1573,47.7095,-122.1118
0,0,0,0,5.0493,16.3167,2303228001004,47.5712,-122.6602,47.5994,-122.7168
0,0,0,0,1.2918,3.9333,2325028301004,47.7939,-122.1636,47.7917,-122.183
0,0,0,0,1.1856,3.9,2303228001003,47.5691,-122.6826,47.5712,-122.6602
0,0,0,0,31.9472,38,2332203701003,47.5708,-121.9882,47.7853,-122.3046
0,0,0,0,1.2838,3.6,2312040602001,47.168,-122.6917,47.1774,-122.6795
0,0,0,0,1.2838,3.6,2312040603001,47.168,-122.6917,47.1774,-122.6795
0,0,0,0,5.1425,26.8333,2312040602006,47.1718,-122.6024,47.168,-122.6917
0,0,0,0,5.1425,26.8333,2312040603006,47.1718,-122.6024,47.168,-122.6917
0,0,0,0,0.2249,1.5167,2329956002006,47.252,-122.4534,47.2534,-122.4547
0,0,0,0,0.6313,2.4167,2312040602004,47.2014,-122.5334,47.2012,-122.5277
0,0,0,0,0.6313,2.4167,2312040603004,47.2014,-122.5334,47.2012,-122.5277
0,0,0,0,47.968,68.6833,2312040602003,47.2277,-122.8889,47.2014,-122.5334
0,0,0,0,47.968,68.6833,2312040603003,47.2277,-122.8889,47.2014,-122.5334
0,0,0,0,0.3244,1.35,2329956002005,47.2531,-122.447,47.252,-122.4534
0,0,0,0,5.1617,12.5333,2312040602005,47.2012,-122.5277,47.1718,-122.6024
0,0,0,0,5.1617,12.5333,2312040603005,47.2012,-122.5277,47.1718,-122.6024
0,0,0,0,59.3602,93.3833,2312040602002,47.1774,-122.6795,47.2277,-122.8889
0,0,0,0,59.3602,93.3833,2312040603002,47.1774,-122.6795,47.2277,-122.8889
0,0,0,0,2.5277,7.3667,2341472702003,47.7574,-122.081,47.7316,-122.0918
0,0,0,0,0,0,2303782002054,47.2462,-122.4853,47.2462,-122.4852
0,0,0,0,2.3519,8.7167,2319562403001,47.561,-122.3054,47.5325,-122.2879
0,0,0,0,1.8821,7.3333,2317382802002,47.5153,-122.3569,47.5399,-122.3568
0,0,0,0,0.6531,3.3333,2314053902005,47.9117,-122.2353,47.9093,-122.2278
0,0,0,0,1.9176,7.5333,2317382802001,47.5399,-122.3568,47.5153,-122.3569
0,0,0,0,2.8049,7.9667,2341472702002,47.763,-122.1313,47.7574,-122.081
0,0,0,0,4.7628,11.7667,2341472702001,47.7316,-122.0918,47.763,-122.1313
0,0,0,0,8.6091,34.2667,2322463401008,47.8104,-122.383,47.8049,-122.5419
0,0,0,0,8.6091,34.2667,2322463402008,47.8104,-122.383,47.8049,-122.5419
0,0,0,0,8.6091,34.2667,2322463403008,47.8104,-122.383,47.8049,-122.5419
0,0,0,0,6.1217,29.7,2322463401002,47.796,-122.4965,47.8071,-122.378
0,0,0,0,6.1217,29.7,2322463402002,47.796,-122.4965,47.8071,-122.378
0,0,0,0,6.1217,29.7,2322463403002,47.796,-122.4965,47.8071,-122.378
0,0,0,0,0.3026,2.3833,2301468301003,47.5755,-122.1392,47.5759,-122.1379
0,0,0,0,0.3026,2.3833,2301468302003,47.5755,-122.1392,47.5759,-122.1379
0,0,0,0,0.1659,1.7167,2301468301001,47.5759,-122.1379,47.5765,-122.1373
0,0,0,0,0.1659,1.7167,2301468302001,47.5759,-122.1379,47.5765,-122.1373
0,0,0,0,0.1361,1.4833,2301468301002,47.5765,-122.1373,47.5755,-122.1392
0,0,0,0,0.1361,1.4833,2301468302002,47.5765,-122.1373,47.5755,-122.1392
0,0,0,0,0.5878,3.5833,2300796601008,47.8636,-122.2838,47.8597,-122.289
0,0,0,0,0.8643,4.45,2314420401004,47.7548,-122.3433,47.7627,-122.3425
0,0,0,0,0.8643,4.45,2314420402004,47.7548,-122.3433,47.7627,-122.3425
0,0,0,0,12.868,19.9167,2317997401002,47.46,-122.3353,47.451,-122.1492
0,0,0,0,12.868,19.9167,2317997402002,47.46,-122.3353,47.451,-122.1492
0,0,0,0,9.8338,13.9667,2301909901002,47.6073,-122.329,47.5779,-122.1502
0,0,0,0,9.8338,13.9667,2301909902002,47.6073,-122.329,47.5779,-122.1502
0,0,0,0,1.833,7.2167,2316630501004,47.569,-122.1458,47.5715,-122.1717
0,0,0,0,9.2578,21.7,2317997401004,47.3864,-122.2505,47.451,-122.1492
0,0,0,0,9.2578,21.7,2317997402004,47.3864,-122.2505,47.451,-122.1492
0,0,0,0,9.2578,21.7,2317997401006,47.3864,-122.2505,47.451,-122.1492
0,0,0,0,9.2578,21.7,2317997402006,47.3864,-122.2505,47.451,-122.1492
0,0,0,0,10.0209,20.0333,2341765601005,47.3602,-122.1678,47.302,-122.032
0,0,0,0,10.0209,20.0333,2341765602003,47.3602,-122.1678,47.302,-122.032
