"","age_grp_2","share_3","count","prop","prop_se","est","est_se","Transit","moe"
"1","18-24","Selected",147,0.207503910683175,0.0360612346001854,63030.1101889083,11370.0988409979,"Transit User",0.0593207309173051
"2","25-44 years","Selected",1202,0.280773107433041,0.0193540666527451,368872.720104118,28075.7133864359,"Transit User",0.0318374396437656
"3","45-64 years","Selected",616,0.181630554780121,0.0187254097981131,184029.608728589,20082.4371417986,"Transit User",0.0308032991178961
"4","65+","Selected",411,0.205569696647816,0.0237609508170136,125203.130167774,15359.5298197982,"Transit User",0.0390867640939873
