"","age_grp_2","share_1","count","prop","prop_se","est","est_se","Walks","moe"
"1","18-24","Selected",180,0.371718134660663,0.0489851071424821,112910.811703448,17632.0107605775,"Walk (outside for 15-minutes or more)",0.0805805012493831
"2","25-44 years","Selected",1678,0.467247653726175,0.0228926655474971,613858.337673398,38082.8814282023,"Walk (outside for 15-minutes or more)",0.0376584348256328
"3","45-64 years","Selected",997,0.474836235602065,0.027001082180815,481108.075421504,36308.1264077541,"Walk (outside for 15-minutes or more)",0.0444167801874406
"4","65+","Selected",873,0.561077056112176,0.0333189223584982,341726.454998447,28524.1621965358,"Walk (outside for 15-minutes or more)",0.0548096272797295
