"","age_grp_2","share_2","count","prop","prop_se","est","est_se","Bikes","moe"
"1","18-24","Selected",31,0.0881918343532432,0.028618098047812,26788.6085555957,9054.56296386589,"Bikes (outside for 15-minutes or more)",0.0470767712886508
"2","25-44 years","Selected",429,0.102480075949053,0.0127057950209014,134635.773053226,17282.2180366954,"Bikes (outside for 15-minutes or more)",0.0209010328093828
"3","45-64 years","Selected",245,0.079232669461009,0.0125614996043306,80279.2084023683,12995.9872878189,"Bikes (outside for 15-minutes or more)",0.0206636668491239
"4","65+","Selected",112,0.0791727428688018,0.017775569541431,48220.5081429136,11256.7744873978,"Bikes (outside for 15-minutes or more)",0.029240811895654
