"","age_grp_2","share_4","count","prop","prop_se","est","est_se","rideshares","moe"
"1","18-24","Selected",55,0.0966961890819901,0.0280371870079065,29371.8389818256,8828.18503742255,"Uses Rideshare",0.0461211726280061
"2","25-44 years","Selected",742,0.194841427334634,0.0169509172888428,255977.817629971,23917.2138049363,"Uses Rideshare",0.0278842589401464
"3","45-64 years","Selected",308,0.0940979431376587,0.0142042833996655,95340.8289632314,14856.0776593138,"Uses Rideshare",0.0233660461924497
"4","65+","Selected",128,0.0656801990808852,0.0141427867622605,40002.8148558186,8777.42060811523,"Uses Rideshare",0.0232648842239185
