"","GEOID","name","state","variable","estimate","moe","label","concept","census_geography","acs_type","year","se","cv","reliability"
"1","53033","King County","Washington","B08201_001",861154,4657,"Estimate!!Total","HOUSEHOLD SIZE BY VEHICLES AVAILABLE","County","acs1",2016,2831.00303951368,0.00328745269662996,"good"
"2","53033","King County","Washington","B08201_002",87062,4271,"Estimate!!Total!!No vehicle available","HOUSEHOLD SIZE BY VEHICLES AVAILABLE","County","acs1",2016,2596.35258358663,0.0298218807698723,"good"
"3","53033","King County","Washington","B08201_003",291534,6898,"Estimate!!Total!!1 vehicle available","HOUSEHOLD SIZE BY VEHICLES AVAILABLE","County","acs1",2016,4193.31306990881,0.0143836158729644,"good"
"4","53033","King County","Washington","B08201_004",318673,6474,"Estimate!!Total!!2 vehicles available","HOUSEHOLD SIZE BY VEHICLES AVAILABLE","County","acs1",2016,3935.5623100304,0.0123498454843378,"good"
"5","53033","King County","Washington","B08201_005",112372,4096,"Estimate!!Total!!3 vehicles available","HOUSEHOLD SIZE BY VEHICLES AVAILABLE","County","acs1",2016,2489.96960486322,0.0221582743464851,"good"
"6","53033","King County","Washington","B08201_006",51513,3548,"Estimate!!Total!!4 or more vehicles available","HOUSEHOLD SIZE BY VEHICLES AVAILABLE","County","acs1",2016,2156.83890577508,0.0418697980271985,"good"
"7","53033","King County","Washington","B08201_007",250409,6470,"Estimate!!Total!!1-person household","HOUSEHOLD SIZE BY VEHICLES AVAILABLE","County","acs1",2016,3933.13069908815,0.0157068264283159,"good"
"8","53033","King County","Washington","B08201_008",60685,4274,"Estimate!!Total!!1-person household!!No vehicle available","HOUSEHOLD SIZE BY VEHICLES AVAILABLE","County","acs1",2016,2598.17629179331,0.0428141433928205,"good"
"9","53033","King County","Washington","B08201_009",160902,5322,"Estimate!!Total!!1-person household!!1 vehicle available","HOUSEHOLD SIZE BY VEHICLES AVAILABLE","County","acs1",2016,3235.25835866261,0.0201070114645102,"good"
"10","53033","King County","Washington","B08201_010",23391,2351,"Estimate!!Total!!1-person household!!2 vehicles available","HOUSEHOLD SIZE BY VEHICLES AVAILABLE","County","acs1",2016,1429.17933130699,0.0610995396223757,"good"
"11","53033","King County","Washington","B08201_011",4143,1013,"Estimate!!Total!!1-person household!!3 vehicles available","HOUSEHOLD SIZE BY VEHICLES AVAILABLE","County","acs1",2016,615.80547112462,0.148637574493029,"good"
"12","53033","King County","Washington","B08201_012",1288,484,"Estimate!!Total!!1-person household!!4 or more vehicles available","HOUSEHOLD SIZE BY VEHICLES AVAILABLE","County","acs1",2016,294.224924012158,0.228435500009439,"fair"
"13","53033","King County","Washington","B08201_013",298612,6995,"Estimate!!Total!!2-person household","HOUSEHOLD SIZE BY VEHICLES AVAILABLE","County","acs1",2016,4252.27963525836,0.0142401498776284,"good"
"14","53033","King County","Washington","B08201_014",16804,1856,"Estimate!!Total!!2-person household!!No vehicle available","HOUSEHOLD SIZE BY VEHICLES AVAILABLE","County","acs1",2016,1128.26747720365,0.0671427920259252,"good"
"15","53033","King County","Washington","B08201_015",82652,4172,"Estimate!!Total!!2-person household!!1 vehicle available","HOUSEHOLD SIZE BY VEHICLES AVAILABLE","County","acs1",2016,2536.17021276596,0.0306849224793829,"good"
"16","53033","King County","Washington","B08201_016",153513,4976,"Estimate!!Total!!2-person household!!2 vehicles available","HOUSEHOLD SIZE BY VEHICLES AVAILABLE","County","acs1",2016,3024.92401215805,0.0197046765561096,"good"
"17","53033","King County","Washington","B08201_017",35906,2341,"Estimate!!Total!!2-person household!!3 vehicles available","HOUSEHOLD SIZE BY VEHICLES AVAILABLE","County","acs1",2016,1423.10030395137,0.0396340529145928,"good"
"18","53033","King County","Washington","B08201_018",9737,1587,"Estimate!!Total!!2-person household!!4 or more vehicles available","HOUSEHOLD SIZE BY VEHICLES AVAILABLE","County","acs1",2016,964.741641337386,0.099079967273019,"good"
"19","53033","King County","Washington","B08201_019",132787,5576,"Estimate!!Total!!3-person household","HOUSEHOLD SIZE BY VEHICLES AVAILABLE","County","acs1",2016,3389.66565349544,0.025527089651061,"good"
"20","53033","King County","Washington","B08201_020",5210,1315,"Estimate!!Total!!3-person household!!No vehicle available","HOUSEHOLD SIZE BY VEHICLES AVAILABLE","County","acs1",2016,799.392097264438,0.153434183735977,"fair"
"21","53033","King County","Washington","B08201_021",25625,2693,"Estimate!!Total!!3-person household!!1 vehicle available","HOUSEHOLD SIZE BY VEHICLES AVAILABLE","County","acs1",2016,1637.0820668693,0.063886129438802,"good"
