"","survey_year","hh_id","daynum","deliver_package","n_days","hh_day_weight"
"1",2023,"23000173",7,NA,1,4801.34070369045
"2",2023,"23000381",1,"No",1,3427.63575894465
"3",2023,"23000397",1,NA,1,130.012053554492
"4",2023,"23000466",1,"No",4,9.52906702408037
"5",2023,"23000466",2,"No",4,9.52906702408037
"6",2023,"23000466",3,"No",4,9.52906702408037
"7",2023,"23000466",7,"No",4,9.52906702408037
"8",2023,"23000621",1,"No",1,125.903857307842
"9",2023,"23000680",1,"No",1,133.771272950243
"10",2023,"23000738",1,"No",4,591.730268624308
"11",2023,"23000738",2,"Yes",4,591.730268624308
"12",2023,"23000738",3,"No",4,591.730268624308
"13",2023,"23000738",7,"Yes",4,591.730268624308
"14",2023,"23000745",2,"No",4,454.711316366242
"15",2023,"23000745",3,"No",4,454.711316366242
"16",2023,"23000745",4,"No",4,454.711316366242
"17",2023,"23000745",5,"No",4,454.711316366242
"18",2023,"23000828",1,NA,1,37.7662695840443
"19",2023,"23000858",1,NA,1,248.775718129455
"20",2023,"23000946",3,"Yes",4,9.43422479312125
"21",2023,"23000946",4,"Yes",4,9.43422479312125
"22",2023,"23000946",5,"No",4,9.43422479312125
"23",2023,"23000946",6,"No",4,9.43422479312125
"24",2023,"23001129",1,"No",1,509.105901396141
"25",2023,"23001235",1,NA,1,35.1078572152233
"26",2023,"23001247",3,NA,1,38.7889483987359
"27",2023,"23001280",1,"No",4,9.22159517885368
"28",2023,"23001280",2,"No",4,9.22159517885368
"29",2023,"23001280",3,"Yes",4,9.22159517885368
"30",2023,"23001280",4,"No",4,9.22159517885368
"31",2023,"23001322",1,"Yes",3,678.112050771603
"32",2023,"23001322",6,"No",3,678.112050771603
"33",2023,"23001322",7,"No",3,678.112050771603
"34",2023,"23001496",1,NA,1,2061.86075322899
"35",2023,"23001600",1,"No",1,156.249893300137
"36",2023,"23001682",2,NA,1,39.7058977556073
"37",2023,"23001690",1,"No",1,656.226768065798
"38",2023,"23001695",1,NA,1,34.375178121429
"39",2023,"23001700",1,NA,1,152.610241501938
"40",2023,"23001718",1,NA,1,37.2434268757053
"41",2023,"23001758",1,NA,1,146.123624824362
"42",2023,"23001767",1,NA,1,36.8226533699308
"43",2023,"23001769",4,"No",2,2452.00283438315
"44",2023,"23001769",7,"No",2,2452.00283438315
"45",2023,"23001772",1,NA,1,158.377691534895
"46",2023,"23001896",1,"No",1,308.348012157582
"47",2023,"23002020",1,NA,1,144.864966153837
"48",2023,"23002024",1,"No",4,84.1977230956278
"49",2023,"23002024",2,"Yes",4,84.1977230956278
"50",2023,"23002024",3,"No",4,84.1977230956278
"51",2023,"23002024",7,"No",4,84.1977230956278
"52",2023,"23002075",1,NA,1,160.212583803119
"53",2023,"23002205",3,"Yes",3,634.972280776527
"54",2023,"23002205",5,"Yes",3,634.972280776527
"55",2023,"23002205",6,"No",3,634.972280776527
"56",2023,"23002222",1,"No",1,36.6990855332372
"57",2023,"23002335",1,NA,1,248.11828808135
"58",2023,"23002452",1,NA,1,227.245415892939
"59",2023,"23002471",1,NA,1,124.280519598378
"60",2023,"23002591",1,NA,1,35.3156636574488
"61",2023,"23002735",2,"No",4,35.8249094402347
"62",2023,"23002735",3,"No",4,35.8249094402347
"63",2023,"23002735",4,"No",4,35.8249094402347
"64",2023,"23002735",5,"No",4,35.8249094402347
"65",2023,"23002804",4,"No",4,177.595145872898
"66",2023,"23002804",5,"No",4,177.595145872898
"67",2023,"23002804",6,"No",4,177.595145872898
"68",2023,"23002804",7,"No",4,177.595145872898
"69",2023,"23002823",1,"No",1,61.9923359034158
"70",2023,"23002828",1,NA,1,825.807022206159
"71",2023,"23002895",1,NA,1,13.7915494574489
"72",2023,"23003065",1,"No",4,23.8372318543857
"73",2023,"23003065",5,"No",4,23.8372318543857
"74",2023,"23003065",6,"No",4,23.8372318543857
"75",2023,"23003065",7,"No",4,23.8372318543857
"76",2023,"23003118",3,"No",4,9.35590585351187
"77",2023,"23003118",4,"No",4,9.35590585351187
"78",2023,"23003118",5,"No",4,9.35590585351187
"79",2023,"23003118",6,"No",4,9.35590585351187
"80",2023,"23003195",1,NA,1,146.599264110353
"81",2023,"23003344",2,"No",4,11.0384635331941
"82",2023,"23003344",3,"No",4,11.0384635331941
"83",2023,"23003344",4,"Yes",4,11.0384635331941
"84",2023,"23003344",5,"Yes",4,11.0384635331941
"85",2023,"23003394",1,NA,1,304.982835201544
"86",2023,"23003815",1,NA,1,36.9628605951404
"87",2023,"23004004",1,"No",4,20.4411732164716
"88",2023,"23004004",2,"No",4,20.4411732164716
"89",2023,"23004004",3,"No",4,20.4411732164716
"90",2023,"23004004",7,"No",4,20.4411732164716
"91",2023,"23004131",2,"No",3,1658.34090195542
"92",2023,"23004131",4,"No",3,1658.34090195542
"93",2023,"23004131",5,"No",3,1658.34090195542
"94",2023,"23004166",1,NA,1,11.34596048265
"95",2023,"23004173",1,"No",4,9.45208839927235
"96",2023,"23004173",2,"Yes",4,9.45208839927235
"97",2023,"23004173",3,"No",4,9.45208839927235
"98",2023,"23004173",7,"No",4,9.45208839927235
"99",2023,"23004329",1,"Yes",4,9.5167733735535
"100",2023,"23004329",2,"Yes",4,9.5167733735535
"101",2023,"23004329",3,"Yes",4,9.5167733735535
"102",2023,"23004329",7,"No",4,9.5167733735535
"103",2023,"23004382",1,NA,1,120.525660880503
"104",2023,"23004738",1,NA,1,37.4372401506135
"105",2023,"23004800",1,NA,1,38.760277345229
"106",2023,"23004852",7,NA,1,38.9514768142582
"107",2023,"23004862",1,NA,1,136.048359389821
"108",2023,"23004965",1,"Yes",3,35.666490533651
"109",2023,"23004965",2,"No",3,35.666490533651
"110",2023,"23004965",3,"Yes",3,35.666490533651
