value,label
1,Samsung Galaxy S4
2,Samsung Galaxy S3
3,Samsung Galaxy S2
4,Samsung Galaxy Note III
5,Samsung Galaxy Note II
6,Google Nexus 5
7,Google Nexus 4
8,HTC One
9,HTC Evo
10,LG Optimus
11,Motorola Moto X
12,Motorola Droid
13,Sony Xperia M
14,"Other, please specify:"
15,I don't know
