value,label
1,Community Transit
2,Everett Transit
3,King County Metro
4,King County Water Taxi
5,Kitsap Ferry
6,Kitsap Transit Bus
7,Kitsap Transit Worker/Driver
8,Pierce County Ferry
9,Pierce Transit
10,Seattle Monorail
11,Seattle Streetcar
12,Sound Transit Bus
13,Sound Transit Rail
14,Washington State Ferries
15,King County Metro Dial-a-Ride
16,Other
17,I don't know
