value,label
1,"Bitter Lake Village, Lake City, Northgate"
2,"Aurora-Licton Springs, Crown Hill, Greenwood-Phinney Ridge"
3,"Green Lake, Ravenna, Roosevelt"
4,"University Campus, University District Northwest"
5,"Fremont, Wallingford"
6,"Ballard, Ballard-Interbay-Northend"
7,Eastlake
8,"Upper Queen Anne, Uptown"
9,"Capitol Hill, South Lake Union"
10,Pike/Pine
11,"12th Avenue, First Hill"
12,"Belltown, Denny Triangle"
13,"Chinatown-International District, Commercial Core, Pioneer Square"
14,"23rd & Union-Jackson, Madison-Miller"
15,"Admiral, Greater Duwamish, West Seattle Junction"
16,"Morgan Junction, South Park, Westwood-Highland Park"
17,"North Beacon Hill, North Rainier"
18,"Columbia City, Othello, Rainier Beach"
