year,center,Total
2017,Auburn,3127
2017,Bellevue,48569
2017,Bothell Canyon Park,11216
2017,Bremerton,16186
2017,Burien,5176
2017,Everett,12425
2017,Federal Way,3068
2017,Greater Downtown Kirkland,9328
2017,Issaquah,10767
2017,Kent,4071
2017,Kirkland Totem Lake,13334
2017,Lakewood,5103
2017,Lynnwood,12771
2017,Puyallup Downtown,2817
2017,Puyallup South Hill,6955
2017,Redmond Downtown,10029
2017,Redmond-Overlake,27322
2017,Renton,14787
2017,SeaTac,15096
2017,Seattle Downtown,174342
2017,Seattle First Hill/Capitol Hill,42574
2017,Seattle Northgate,12526
2017,Seattle South Lake Union,54381
2017,Seattle University Community,39992
2017,Seattle Uptown,14246
2017,Silverdale,8620
2017,Tacoma Downtown,36954
2017,Tacoma Mall,8973
2017,Tukwila,19882
2017,University Place,3679
2017,RGC Total,648315
2018,Auburn,3121
2018,Bellevue,51188
2018,Bothell Canyon Park,10632
2018,Bremerton,16589
2018,Burien,5117
2018,Everett,12767
2018,Federal Way,3043
2018,Greater Downtown Kirkland,10009
2018,Issaquah,11540
2018,Kent,4277
2018,Kirkland Totem Lake,13996
2018,Lakewood,5232
2018,Lynnwood,12550
2018,Puyallup Downtown,2889
2018,Puyallup South Hill,6669
2018,Redmond Downtown,10071
2018,Redmond-Overlake,26991
2018,Renton,17865
2018,SeaTac,16211
2018,Seattle Downtown,184081
2018,Seattle First Hill/Capitol Hill,43924
2018,Seattle Northgate,12314
2018,Seattle South Lake Union,62905
2018,Seattle University Community,36047
2018,Seattle Uptown,14805
2018,Silverdale,8899
2018,Tacoma Downtown,37293
2018,Tacoma Mall,8878
2018,Tukwila,19588
2018,University Place,3876
2018,RGC Total,673366
2019,Auburn,3152
2019,Bellevue,55068
2019,Bothell Canyon Park,10684
2019,Bremerton,17117
2019,Burien,5381
2019,Everett,13027
2019,Federal Way,2860
2019,Greater Downtown Kirkland,10745
2019,Issaquah,11418
2019,Kent,4267
2019,Kirkland Totem Lake,14409
2019,Lakewood,5125
2019,Lynnwood,13135
2019,Puyallup Downtown,2928
2019,Puyallup South Hill,6469
2019,Redmond Downtown,10636
2019,Redmond-Overlake,28071
2019,Renton,18127
2019,SeaTac,16835
2019,Seattle Downtown,192493
2019,Seattle First Hill/Capitol Hill,46812
2019,Seattle Northgate,11770
2019,Seattle South Lake Union,65683
2019,Seattle University Community,36396
2019,Seattle Uptown,14838
2019,Silverdale,8779
2019,Tacoma Downtown,37673
2019,Tacoma Mall,8682
2019,Tukwila,19542
2019,University Place,3810
2019,RGC Total,695930
2020,Auburn,3190
2020,Bellevue,51714
2020,Bothell Canyon Park,11225
2020,Bremerton,17745
2020,Burien,5615
2020,Everett,13140
2020,Federal Way,2663
2020,Greater Downtown Kirkland,10821
2020,Issaquah,11730
2020,Kent,4282
2020,Kirkland Totem Lake,16383
2020,Lakewood,5072
2020,Lynnwood,12988
2020,Puyallup Downtown,S
2020,Puyallup South Hill,6617
2020,Redmond Downtown,11027
2020,Redmond-Overlake,S
2020,Renton,17342
2020,SeaTac,18033
2020,Seattle Downtown,196524
2020,Seattle First Hill/Capitol Hill,47350
2020,Seattle Northgate,10491
2020,Seattle South Lake Union,77260
2020,Seattle University Community,36229
2020,Seattle Uptown,14689
2020,Silverdale,9014
2020,Tacoma Downtown,38677
2020,Tacoma Mall,9075
2020,Tukwila,18648
2020,University Place,3723
2020,RGC Total,713302
2021,Auburn,3062
2021,Bellevue,55815
2021,Bothell Canyon Park,11306
2021,Bremerton,16813
2021,Burien,5290
2021,Everett,12193
2021,Federal Way,2486
2021,Greater Downtown Kirkland,11138
2021,Issaquah,11439
2021,Kent,3789
2021,Kirkland Totem Lake,16191
2021,Lakewood,5172
2021,Lynnwood,12315
2021,Puyallup Downtown,S
2021,Puyallup South Hill,5918
2021,Redmond Downtown,10228
2021,Redmond-Overlake,S
2021,Renton,12695
2021,SeaTac,14705
2021,Seattle Downtown,173644
2021,Seattle First Hill/Capitol Hill,43114
2021,Seattle Northgate,9864
2021,Seattle South Lake Union,76821
2021,Seattle University Community,34671
2021,Seattle Uptown,12182
2021,Silverdale,8109
2021,Tacoma Downtown,35973
2021,Tacoma Mall,9157
2021,Tukwila,16562
2021,University Place,3569
2021,RGC Total,664234
2022,Auburn,3342
2022,Bellevue,61068
2022,Bothell Canyon Park,11851
2022,Bremerton,16397
2022,Burien,5760
2022,Everett,13055
2022,Federal Way,2711
2022,Greater Downtown Kirkland,12826
2022,Issaquah,11844
2022,Kent,3952
2022,Kirkland Totem Lake,14403
2022,Lakewood,5324
2022,Lynnwood,13761
2022,Puyallup Downtown,S
2022,Puyallup South Hill,6648
2022,Redmond Downtown,11150
2022,Redmond-Overlake,S
2022,Renton,15031
2022,SeaTac,17446
2022,Seattle Downtown,185446
2022,Seattle First Hill/Capitol Hill,47061
2022,Seattle Northgate,9919
2022,Seattle South Lake Union,79992
2022,Seattle University Community,36081
2022,Seattle Uptown,14783
2022,Silverdale,8741
2022,Tacoma Downtown,36539
2022,Tacoma Mall,10030
2022,Tukwila,18647
2022,University Place,3800
2022,RGC Total,708906
