hhno,pno,pptyp,pagey,pgend,pwtyp,pwpcl,pwtaz,pstyp,pspcl,pstaz,ptpass,ppaidprk,pdiary,pproxy,psexpfac,id,puwmode,puwarrp,puwdepp,pwaudist,pwautime,psautime,psaudist
300001,1,5,21,1,0,0,-1,1,1078364,552,-1,-1,-1,-1,4.161,3000011,-1,-1,-1,-1,-1,-1,-1
300002,1,5,21,1,0,0,-1,1,1078364,552,-1,1,-1,-1,4.161,3000021,-1,-1,-1,-1,-1,-1,-1
300004,1,5,17,2,0,0,-1,1,1078364,552,-1,-1,-1,-1,16.514,3000041,-1,-1,-1,-1,-1,-1,-1
300005,1,5,30,1,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3000051,-1,-1,-1,-1,-1,-1,-1
300007,1,5,21,1,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3000071,-1,-1,-1,-1,-1,-1,-1
300010,1,5,21,2,0,0,-1,1,1078364,552,-1,-1,-1,-1,4.161,3000101,-1,-1,-1,-1,-1,23.23,7.97
300013,1,5,21,2,0,0,-1,1,1078364,552,-1,-1,-1,-1,14.667,3000131,-1,-1,-1,-1,-1,-1,-1
300014,1,5,30,2,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3000141,-1,-1,-1,-1,-1,20.42,7.59
300015,1,5,21,2,0,0,-1,1,1078364,552,-1,-1,-1,-1,4.161,3000151,-1,-1,-1,-1,-1,-1,-1
300016,1,5,21,1,0,0,-1,1,1078364,552,-1,-1,-1,-1,14.638,3000161,-1,-1,-1,-1,-1,7.96,0.53
300018,1,5,17,1,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3000181,-1,-1,-1,-1,-1,15.27,5.45
300019,1,5,21,1,0,0,-1,1,932775,72,-1,-1,-1,-1,15.505,3000191,-1,-1,-1,-1,-1,-1,-1
300022,1,5,50,1,0,0,-1,1,932775,72,-1,-1,-1,-1,12.309,3000221,1,595,795,-1,-1,7.45,1.13
300028,1,5,21,2,0,0,-1,1,1078364,566,-1,1,-1,-1,4.161,3000281,-1,-1,-1,-1,-1,16.41,4.15
300031,1,5,21,1,0,0,-1,1,1078364,427,-1,-1,-1,-1,14.667,3000311,-1,-1,-1,-1,-1,10.09,0.83
300033,1,5,21,2,0,0,-1,1,1078364,552,-1,-1,-1,-1,12.785,3000331,-1,-1,-1,-1,-1,11.48,3.58
300035,1,5,30,2,0,0,-1,1,1078364,552,-1,-1,-1,-1,14.114,3000351,-1,-1,-1,-1,-1,12.75,2.19
300038,1,5,21,2,0,0,-1,1,1078364,552,-1,-1,-1,-1,4.161,3000381,-1,-1,-1,-1,-1,-1,-1
300041,1,5,30,2,0,0,-1,1,1078364,400,-1,-1,-1,-1,13.889,3000411,-1,-1,-1,-1,-1,25.29,8.65
300042,1,5,21,2,0,0,-1,1,1089776,797,-1,-1,-1,-1,7.92,3000421,-1,-1,-1,-1,-1,6.96,0.82
300045,1,5,30,1,0,0,-1,1,1078364,552,-1,-1,-1,-1,14.053,3000451,-1,-1,-1,-1,-1,8.89,0.71
300047,1,5,21,1,0,0,-1,1,1089776,756,-1,-1,-1,-1,7.92,3000471,-1,-1,-1,-1,-1,-1,-1
300048,1,5,21,1,0,0,-1,1,932775,72,-1,-1,-1,-1,12.004,3000481,-1,-1,-1,-1,-1,15.55,3.93
300050,1,5,17,1,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3000501,-1,-1,-1,-1,-1,7.64,1.35
300052,1,5,30,2,0,0,-1,1,1078364,552,-1,-1,-1,-1,14.638,3000521,-1,-1,-1,-1,-1,-1,-1
300058,1,5,21,1,0,0,-1,1,932775,72,-1,-1,-1,-1,3.907,3000581,-1,-1,-1,-1,-1,12.89,4.87
300060,1,5,21,1,0,0,-1,1,1089776,756,-1,1,-1,-1,7.92,3000601,-1,-1,-1,-1,-1,-1,-1
300063,1,5,60,1,0,0,-1,1,932775,72,-1,-1,-1,-1,13.884,3000631,-1,-1,-1,-1,-1,-1,-1
300066,1,5,30,1,0,0,-1,1,1078364,502,-1,-1,-1,-1,12.636,3000661,6,450,720,-1,-1,-1,-1
300079,1,5,50,3,0,0,-1,1,1089776,756,-1,-1,-1,-1,27.949,3000791,-1,-1,-1,-1,-1,-1,-1
300082,1,5,30,3,0,0,-1,1,1089776,756,-1,-1,-1,-1,7.92,3000821,-1,-1,-1,-1,-1,28.1,7.74
300083,1,5,30,3,0,0,-1,1,1078364,566,-1,-1,-1,-1,14.667,3000831,-1,-1,-1,-1,-1,14.94,2.81
300085,1,5,21,1,0,0,-1,1,932775,72,-1,-1,-1,-1,11.864,3000851,-1,-1,-1,-1,-1,7.45,1.13
