hhno,pno,pptyp,pagey,pgend,pwtyp,pwpcl,pwtaz,pwautime,pwaudist,pstyp,pspcl,pstaz,psautime,psaudist,puwmode,puwarrp,puwdepp,ptpass,ppaidprk,pdiary,pproxy,psexpfac
2238,1,3,76,1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,0,123.57
2238,2,1,49,1,1,59013,535,32.89,5.93,0,-1,-1,-1,-1,3,1,1,1,-1,1,0,123.57
2254,1,1,59,2,1,260758,967,35.28,16.43,0,-1,-1,-1,-1,3,4,3,0,-1,1,0,231.76
2262,1,2,52,2,2,647495,3485,20.42,9.71,0,-1,-1,-1,-1,3,9,1,0,-1,1,0,327.43
2262,2,2,49,1,2,626449,3643,45.19,26.84,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,327.43
2262,3,6,17,1,2,643314,3693,27.4,10.87,1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,327.43
2318,1,3,74,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,0,120.02
2318,2,2,77,1,2,143326,32,17.33,4.73,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,120.02
2324,1,4,51,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,596.12
2324,2,1,38,1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,596.12
2324,3,7,7,2,0,-1,-1,-1,-1,1,411421,1158,10.28,1.98,-1,-1,-1,0,-1,1,1,596.12
2325,1,1,30,2,1,14704,105,54.81,13.53,0,-1,-1,-1,-1,0,-1,-1,0,-1,1,0,409.37
2327,1,4,63,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,282.65
2327,2,4,63,1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,282.65
2329,1,3,86,1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,397.13
2329,2,3,82,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,397.13
2330,1,1,52,2,1,1145455,2399,50.27,26.5,0,-1,-1,-1,-1,3,6,9,0,-1,1,0,210.61
2330,2,4,52,1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,210.61
2343,1,3,78,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,262.72
2354,1,4,51,1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,329.44
2367,1,3,68,1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,300.73
2367,2,3,69,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,300.73
2426,1,1,35,1,1,117147,709,23.63,6.97,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,234.77
2426,2,1,40,1,1,506340,607,31.87,10.21,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,0,234.77
2456,1,2,55,1,2,956536,2599,9.86,1.73,0,-1,-1,-1,-1,3,9,9,0,-1,1,0,302.95
2456,2,1,49,2,1,1133364,2624,13.89,3.04,0,-1,-1,-1,-1,3,5,9,0,-1,1,0,302.95
2456,3,6,18,1,2,1132004,2578,15.68,3.65,1,1105426,2617,6.82,1.45,-1,-1,-1,0,-1,1,2,302.95
2456,4,6,16,1,0,-1,-1,-1,-1,1,1105426,2617,6.82,1.45,-1,-1,-1,0,-1,1,2,302.95
2457,1,1,64,1,1,148051,583,18.2,3.06,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,211
2457,2,4,63,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,211
2482,1,4,58,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,80.23
2482,2,4,56,1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,80.23
2495,1,1,59,2,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,96.47
2495,2,2,66,1,2,40966,450,15.74,2.69,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,96.47
2502,1,1,59,2,1,110391,1548,43.45,14.65,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,118.64
2502,2,1,60,1,1,393510,733,4.74,0.19,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,118.64
2503,1,3,72,1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,210.85
2503,2,4,49,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,210.85
2507,1,2,62,2,2,640617,3695,41.2,16.27,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,108.29
2507,2,3,68,1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,108.29
2509,1,4,50,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,260.78
2512,1,1,47,2,1,208552,762,23.02,6.5,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,121.67
2512,2,4,43,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,121.67
2535,1,3,81,1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,173.45
2535,2,3,78,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,173.45
2539,1,1,54,1,1,988207,2281,38.8,16.53,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,228.35
2539,2,1,44,2,1,1147912,2391,48.03,21.2,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,228.35
2542,1,3,74,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,82.76
2543,1,1,63,1,1,152629,1446,54.81,16.25,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,295.78
2543,2,4,57,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,295.78
2543,3,1,30,2,1,189062,1663,31.5,7.5,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,295.78
2543,4,8,3,1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,295.78
2551,1,1,55,2,1,115549,1188,41.45,16.49,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,330.42
2551,2,5,19,2,0,-1,-1,-1,-1,1,115549,1188,41.45,16.49,-1,-1,-1,0,-1,1,0,330.42
2563,1,3,67,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,317.74
2563,2,3,72,1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,317.74
2575,1,4,54,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,781.99
2591,1,2,62,2,2,946507,2946,15.5,3.53,0,-1,-1,-1,-1,3,5,1,0,-1,1,0,185.45
2591,2,3,81,1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1,0,185.45
2605,1,1,40,1,1,23145,1792,52.91,19.37,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,281.17
2605,2,1,38,2,1,961555,2419,34.78,15.23,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,281.17
2622,1,3,66,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,268.2
2622,2,1,64,1,1,716672,2956,25.19,4.82,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,268.2
2658,1,1,49,2,1,1173675,2135,16.88,6.57,0,-1,-1,-1,-1,3,5,6,0,-1,1,0,286.44
2658,2,1,52,1,1,1146819,2394,55.33,29.77,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,286.44
2673,1,1,60,2,1,59022,528,44.5,10.63,0,-1,-1,-1,-1,0,-1,-1,1,-1,1,0,109.09
2702,1,2,52,2,2,140727,1169,13.02,3.37,0,-1,-1,-1,-1,3,6,8,0,-1,-1,0,275.86
2702,2,1,55,1,1,89615,1051,19.97,10.09,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,275.86
2707,1,3,73,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,141.12
2709,1,5,27,2,0,-1,-1,-1,-1,1,698244,3029,27.86,8.37,-1,-1,-1,0,-1,1,0,515.48
2709,2,1,30,1,1,1500003,3354,32.44,14.68,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,515.48
2736,1,3,80,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,389.75
2753,1,1,37,1,1,97276,1045,33.51,16.83,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,137.3
2753,2,4,35,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,137.3
2753,3,7,8,1,0,-1,-1,-1,-1,1,9951,691,13.35,3.98,-1,-1,-1,0,-1,1,0,137.3
2753,4,8,0,1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,137.3
2759,1,5,21,2,2,157744,1061,7.18,0.99,1,115549,1188,31.45,11.96,-1,-1,-1,0,-1,1,2,241.58
2759,2,1,51,2,1,275093,1031,13.36,2.72,0,-1,-1,-1,-1,3,6,9,0,-1,1,0,241.58
2760,1,3,76,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,326.88
2773,1,3,77,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,121.73
2778,1,4,62,1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,95.65
2794,1,2,68,2,2,619961,3529,7.78,2.52,0,-1,-1,-1,-1,3,-1,-1,0,-1,1,0,118.48
2806,1,1,48,1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,3,1,9,0,-1,0,0,580.28
2806,2,1,45,2,1,1066643,2570,26.23,9.47,0,-1,-1,-1,-1,-1,-1,-1,0,-1,0,1,580.28
2806,3,1,21,1,1,1057297,2481,15.21,5.08,0,-1,-1,-1,-1,-1,-1,-1,0,-1,0,1,580.28
2806,4,1,19,1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,0,1,580.28
2806,5,6,16,1,0,-1,-1,-1,-1,1,1146810,2324,10.07,2.29,-1,-1,-1,0,-1,0,1,580.28
2828,1,3,72,1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,52.14
2828,2,3,69,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,52.14
2829,1,4,64,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,68.41
2829,2,3,67,1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,68.41
2839,1,3,65,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,90.66
2839,2,4,44,1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,90.66
2844,1,3,81,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,280.59
2859,1,4,47,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,413.06
2859,2,1,47,1,1,1500003,3354,22.97,3.74,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,413.06
2859,3,6,17,1,0,-1,-1,-1,-1,1,692262,3039,30.44,9.55,-1,-1,-1,0,-1,1,0,413.06
2859,4,7,15,2,0,-1,-1,-1,-1,1,692262,3039,30.44,9.55,-1,-1,-1,0,-1,1,0,413.06
2859,5,7,12,1,0,-1,-1,-1,-1,1,692547,3065,28.08,8.65,-1,-1,-1,0,-1,1,0,413.06
2873,1,4,63,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,202.8
2891,1,1,59,1,1,425619,398,53.82,12.03,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,2,291.91
2891,2,4,57,1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,0,291.91
