hhno,hhsize,hhvehs,hhwkrs,hhftw,hhptw,hhret,hhoad,hhuni,hhhsc,hh515,hhcu5,hhincome,hownrent,hrestype,hhparcel,hhtaz,hhexpfac,samptype
2001,1,1,1,1,0,0,0,0,0,0,0,45000,1,1,46929,1309,324.86,1
2006,3,1,1,1,0,0,2,0,0,0,0,-1,1,1,462748,916,356.76,1
2015,3,1,1,1,0,0,0,0,0,2,0,55000,1,1,128540,1786,411.65,1
2016,1,1,1,1,0,0,0,0,0,0,0,105000,1,1,147174,318,98.36,1
2033,2,2,2,1,1,0,0,0,0,0,0,85000,1,1,988551,2603,218.57,1
2058,2,2,2,2,0,0,0,0,0,0,0,15000,1,1,743488,3174,416.17,1
2062,1,0,0,0,0,0,1,0,0,0,0,25000,2,3,42639,447,223.48,1
2065,2,2,2,2,0,0,0,0,0,0,0,75000,1,1,1007437,2252,205.05,1
2067,2,2,1,0,1,1,0,0,0,0,0,25000,1,1,1137646,2560,267.69,1
2070,3,4,3,3,0,0,0,0,0,0,0,175000,1,1,378615,1963,442.41,1
2071,4,3,2,2,0,0,0,0,0,2,0,115000,1,1,292249,718,171.91,1
2089,4,4,2,2,0,0,0,1,0,1,0,75000,1,1,636984,3668,235.57,1
2109,1,1,1,1,0,0,0,0,0,0,0,35000,2,2,306868,1692,980.92,1
2110,3,1,1,1,0,0,0,0,0,2,0,45000,1,1,509158,2009,696.56,1
2116,2,3,0,0,0,1,1,0,0,0,0,65000,1,1,639483,3691,66.21,1
2120,2,2,2,2,0,0,0,0,0,0,0,115000,1,1,66869,1832,335.56,1
2128,1,0,1,1,0,0,0,0,0,0,0,35000,2,3,421224,429,256.11,1
2138,2,1,0,0,0,1,1,0,0,0,0,15000,1,1,34271,143,258.22,1
2158,1,2,0,0,0,0,1,0,0,0,0,65000,1,1,386094,696,70.13,1
2163,2,2,0,0,0,1,1,0,0,0,0,145000,1,1,541414,677,97.49,1
2206,1,1,1,1,0,0,0,0,0,0,0,-1,1,1,995603,2656,279.85,1
2220,3,2,2,2,0,0,0,0,1,0,0,35000,1,1,455067,894,569.69,1
2229,2,2,0,0,0,1,1,0,0,0,0,45000,1,1,21599,1321,307.94,1
2237,2,2,0,0,0,2,0,0,0,0,0,25000,2,1,618034,3543,119.98,1
2238,2,3,1,1,0,1,0,0,0,0,0,-1,1,1,567723,690,123.57,1
2254,1,1,1,1,0,0,0,0,0,0,0,95000,1,1,294490,1152,231.76,1
2262,3,2,3,0,2,0,0,0,1,0,0,25000,1,1,652543,3501,327.43,1
2318,2,2,1,0,1,1,0,0,0,0,0,-1,1,1,408593,325,120.02,1
2324,3,4,1,1,0,0,1,0,0,1,0,35000,1,1,264596,1162,596.12,1
2325,1,4,1,1,0,0,0,0,0,0,0,105000,1,1,81422,1669,409.37,1
2327,2,2,0,0,0,0,2,0,0,0,0,-1,1,1,511028,1753,282.65,1
2329,2,1,0,0,0,2,0,0,0,0,0,35000,1,1,851538,3203,397.13,1
2330,2,2,1,1,0,0,1,0,0,0,0,65000,1,1,1092525,2105,210.61,1
2343,1,1,0,0,0,1,0,0,0,0,0,-1,1,1,1115698,2215,262.72,1
2354,1,2,0,0,0,0,1,0,0,0,0,15000,1,1,981938,2383,329.44,1
2367,2,3,0,0,0,2,0,0,0,0,0,65000,1,1,771706,3038,300.73,1
2426,2,3,2,2,0,0,0,0,0,0,0,65000,1,1,525479,927,234.77,1
2456,4,4,3,1,1,0,0,0,2,0,0,75000,1,1,981200,2616,302.95,1
2457,2,2,1,1,0,0,1,0,0,0,0,-1,1,1,364411,416,211,1
2482,2,2,0,0,0,0,2,0,0,0,0,85000,1,1,578551,3605,80.23,1
2495,2,2,2,1,1,0,0,0,0,0,0,75000,1,1,279907,357,96.47,1
2502,2,2,2,2,0,0,0,0,0,0,0,95000,2,1,393510,733,118.64,1
2503,2,2,0,0,0,1,1,0,0,0,0,35000,1,1,954780,2829,210.85,1
2507,2,3,1,0,1,1,0,0,0,0,0,55000,1,1,591944,3476,108.29,1
2509,1,1,0,0,0,0,1,0,0,0,0,55000,1,1,952065,3252,260.78,1
2512,2,2,1,1,0,0,1,0,0,0,0,115000,1,1,429662,561,121.67,1
2535,2,1,0,0,0,2,0,0,0,0,0,25000,1,1,154341,186,173.45,1
2539,2,3,2,2,0,0,0,0,0,0,0,75000,1,1,1172682,2216,228.35,1
2542,1,1,0,0,0,1,0,0,0,0,0,-1,1,1,143987,221,82.76,1
2543,4,3,2,2,0,0,1,0,0,0,1,75000,1,1,130557,1743,295.78,1
2551,2,2,1,1,0,0,0,1,0,0,0,65000,1,1,743549,3174,330.42,1
2563,2,3,0,0,0,2,0,0,0,0,0,35000,1,1,441332,1834,317.74,1
2575,1,1,0,0,0,0,1,0,0,0,0,5000,2,3,929167,3329,781.99,1
2591,2,2,1,0,1,1,0,0,0,0,0,45000,1,1,821190,2794,185.45,1
2605,2,2,2,2,0,0,0,0,0,0,0,85000,1,1,1121446,2240,281.17,1
2622,2,2,1,1,0,1,0,0,0,0,0,-1,1,1,781797,2763,268.2,1
2658,2,2,2,2,0,0,0,0,0,0,0,65000,1,1,1181923,2099,286.44,1
2673,1,1,1,1,0,0,0,0,0,0,0,45000,1,1,357811,2,109.09,1
2702,2,2,2,1,1,0,0,0,0,0,0,55000,1,1,523717,1164,275.86,1
2707,1,1,0,0,0,1,0,0,0,0,0,25000,1,3,540920,678,141.12,1
2709,2,2,1,1,0,0,0,1,0,0,0,65000,1,1,825054,3258,515.48,1
2736,1,1,0,0,0,1,0,0,0,0,0,-1,1,1,447971,1516,389.75,1
2753,4,2,1,1,0,0,1,0,0,1,1,55000,2,2,547817,700,137.3,1
2759,2,2,2,1,0,0,0,1,0,0,0,55000,1,1,455238,1063,241.58,1
2760,1,1,0,0,0,1,0,0,0,0,0,-1,1,3,1059807,2637,326.88,1
2773,1,1,0,0,0,1,0,0,0,0,0,45000,1,1,1003823,2647,121.73,1
2778,1,1,0,0,0,0,1,0,0,0,0,65000,1,1,649959,3501,95.65,1
2794,1,1,1,0,1,0,0,0,0,0,0,35000,1,2,670981,3515,118.48,1
2806,5,5,4,4,0,0,0,0,1,0,0,145000,1,1,1065810,2383,580.28,1
2828,2,2,0,0,0,2,0,0,0,0,0,-1,1,1,659046,3493,52.14,1
2829,2,2,0,0,0,1,1,0,0,0,0,45000,1,1,651029,3700,68.41,1
2839,2,0,0,0,0,1,1,0,0,0,0,45000,1,1,592038,3479,90.66,1
2844,1,1,0,0,0,1,0,0,0,0,0,35000,1,1,468422,1867,280.59,1
2859,5,3,1,1,0,0,1,0,1,2,0,-1,2,1,1500003,3354,413.06,1
2873,1,1,0,0,0,0,1,0,0,0,0,15000,2,1,68883,771,202.8,1
2891,3,2,2,2,0,0,1,0,0,0,0,175000,1,1,184454,1560,291.91,1
2896,1,1,1,1,0,0,0,0,0,0,0,-1,1,1,422149,877,205.45,1
2901,3,2,1,0,1,0,1,0,0,0,1,15000,1,4,576728,3565,429.39,1
2903,2,2,1,1,0,1,0,0,0,0,0,55000,1,2,503160,1108,193.79,1
