"","hhsize_simple","survey17_19","mode_simple17_19","count17_19","count_moe17_19","share17_19","share_moe17_19","sample_size17_19","survey21","mode_simple21","count21","count_moe21","share21","share_moe21","sample_size21"
"1","1 person","2017_2019","Transit",215564.555146418,34773.5553391346,0.100260175870847,0.0154233232002761,2923,"2021","Transit",159761.821311846,33054.7947336109,0.0761489565734718,0.0151310388488515,171
"2","2 people","2017_2019","Transit",216121.371084146,20382.4619679891,0.0446930585667438,0.00437417371407178,3692,"2021","Transit",142336.356807533,27823.3039701258,0.0270263394840995,0.00525011375500029,158
"3","3 people","2017_2019","Transit",146764.682768369,33746.5518074535,0.0580781670872611,0.0129734741950913,822,"2021","Transit",87884.2689053657,25754.3862609085,0.0356051011518746,0.0102720214372091,65
"4","4 or more people","2017_2019","Transit",142113.087089216,26929.6037744157,0.0331671157515391,0.00626122172641305,518,"2021","Transit",58327.8616080872,20996.4997580039,0.014405156394656,0.00515810991558653,43
