"","hhincome_100","survey17_19","count17_19","count_moe17_19","share17_19","share_moe17_19","sample_size17_19","survey21","count21","count_moe21","share21","share_moe21","sample_size21"
"1","$100,000 or more","2017_2019",277058.594284022,38328.848346592,0.384502571789475,0.0407467391356922,3450,"2021",102591.104545598,25163.1764388631,0.228839494809878,0.0516179291793596,87
"2","$25,000-$49,999","2017_2019",102906.320150949,21133.7851748332,0.142813634255535,0.0275091391568167,1221,"2021",80146.6012205412,20070.0259352968,0.178774834477834,0.0434835528670706,107
"3","$50,000-$74,999","2017_2019",97240.5161621206,19577.9375189296,0.134950618092512,0.0258084980284111,1061,"2021",61012.8373568422,17147.6374476856,0.136095102392151,0.0377385858831762,68
"4","$75,000-$99,999","2017_2019",65389.6847370829,14754.2358276174,0.0907479589827735,0.0200222885036455,952,"2021",47039.7277474513,18410.9740869546,0.104926714469055,0.0393764160912663,32
"5","Prefer not to answer","2017_2019",16585.2360174062,9029.58169702274,0.0230170297330345,0.0123911963923889,352,"2021",17818.8495435438,12170.9672242872,0.0397466870612104,0.0266645200844953,16
"6","Under $25,000","2017_2019",161383.344736567,29207.3085544261,0.22396818714667,0.0354130966310185,919,"2021",139701.188218856,30161.8547314669,0.311617166789871,0.0581212246529555,127
