"","dest_purpose_cat","survey17_19","count17_19","count_moe17_19","share17_19","share_moe17_19","sample_size17_19","survey21","count21","count_moe21","share21","share_moe21","sample_size21"
"1","Change mode","2017_2019",14166.6365308077,6462.52980683549,0.019660491650796,0.00894443536666178,109,"2021",3087.89563361215,3394.28268219501,0.00688785328856034,0.00758493618792567,5
"2","Errand/Other","2017_2019",81066.9555059104,25697.6547198913,0.112504912398464,0.0327752314913113,574,"2021",59757.0373992083,20524.8655212492,0.133293917736229,0.0433894902912053,50
"3","Escort","2017_2019",14260.4027723707,14541.0171208899,0.0197906206623907,0.0198464118543255,113,"2021",6544.12504775246,7320.04195051699,0.0145973111073654,0.0162258556768012,5
"4","Home","2017_2019",274535.744304282,34756.1268782289,0.381001354626527,0.0392748839173724,2915,"2021",155215.099067931,28772.2969952054,0.346222462609158,0.0572723201257497,155
"5","Meal","2017_2019",18569.8905135822,7964.9646445079,0.0257713379322271,0.0109805826063556,257,"2021",26820.7885564415,15253.4842128684,0.0598263926569839,0.033045137804322,19
"6","School","2017_2019",31805.2116722127,12184.9269748244,0.0441393479089764,0.0165659572767975,214,"2021",7405.182700523,5856.5114875454,0.0165179844360614,0.0130658743533486,6
"7","Shop","2017_2019",62777.9669302315,18566.9402896084,0.0871234108393823,0.0245251149825812,432,"2021",57391.3463902052,18723.5311487794,0.128017012513555,0.0402160844218085,60
"8","Social/Recreation","2017_2019",30970.8013326756,6912.51376237556,0.0429813512681979,0.00985531297051311,547,"2021",30700.0568175254,16208.8266134148,0.0684794800082745,0.0349729398236951,21
"9","Work","2017_2019",167219.648493041,25753.5752349001,0.232067823290094,0.0325088001316953,2465,"2021",88039.4513209168,22899.5714649442,0.196380608756024,0.047998261173747,92
"10","Work-related","2017_2019",25102.4478465383,8095.53264197409,0.0348372364342201,0.0112242267097009,326,"2021",13349.3256987166,4560.38996044331,0.0297769768877873,0.0107559380157628,24
