"","age","survey17_19","mode_simple17_19","count17_19","count_moe17_19","share17_19","share_moe17_19","sample_size17_19","survey21","mode_simple21","count21","count_moe21","share21","share_moe21","sample_size21"
"1","18-24 years","2017_2019","Transit",88884.1322571158,27566.2944363528,0.115335307145677,0.0330005038219778,771,"2021","Transit",40745.6167080576,16680.8109128714,0.0376242733571197,0.0152049843405628,34
"2","25-34 years","2017_2019","Transit",199627.545623549,23470.077650389,0.0715233970265958,0.00853441099606595,3284,"2021","Transit",100426.139113883,24646.0024260558,0.0347171035611445,0.00842659868661347,95
"3","35-44 years","2017_2019","Transit",122582.080468614,20165.8717780847,0.0407757889876991,0.00675004579468776,1725,"2021","Transit",101845.343456573,27666.8662630152,0.0362285502537129,0.00967886489931825,83
"4","45-54 years","2017_2019","Transit",144187.517099869,30709.5271470522,0.0504894390630776,0.0105963480578167,918,"2021","Transit",72008.6545214731,20247.8506965916,0.0338145373275146,0.0094162580716975,89
"5","55-64 years","2017_2019","Transit",69931.6887959038,13119.9008775619,0.0342736763267972,0.00655003904447765,740,"2021","Transit",81833.7368399946,23913.9326773818,0.0352184953337394,0.0101393052901748,81
"6","65-74 years","2017_2019","Transit",69978.6343649992,23779.9750464865,0.0397557790594294,0.013209513110547,368,"2021","Transit",45619.7040405452,18296.4967531935,0.0223901909470441,0.00888316819213318,43
"7","75-84 years","2017_2019","Transit",13907.1587559814,5710.99825142639,0.0263999858567779,0.0110550192070168,115,"2021","Transit",5831.11395230515,2909.07472887873,0.0121393318421898,0.0061259453863854,12
