"","age","survey17_19","count17_19","count_moe17_19","share17_19","share_moe17_19","sample_size17_19","survey21","count21","count_moe21","share21","share_moe21","sample_size21"
"1","18-24 years","2017_2019",88884.1322571158,27524.9826785865,0.123353608764439,0.0347203936653821,771,"2021",40745.6167080576,16400.6748451255,0.0908870840653106,0.0354962622536526,34
"2","25-34 years","2017_2019",199627.545623549,23216.4178957777,0.277043579502135,0.0314826256751703,3284,"2021",100426.139113883,23425.3514997824,0.224010327623611,0.0492547228725329,95
"3","35-44 years","2017_2019",122582.080468614,20055.3980770465,0.170119700914849,0.0266905492408048,1725,"2021",101845.343456573,26559.6772262141,0.227176001745668,0.0534622500578369,83
"4","45-54 years","2017_2019",144187.517099869,30609.9542968953,0.200103776921659,0.036879032286448,918,"2021",72008.6545214731,19494.1466528583,0.160622348259336,0.0421445830225176,89
"5","55-64 years","2017_2019",69931.6887959038,13064.8404269586,0.0970513629475846,0.0181910987024267,740,"2021",81833.7368399946,23092.9448387414,0.18253815552347,0.0480836379636903,81
"6","65-74 years","2017_2019",69978.6343649992,23750.5142394585,0.0971165141192994,0.0306834711894271,368,"2021",45619.7040405452,17975.3674904992,0.10175921267496,0.0385463826265499,43
"7","75-84 years","2017_2019",13907.1587559814,5706.25368327189,0.0193003877817904,0.00793229249068631,115,"2021",5831.11395230515,2877.32415407343,0.0130068701076442,0.00660774853738203,12
