"","survey","RGC_End","mode_with_hov","count","count_moe","share","share_moe","sample_size"
"1","2017_2019","Not RGC Trip End","Bike",6175.58401457325,1967.27944474926,0.0028261804966334,0.000913812189675464,120
"2","2017_2019","Not RGC Trip End","HOV",226081.739310927,39970.4605306025,0.103463543007058,0.0174374702918214,808
"3","2017_2019","Not RGC Trip End","Other",1368.75265651404,565.332420218762,0.000626392913354681,0.000261304799255983,47
"4","2017_2019","Not RGC Trip End","SOV",1719345.24879485,114174.836473452,0.786837325450761,0.023685566024763,4865
"5","2017_2019","Not RGC Trip End","Transit",68882.9789659152,17032.3230584307,0.0315234528822017,0.00778059860401133,603
"6","2017_2019","Not RGC Trip End","Walk",163280.02222463,37928.7973130965,0.0747231052499907,0.0166280668508024,770
"7","2017_2019","RGC Trip End","Bike",33879.1700329339,13391.4148719924,0.0220403219261848,0.00863904656188932,422
"8","2017_2019","RGC Trip End","HOV",205270.5206677,38001.8381797473,0.133540117809074,0.0228880290282677,1001
"9","2017_2019","RGC Trip End","Other",12526.0518951321,6050.88815295538,0.00814890730689192,0.00394054595223296,240
"10","2017_2019","RGC Trip End","SOV",792928.043255427,77386.4189600113,0.515844671538901,0.0320239722107159,3801
"11","2017_2019","RGC Trip End","Transit",250728.780746612,30882.4490148485,0.1631132946422,0.0196214586116135,3942
"12","2017_2019","RGC Trip End","Walk",241812.405530944,33503.2238299862,0.157312686776749,0.0207550301149793,3947
