"","work_county","survey17_19","count17_19","count_moe17_19","share17_19","share_moe17_19","sample_size17_19","survey21","count21","count_moe21","share21","share_moe21","sample_size21"
"1",NA,"2017_2019",720563.696088148,57602.2873985053,1,8.87518842374111e-18,7955,"2021",448310.308632832,41768.4269873581,1,0,437
"2","Total","2017_2019",720563.696088148,57602.2873985053,1,8.87518842374111e-18,7955,"2021",448310.308632832,41768.4269873581,1,0,437
