"","res_dur","survey17_19","count17_19","count_moe17_19","share17_19","share_moe17_19","sample_size17_19","survey21","count21","count_moe21","share21","share_moe21","sample_size21"
"1","Between 1 and 2 years","2017_2019",131316.210577894,24350.6945166042,0.182240947317765,0.0309273474068744,1372,"2021",36089.803950097,7920.77290092194,0.0805018382471654,0.0198020684397427,65
"2","Between 10 and 20 years","2017_2019",124467.264986239,29848.667721682,0.172735964442778,0.0364775528470447,783,"2021",70800.1704847496,22093.5748954842,0.157926706393752,0.0462469737987882,65
"3","Between 2 and 3 years","2017_2019",83304.2874385544,14261.2150210649,0.11560988694102,0.0198644761643496,1067,"2021",92997.1083083862,25125.8336141964,0.207439147656431,0.0513302903675023,84
"4","Between 3 and 5 years","2017_2019",84400.9762555581,19018.07403402,0.117131874272546,0.0250865793546148,1231,"2021",67252.9264273034,22242.1750276584,0.150014231509416,0.0464300919933048,45
"5","Between 5 and 10 years","2017_2019",114004.922740294,19544.3014305022,0.158216301153129,0.0260230990586246,1132,"2021",74348.3715116461,21217.5636282896,0.165841315892064,0.0449499787674086,82
"6","Less than a year","2017_2019",104838.046298686,12377.5689595944,0.145494488367703,0.0188890024129018,2023,"2021",87880.6634389428,23487.2188168692,0.196026416851631,0.0488437597085481,76
"7","More than 20 years","2017_2019",78231.9877909217,29737.9725344606,0.108570537505058,0.0376281967439186,347,"2021",18941.264511707,10385.6717531086,0.0422503434495412,0.0229791940409858,20
