"","edu_simple","survey17_19","count17_19","count_moe17_19","share17_19","share_moe17_19","sample_size17_19","survey21","count21","count_moe21","share21","share_moe21","sample_size21"
"1","Bachelors or higher","2017_2019",222448.527770468,24217.937014036,0.30871459244771,0.03295495662022,3675,"2021",76792.5894899386,22032.5714393814,0.17129338320175,0.0463074302620019,103
"2","Less than Bachelors degree","2017_2019",498115.16831768,52980.2682139076,0.69128540755229,0.03295495662022,4280,"2021",371517.719142894,40165.9882716839,0.82870661679825,0.0463074302620019,334
