"","student","survey17_19","mode_simple17_19","count17_19","count_moe17_19","share17_19","share_moe17_19","sample_size17_19","survey21","mode_simple21","count21","count_moe21","share21","share_moe21","sample_size21"
"1","Full-time student","2017_2019","Transit",74897.8654710588,16526.5371469703,0.127526092793686,0.0278321606105943,769,"2021","Transit",38759.7032201242,14523.909478038,0.0496935298874752,0.0184842038198391,35
"2","No, not a student","2017_2019","Transit",611704.090194927,54024.4026102335,0.0471319344491912,0.00413311451396295,6931,"2021","Transit",390432.563809062,51614.2900686476,0.0309337224842604,0.00405995784393818,379
"3","Part-time student","2017_2019","Transit",33961.7404221616,16932.2958251929,0.132831676160105,0.0615422033407417,255,"2021","Transit",19118.0416036461,8429.09985841574,0.0397928140134931,0.0175863435399401,23
