"","work_purpose","survey17_19","mode_simple17_19","count17_19","count_moe17_19","share17_19","share_moe17_19","sample_size17_19","survey21","mode_simple21","count21","count_moe21","share21","share_moe21","sample_size21"
"1","Not Work","2017_2019","Transit",553256.057408611,52998.7570140379,0.0462744059114401,0.00439128320805855,5487,"2021","Transit",360270.857311915,48795.9693661395,0.0287456860408893,0.0038714820955897,345
"2","Work","2017_2019","Transit",167219.648493041,25913.7937892073,0.0897331802888756,0.0137870202522052,2465,"2021","Transit",88039.4513209168,23859.1955474603,0.0652648253591546,0.017179736561345,92
