"","res_dur","survey17_19","mode_simple17_19","count17_19","count_moe17_19","share17_19","share_moe17_19","sample_size17_19","survey21","mode_simple21","count21","count_moe21","share21","share_moe21","sample_size21"
"1","Between 1 and 2 years","2017_2019","Transit",131316.210577894,24454.8761745898,0.0747366225840494,0.013861589388709,1372,"2021","Transit",36089.803950097,8386.5641366602,0.026380292231739,0.00626174666130876,65
"2","Between 10 and 20 years","2017_2019","Transit",124467.264986239,29924.4300487528,0.0434186602907903,0.0102609925771951,783,"2021","Transit",70800.1704847496,22733.6280237884,0.0286022342412673,0.00907109124809353,65
"3","Between 2 and 3 years","2017_2019","Transit",83304.2874385544,14332.9129568702,0.0736359834115519,0.0127738029413072,1067,"2021","Transit",92997.1083083862,26101.2028525289,0.0865386658795248,0.0231843119512177,84
"4","Between 3 and 5 years","2017_2019","Transit",84400.9762555581,19072.8796414156,0.0448353173482191,0.0100687142743563,1231,"2021","Transit",67252.9264273034,22814.119104548,0.03408742026411,0.0113736160019188,45
"5","Between 5 and 10 years","2017_2019","Transit",114004.922740294,19642.283199901,0.0497540447494871,0.0086775310935197,1132,"2021","Transit",74348.3715116461,21954.9076635697,0.0338080622399859,0.00986695617235941,82
"6","Less than a year","2017_2019","Transit",104838.046298686,12508.7924591143,0.0780701947006928,0.00974679680915565,2023,"2021","Transit",87880.6634389428,24419.1444632732,0.05085238999412,0.0137909950182747,76
"7","More than 20 years","2017_2019","Transit",78231.9877909217,29767.0502808023,0.0306815735858783,0.0114361574288647,347,"2021","Transit",18941.264511707,10476.4365871505,0.00618241358349986,0.00341446017682475,20
